match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_interceptionWon,player_firstName,player_lastName,stat_totalCross,stat_blockedScoringAttempt,stat_goals,stat_accurateCross,stat_challengeLost,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_goalsPrevented,stat_penaltyConceded,stat_lastManTackle,stat_totalOffside
12117144,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1568,M,47339,EUR,574473600,G,1,1,False,30.0,12.0,24.0,6.0,0.0,10.0,14.0,2.0,16.0,1.0,4.0,1.0,90.0,32.0,6.5,18.0,0.00037923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117144,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,49.0,38.0,6.0,,0.0,12.0,14.0,26.0,35.0,,3.0,,90.0,75.0,6.9,18.0,0.110794,1,4.0,3.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0339,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12117144,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,49.0,32.0,10.0,2.0,0.0,25.0,33.0,7.0,16.0,6.0,3.0,,90.0,63.0,7.7,18.0,0.00138039,1,2.0,10.0,3.0,12.0,,,,,1.0,1.0,0.023,,1.0,2.0,1.0,1.0,1.0,0.1806,,,,,,,,,,,,,,,,,,,,
12117144,home,Grêmio,Walter Kannemann,walter-kannemann,W. Kannemann,D,4,183,2119,M,249647,EUR,668908800,D,4,4,False,15.0,13.0,3.0,2.0,0.0,9.0,10.0,4.0,5.0,,,,32.0,18.0,6.6,2.0,0.00196379,0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,True,1.0,,,,,,,,,,,,,,,,,,
12117144,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,44.0,36.0,5.0,2.0,0.0,18.0,22.0,18.0,25.0,3.0,4.0,,90.0,65.0,7.9,14.0,0.0435451,4,1.0,1.0,4.0,2.0,,1.0,,,1.0,,0.8473,1.0,3.0,,1.0,1.0,2.0,1.0455,,,,,3.0,1.0,1.0,,,,,,,,,,,,,
12117144,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,21,21,False,32.0,28.0,4.0,4.0,0.0,3.0,5.0,26.0,33.0,,3.0,,69.0,54.0,6.7,19.0,0.0905958,2,5.0,,14.0,1.0,5.0,2.0,,1.0,3.0,1.0,0.0415,4.0,,,,,1.0,,,,,,6.0,1.0,,1.0,1.0,,,,,,,,,,,
12117144,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,57.0,51.0,3.0,2.0,0.0,27.0,28.0,24.0,29.0,,6.0,,90.0,77.0,7.1,13.0,0.345294,0,,2.0,5.0,9.0,1.0,3.0,,,3.0,2.0,,1.0,,,7.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,
12117144,home,Grêmio,Felipe Carballo,felipe-carballo,F. Carballo,M,,177,618,M,805038,EUR,844387200,M,8,8,False,36.0,29.0,6.0,4.0,0.0,11.0,12.0,18.0,24.0,2.0,6.0,,69.0,51.0,7.3,8.0,0.0132449,2,,1.0,5.0,9.0,1.0,3.0,3.0,,,,0.1487,,1.0,,5.0,3.0,2.0,0.2951,,,,,,1.0,,,2.0,,,,,,,,,,,
12117144,home,Grêmio,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160,11184,M,789960,EUR,867628800,M,7,7,False,33.0,27.0,1.0,1.0,0.0,7.0,8.0,21.0,27.0,,7.0,,90.0,58.0,8.2,17.0,0.269518,1,1.0,,5.0,8.0,3.0,5.0,4.0,,5.0,2.0,0.0804,2.0,1.0,,2.0,2.0,,0.3472,,,,,2.0,,1.0,1.0,,yefersonsoteldo1006,1.0,,,,,,,,,
12117144,home,Grêmio,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,F,15,15,False,13.0,9.0,1.0,1.0,0.0,2.0,3.0,7.0,11.0,,2.0,,69.0,23.0,6.6,7.0,0.0683372,1,2.0,2.0,4.0,7.0,1.0,2.0,1.0,1.0,,3.0,0.1538,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,
