match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,player_id,player_name,description,reason,confirmed,playerName,rescinded
11409177,FT,1.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11409177,,,,,90,1.0,,1,,,substitution,122056547.0,False,False,regular,,,,,,,,
11409177,,,,,90,,,1,,,substitution,122056546.0,True,True,injury,,,,,,,,
11409177,,,,,90,0.0,,1,,,injuryTime,,,,,6.0,,,,,,,
11409177,,,,,85,,,6,,,substitution,122056499.0,True,False,injury,,,,,,,,
11409177,,,,,80,,,11,,,substitution,122056467.0,False,True,regular,,,,,,,,
11409177,,,,,80,,,11,,,substitution,122056466.0,False,True,regular,,,,,,,,
11409177,,1.0,3.0,,66,,,25,,,goal,172553676.0,,False,regular,,850993.0,David Neres,,,,,
11409177,,,,,60,,,31,,,inGamePenalty,118434850.0,,True,missed,,1047095.0,Rildo,Goalkeeper save,goalkeeperSave,,,
11409177,,,,,58,,,33,,,varDecision,20476.0,,True,penaltyNotAwarded,,1047095.0,Rildo,,,False,,
11409177,,1.0,2.0,,56,,,35,,,goal,172553473.0,,True,regular,,1094395.0,Hélio Varela,,,,,
11409177,,,,,46,,,45,,,substitution,122056281.0,False,True,regular,,,,,,,,
11409177,,,,,46,,,45,,,substitution,122056275.0,False,False,regular,,,,,,,,
11409177,,,,,46,,,45,,,substitution,122056274.0,False,False,regular,,,,,,,,
11409177,,,,,46,,,45,,,substitution,122056273.0,False,False,regular,,,,,,,,
11409177,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11409177,,,,,45,0.0,,1,,,injuryTime,,,,,2.0,,,,,,,
11409177,,,,,40,,,6,,,substitution,122056116.0,False,True,regular,,,,,,,,
11409177,,,,,35,,,11,,,card,120922505.0,,True,yellow,,1094395.0,Hélio Varela,,Foul,,Helio Varela,False
11409177,,0.0,2.0,,17,,,29,,,goal,172551538.0,,False,regular,,827668.0,Petar Musa,,,,,
11409177,,0.0,1.0,,5,,,41,,,goal,172551082.0,,False,regular,,850976.0,Alexander Bah,,,,,
