match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialWon,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_accurateCross,stat_aerialLost,stat_bigChanceCreated,stat_outfielderBlock,stat_challengeLost,stat_shotOffTarget,stat_goals,stat_hitWoodwork,stat_blockedScoringAttempt,stat_totalOffside
11369468,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,27.0,22.0,8.0,4.0,22.0,24.0,3.0,6.0,2.0,2.0,90.0,35.0,6.9,5.0,0.00010823,0,0.1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369468,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,D,20,20,False,81.0,72.0,7.0,3.0,48.0,53.0,31.0,8.0,,,90.0,107.0,7.7,13.0,0.0177386,1,,,,yan.couto,1.0,24.0,3.0,2.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,0.048,0.1442,1.0,,,,,,,,,,,,,,
11369468,home,Girona FC,Juanpe,juanpe,Juanpe,D,6,189,179,M,129861,EUR,672969600,D,15,15,False,31.0,30.0,,,27.0,27.0,4.0,,,,30.0,36.0,6.5,1.0,0.00081161,0,,,,,,3.0,,,3.0,,1.0,1.0,,2.0,,1.0,,,,,,,True,1.0,,,,,,,,,,,,
11369468,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,78.0,69.0,10.0,8.0,43.0,49.0,29.0,5.0,,,90.0,91.0,6.9,11.0,0.0133191,1,,,,,,26.0,,1.0,3.0,,1.0,,1.0,5.0,,2.0,,,,0.2512,0.0471,,,1.0,1.0,1.0,,,,,,,,,,
11369468,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,41.0,37.0,1.0,,17.0,20.0,23.0,9.0,,,90.0,65.0,7.6,10.0,0.430848,0,,,,MGutiérrez,1.0,22.0,2.0,3.0,2.0,,3.0,1.0,,1.0,2.0,,,1.0,,,,2.0,,,,4.0,2.0,1.0,2.0,1.0,,,,,,
11369468,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,M,8,8,False,30.0,26.0,,,15.0,16.0,17.0,3.0,,,66.0,47.0,7.4,9.0,0.109399,2,,,,viktortsygankov,,13.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,0.4336,0.6737,1.0,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,
11369468,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,77.0,69.0,5.0,4.0,41.0,46.0,31.0,7.0,,,90.0,94.0,7.5,8.0,0.0255622,1,,,,,,28.0,,4.0,9.0,,1.0,1.0,1.0,1.0,3.0,4.0,,4.0,1.0,0.0579,0.0975,,,,,,,1.0,,,2.0,,,,,
11369468,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,M,21,21,False,60.0,59.0,4.0,4.0,39.0,39.0,21.0,4.0,,,66.0,74.0,6.8,6.0,0.0204372,1,,,,YangelHerrera8,,20.0,,6.0,3.0,3.0,1.0,,,1.0,,1.0,,2.0,1.0,0.0597,,,,,,,,1.0,,,,1.0,,1.0,,
11369468,home,Girona FC,Savinho,savio,Savinho,M,26,176,52457,M,1046795,EUR,1081555200,M,16,16,False,19.0,16.0,1.0,,4.0,6.0,17.0,4.0,,,73.0,37.0,7.9,9.0,1.17819,1,,,,Savinho,2.0,16.0,4.0,3.0,5.0,2.0,4.0,3.0,,,,1.0,1.0,1.0,,0.0183,,3.0,,,,2.0,4.0,,1.0,,,,,,1.0,
11369468,home,Girona FC,Portu,portu,Portu,F,8,167,868,M,218616,EUR,706406400,F,24,24,False,24.0,19.0,2.0,1.0,6.0,9.0,18.0,2.0,,,90.0,37.0,7.0,11.0,0.367327,1,,,,,1.0,14.0,3.0,3.0,2.0,,,,,,,2.0,1.0,,2.0,0.377,,2.0,,,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,
