match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalCross,stat_totalTackle,stat_unsuccessfulTouch,stat_goalAssist,stat_bigChanceCreated,stat_wonTackle,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,captain,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,player_lastName,player_sofascoreId,stat_penaltyFaced,stat_accurateCross,stat_bigChanceMissed,stat_penaltyConceded,stat_hitWoodwork
11453157,home,Al-Riyadh,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200.0,G,25,25,False,32.0,15.0,29.0,12.0,6.0,11.0,9.0,21.0,3.0,10.0,3.0,5.0,6.0,1.0,1.0,1.0,90.0,51.0,8.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Hussain Al-Nuweqi,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170.0,14,M,1525073,EUR,817948800.0,D,27,27,False,27.0,19.0,2.0,,8.0,12.0,11.0,15.0,2.0,6.0,,,,,,,90.0,51.0,6.4,16.0,0,Hussain Al-Nuweqi,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179.0,31,M,350060,EUR,690076800.0,D,29,29,False,21.0,14.0,10.0,4.0,7.0,10.0,7.0,11.0,3.0,3.0,,,,,,,90.0,26.0,6.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Mohammed Al Shwirekh,mohammed-al-shwirekh,M. A. Shwirekh,D,2,179.0,63,M,1519331,EUR,883612800.0,D,4,4,False,14.0,12.0,2.0,1.0,9.0,9.0,3.0,5.0,10.0,3.0,,,,,,,90.0,27.0,6.9,2.0,0,Mohammed Al Shwirekh,1.0,1.0,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Khalid Bin Shuwayyi,khalid-bin-shuwayyi,K. B. Shuwayyi,D,75,176.0,10,M,893516,EUR,828921600.0,D,5,5,False,22.0,15.0,6.0,2.0,7.0,13.0,8.0,10.0,1.0,2.0,,,,,,,90.0,37.0,6.6,15.0,0,,,2.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Yahia Al-Shehri,yahia-al-shehri,Y. A. Shehri,M,88,164.0,76,M,196396,EUR,646358400.0,M,88,88,False,44.0,32.0,3.0,1.0,13.0,14.0,19.0,30.0,1.0,5.0,,,,,,,89.0,50.0,7.1,14.0,0,,1.0,6.0,3.0,4.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Didier N'Dong,didier-ndong,D. N'Dong,M,,179.0,1107,M,786029,EUR,771811200.0,M,20,20,False,33.0,21.0,4.0,2.0,8.0,9.0,13.0,24.0,3.0,9.0,,,,,,,90.0,49.0,6.5,17.0,0,,6.0,9.0,7.0,1.0,4.0,1.0,,,2.0,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,
11453157,home,Al-Riyadh,Birama Touré,birama-toure,B. Touré,M,60,183.0,134,M,246507,EUR,707788800.0,M,60,60,False,21.0,17.0,3.0,2.0,9.0,10.0,8.0,11.0,4.0,1.0,,,,,,,90.0,33.0,7.1,4.0,1,,1.0,7.0,2.0,2.0,,,,1.0,2.0,,4.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,
11453157,home,Al-Riyadh,Abdulhadi Al-Harajin,abdulhadi-al-harajin,A. Al-Harajin,M,8,171.0,18,M,818887,EUR,785289600.0,M,15,15,False,28.0,23.0,1.0,,7.0,8.0,16.0,21.0,,4.0,,,,,,,90.0,46.0,6.9,14.0,3,,,12.0,2.0,3.0,4.0,3.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,
11453157,home,Al-Riyadh,Knowledge Musona,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400.0,F,11,11,False,20.0,18.0,2.0,1.0,7.0,7.0,11.0,15.0,4.0,3.0,,,,,,,90.0,42.0,7.2,11.0,2,,2.0,10.0,6.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,2.0,3.0,,,,1.0,,,True,1.0,1.0,1.0,,,,,,,
