match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_challengeLost,stat_goals,stat_unsuccessfulTouch,player_sofascoreId,stat_ownGoals,stat_totalOffside
12764296,away,Feyenoord,Gernot Trauner,,,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,62.0,56.0,7.0,4.0,1.0,40.0,41.0,16.0,21.0,4.0,,,,90.0,76.0,6.2,6.0,0.173468,1,,,3.0,3.0,,,,,,1.0,5.0,4.0,1.0,,2.0,0.0162,,,1.0,1.0,,1.0,,,1.0,,,,,2.0,
12764296,away,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,75.0,70.0,7.0,3.0,0.0,58.0,60.0,12.0,15.0,1.0,,,,90.0,79.0,5.7,5.0,0.0103138,0,,,1.0,2.0,,,,,,,1.0,2.0,,,,,,True,,,1.0,1.0,,,,2.0,,,,,1.0
12764296,away,Feyenoord,Gijs Smal,,,gijs-smal,G. Smal,D,5,183,341,M,860160,EUR,872985600,D,5,5,False,40.0,35.0,5.0,3.0,0.0,21.0,24.0,16.0,19.0,2.0,,,,90.0,60.0,6.3,7.0,0.200351,0,,3.0,,4.0,1.0,1.0,,,,,2.0,5.0,1.0,1.0,,,,,3.0,3.0,,2.0,2.0,,,1.0,,,,,
12764296,away,Feyenoord,Thomas Beelen,,,thomas-beelen,T. Beelen,D,3,190,422,M,1127916,EUR,992217600,M,3,3,False,22.0,18.0,1.0,1.0,0.0,12.0,12.0,6.0,10.0,3.0,,,,90.0,30.0,6.5,6.0,0.00613254,1,,,,3.0,,,,,1.0,,,1.0,3.0,3.0,2.0,0.084,0.057,,1.0,,,,,,,,,1.0,,,
12764296,away,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3391,M,889689,EUR,843177600,M,4,4,False,18.0,14.0,,,0.0,9.0,12.0,5.0,7.0,2.0,,,,45.0,25.0,6.6,7.0,0.00683753,0,,1.0,,2.0,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,2.0,,1.0,,,,1.0,Hwang,,
12764296,away,Feyenoord,Anis Hadj Moussa,,,anis-hadj-moussa,A. H. Moussa,F,23,176,22256,M,1218066,EUR,1013385600,M,23,23,False,14.0,11.0,2.0,2.0,0.0,7.0,7.0,6.0,11.0,,,,,90.0,28.0,5.8,11.0,0.0476982,0,,4.0,,6.0,4.0,,,,,,,3.0,,,,,,,,2.0,,,2.0,1.0,,1.0,,1.0,hadj.a20,,1.0
12764296,away,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,17,179,1578,M,1126692,EUR,1112486400,M,27,27,False,18.0,14.0,1.0,,0.0,8.0,9.0,6.0,9.0,4.0,2.0,,,90.0,30.0,6.1,7.0,0.00614139,0,,,1.0,5.0,1.0,1.0,,,,,,2.0,,,1.0,,,,1.0,,,1.0,,3.0,,,,,,,
12764296,away,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12533,M,981815,EUR,962150400,M,14,14,False,11.0,10.0,,,0.0,3.0,4.0,7.0,9.0,,,,,62.0,20.0,6.5,5.0,0.0417505,1,,2.0,,4.0,1.0,,,,1.0,,2.0,1.0,,,,0.0406,0.8024,,,2.0,,1.0,,1.0,,2.0,,,,,
12764296,away,Feyenoord,Santiago Giménez,,,santiago-gimenez,S. Giménez,F,7,182,32463,M,892141,EUR,987552000,F,29,29,False,4.0,4.0,,,0.0,,,4.0,4.0,1.0,,,,28.0,11.0,7.0,3.0,0.0120561,1,,,1.0,3.0,1.0,,,,1.0,,,1.0,,,1.0,0.4402,0.9872,,1.0,,,,,,,,1.0,1.0,sant.gimenez,,
12764296,away,Feyenoord,Ayase Ueda,,,ueda-ayase,A. Ueda,F,9,182,7464,M,985823,EUR,904262400,F,9,9,True,11.0,8.0,1.0,1.0,0.0,7.0,7.0,1.0,4.0,3.0,1.0,,,62.0,15.0,6.4,4.0,0.00036629,1,,,2.0,6.0,,,,,,1.0,,,,,1.0,0.0397,,,4.0,,,,,,,1.0,,1.0,bee18,,
12764296,away,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,589,M,253875,EUR,817948800,G,22,22,True,24.0,17.0,12.0,5.0,0.0,12.0,13.0,5.0,11.0,,,,,54.0,28.0,5.2,8.0,0.00395664,0,-2.8839,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,
12764296,away,Feyenoord,Gjivai Zechiël,,,gjivai-zechiel,G. Zechiël,M,21,179,685,M,1433802,EUR,1086048000,M,24,24,True,18.0,14.0,,,0.0,4.0,5.0,10.0,14.0,2.0,1.0,,,45.0,22.0,6.3,5.0,0.00646109,1,,1.0,,2.0,,,,1.0,,,,3.0,1.0,,1.0,0.0255,,,,,,,,,,1.0,,,,,
12764296,away,Feyenoord,Ibrahim Osman,Ibrahim Osman,,osman-ibrahim,I. Osman,F,17,177,2714,M,1471095,EUR,1101686400,F,38,38,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,2.0,2.0,,,28.0,14.0,6.2,5.0,0.00539112,0,,,,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
12764296,away,Feyenoord,Jeyland Mitchell,,,jeyland-mitchell,J. Mitchell,D,2,187,1808,M,1099285,EUR,1096416000,D,20,20,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,1.0,,,,27.0,6.0,5.7,1.0,0.00068003,0,,,,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,1.0,,,
12764296,away,Feyenoord,Ismail Ka,,,ismail-ka,I. Ka,G,64,185,156,M,1546069,EUR,1141862400,G,64,64,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764296,away,Feyenoord,Facundo González,,,facundo-gonzalez,F. González,D,16,193,1257,M,1085103,EUR,1054857600,D,15,15,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764296,away,Feyenoord,Hugo Bueno,,,hugo-bueno,H. Bueno,D,3,180,796,M,1013928,EUR,1032307200,D,16,16,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764296,away,Feyenoord,Luka Ivanušec,,,luka-ivanusec,L. Ivanušec,F,18,175,3283,M,822462,EUR,912038400,F,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LukaIvanusec,,
12764296,away,Feyenoord,Julián Carranza,,,julian-carranza,J. Carranza,F,21,176,1422,M,895591,EUR,958953600,F,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
