match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,from
11407465,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11407465,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,
11407465,,,,,81,,,10,,,substitution,,122260157.0,False,False,regular,,,,,,
11407465,,,,,73,,,18,,,substitution,,122260081.0,False,True,regular,,,,,,
11407465,,,,,73,,,18,,,substitution,,122260080.0,False,True,regular,,,,,,
11407465,,,,,73,,,18,,,substitution,,122260082.0,False,False,regular,,,,,,
11407465,,,,,64,,,27,,,substitution,,122260018.0,False,True,regular,,,,,,
11407465,,,,,64,,,27,,,substitution,,122260017.0,False,True,regular,,,,,,
11407465,,,,,63,,,28,,,substitution,,122260019.0,False,True,regular,,,,,,
11407465,,,,,58,,,33,,,substitution,,122259971.0,False,False,regular,,,,,,
11407465,,,,,58,,,33,,,substitution,,122259970.0,False,False,regular,,,,,,
11407465,,3.0,0.0,,56,,,35,,,goal,,175446858.0,,True,regular,36784.0,Giacomo Bonaventura,,,,
11407465,,,,,46,,,45,,,substitution,,122259886.0,False,False,regular,,,,,,
11407465,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11407465,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,,
11407465,,,,,44,,,2,,,card,,121046823.0,,True,yellow,893998.0,Luca Ranieri,Luca Ranieri,Foul,False,
11407465,,2.0,0.0,,17,,,29,,,goal,,175444393.0,,True,regular,893640.0,Riccardo Sottil,,,,
11407465,,1.0,0.0,,6,,,40,,,goal,,175443898.0,,True,penalty,962029.0,Lucas Beltrán,,,,penalty
