match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_hitWoodwork,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_goalAssist
10407159,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,159,M,794989,EUR,910051200,G,1,1,False,28.0,17.0,17.0,6.0,13.0,15.0,4.0,13.0,9.0,1.0,2.0,4.0,90.0,37.0,6.3,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407159,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185,7764,M,163199,EUR,795139200,D,5,5,False,29.0,18.0,3.0,,6.0,8.0,13.0,26.0,5.0,,,,90.0,51.0,6.7,20.0,0,,,sandywalsh,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10407159,home,KV Mechelen,Thibault Peyre,thibault-peyre,T. Peyre,D,23,182,18,M,252141,EUR,718070400,D,23,23,False,44.0,34.0,7.0,1.0,25.0,26.0,9.0,18.0,5.0,,,,86.0,56.0,6.7,10.0,2,,,,,,,1.0,,4.0,,,,5.0,2.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
10407159,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,94,M,839675,EUR,844473600,D,27,27,False,68.0,58.0,10.0,6.0,41.0,45.0,17.0,23.0,8.0,,,,90.0,83.0,7.1,11.0,0,,,,,,1.0,2.0,3.0,8.0,,1.0,3.0,,4.0,4.0,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,
10407159,home,KV Mechelen,Boli Bolingoli,boli-bolingoli,B. Bolingoli,D,5,180,130,M,333301,EUR,804556800,D,21,21,False,76.0,68.0,4.0,1.0,30.0,34.0,38.0,42.0,11.0,,,,90.0,95.0,6.7,10.0,1,,,,,,,1.0,3.0,4.0,1.0,,,4.0,1.0,,2.0,2.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,
10407159,home,KV Mechelen,Jordi Vanlerberghe,jordi-vanlerberghe,J. Vanlerberghe,D,30,189,143,M,284727,EUR,835833600,M,30,30,False,43.0,30.0,9.0,4.0,13.0,14.0,17.0,29.0,1.0,,,,74.0,56.0,8.0,15.0,4,,,,,,1.0,1.0,2.0,3.0,,,1.0,2.0,,,1.0,1.0,,,,2.0,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,
10407159,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,137,M,58917,EUR,688003200,M,7,7,False,49.0,40.0,7.0,3.0,11.0,13.0,32.0,41.0,5.0,,,,86.0,68.0,7.1,15.0,4,,,,5.0,3.0,,2.0,5.0,3.0,3.0,2.0,,1.0,,,1.0,,4.0,1.0,1.0,4.0,,,,,,,1.0,,,,,,,,
10407159,home,KV Mechelen,Birger Verstraete,birger-verstraete,B. Verstraete,M,4,171,121,M,192268,EUR,766454400,M,66,66,False,62.0,48.0,13.0,8.0,22.0,27.0,28.0,39.0,6.0,,,,90.0,83.0,6.9,18.0,1,,,,4.0,2.0,1.0,,4.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,4.0,,,,,,,,,,,,,
10407159,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179,196,M,133164,EUR,764380800,M,16,16,False,53.0,40.0,6.0,4.0,9.0,11.0,32.0,45.0,7.0,,,,90.0,73.0,7.4,19.0,2,,,,3.0,1.0,,2.0,3.0,6.0,1.0,2.0,1.0,,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,True,1.0,1.0,,,,,
10407159,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,279,M,149796,EUR,780883200,M,11,11,False,33.0,26.0,1.0,,5.0,7.0,21.0,29.0,2.0,,,,90.0,54.0,6.6,18.0,3,,,,3.0,,,,6.0,2.0,1.0,3.0,,1.0,1.0,,4.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,
10407159,home,KV Mechelen,Julien Ngoy,julien-ngoy,J. Ngoy,F,7,185,143,M,848680,EUR,878428800,F,9,9,False,8.0,6.0,1.0,,,1.0,6.0,7.0,3.0,,,,63.0,13.0,6.7,4.0,1,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,
10407159,home,KV Mechelen,Frederic Soelle Soelle,frederic-soelle-soelle,F. S. Soelle,F,19,190,129,M,1195742,EUR,1135382400,F,28,28,True,7.0,7.0,,,3.0,3.0,4.0,4.0,2.0,,,,27.0,12.0,6.3,4.0,1,Frederic Soelle Soelle,,,,,1.0,,6.0,,,3.0,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,
10407159,home,KV Mechelen,Yonas Malede,yonas-malede,Y. Malede,F,15,188,71,M,921826,EUR,942537600,F,10,10,True,1.0,1.0,,,,,1.0,1.0,,,,,16.0,5.0,6.5,2.0,0,Yonas,Malede,,,,3.0,,3.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,
