match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,player_firstName,player_lastName,player_sofascoreId,stat_goals,stat_clearanceOffLine,stat_outfielderBlock,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goalAssist,stat_totalKeeperSweeper
10411692,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189.0,262,M,38618,EUR,538704000,G,47,47,False,True,31.0,22.0,15.0,6.0,19.0,21.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,3.0,90.0,40.0,6.3,9.0,0.0,0.0,0.00046215,0,-0.0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411692,home,Sassuolo,Nadir Zortea,zortea-nadir,N. Zortea,M,187.0,1108,M,928104,EUR,929750400,D,21,21,False,,46.0,30.0,7.0,2.0,16.0,23.0,16.0,30.0,5.0,,2.0,,,,90.0,84.0,6.3,27.0,0.0209,0.0,0.0576194,1,,20,7.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10411692,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192.0,1953,M,789234,EUR,885600000,D,28,28,False,,50.0,42.0,9.0,5.0,33.0,37.0,9.0,13.0,4.0,,3.0,,,,90.0,64.0,6.6,8.0,0.0,0.0,0.0048559,0,,6,,,3.0,,,8.0,2.0,,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10411692,home,Sassuolo,Ruan,ruan,Ruan,D,187.0,1238,M,914487,EUR,928713600,D,44,44,False,,54.0,49.0,2.0,1.0,44.0,47.0,5.0,7.0,3.0,,4.0,,,,90.0,68.0,6.9,7.0,0.0952,0.0289,0.00310785,1,,4,,,2.0,1.0,,4.0,1.0,1.0,,,4.0,9.0,,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10411692,home,Sassuolo,Rogério,rogerio,Rogério,D,178.0,289,M,830551,EUR,884649600,D,6,6,False,,47.0,38.0,6.0,3.0,19.0,23.0,19.0,27.0,4.0,1.0,7.0,,,,90.0,82.0,6.9,16.0,0.0,0.0,0.0163572,0,,13,3.0,,1.0,7.0,,2.0,2.0,2.0,2.0,,1.0,9.0,,,,,,7.0,,,1.0,,,,,,,,,,
10411692,home,Sassuolo,Davide Frattesi,davide-frattesi,D. Frattesi,M,178.0,5601,M,835600,EUR,937958400,M,16,16,False,,20.0,13.0,,,3.0,7.0,10.0,14.0,4.0,,5.0,,,,68.0,32.0,7.1,9.0,0.2593,0.627,0.00768913,2,,16,1.0,,2.0,1.0,1.0,2.0,,,1.0,,,2.0,,2.0,2.0,,,,,1.0,,,,davidefrrattesi_22,1.0,,,,,,
10411692,home,Sassuolo,Maxime López,maxime-lopez,M. López,M,167.0,1284,M,352802,EUR,881193600,M,27,27,False,,57.0,47.0,5.0,3.0,23.0,26.0,24.0,31.0,1.0,1.0,11.0,,,,82.0,71.0,7.8,11.0,0.0185,0.0,0.211187,1,,21,,,,1.0,1.0,3.0,1.0,1.0,,3.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,,,
10411692,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175.0,2961,M,912786,EUR,882489600,M,7,7,False,,31.0,25.0,2.0,,9.0,12.0,16.0,19.0,8.0,1.0,6.0,,,,88.0,47.0,6.6,11.0,0.0238,0.0,0.0234706,1,,8,,,3.0,5.0,1.0,,,1.0,,2.0,1.0,7.0,,1.0,,,2.0,3.0,,,2.0,,,,,,,,,,
10411692,home,Sassuolo,Grégoire Defrel,gregoire-defrel,G. Defrel,F,179.0,185,M,148566,EUR,677116800,F,92,92,False,,25.0,22.0,1.0,,5.0,6.0,17.0,20.0,6.0,,2.0,,,,68.0,38.0,6.8,11.0,0.198,0.051,0.0140286,1,,92,1.0,,1.0,,,1.0,,3.0,1.0,1.0,,2.0,,2.0,2.0,,4.0,,,1.0,,,,,,,,1.0,,,
10411692,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,185.0,2688,M,826198,EUR,927072000,F,9,9,False,,16.0,8.0,,,1.0,1.0,7.0,17.0,9.0,,1.0,,,,81.0,34.0,6.5,16.0,0.187,0.259,0.144516,4,,99,2.0,,3.0,3.0,1.0,,,1.0,1.0,,4.0,4.0,,,,,2.0,,,2.0,,,,,,,,,1.0,,
