match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_wasFouled,stat_totalCross,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_wonContest,stat_outfielderBlock,stat_penaltyWon,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_goalsPrevented
10385753,home,Tottenham Hotspur,Hugo Lloris,hugo-lloris,H. Lloris,G,1,188.0,5077,M,LlorisH,9048,EUR,535939200,G,1,1,False,True,15.0,13.0,4.0,2.0,13.0,14.0,1.0,6.0,90.0,20.0,6.8,2.0,0.0,0.0,4.1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185.0,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,,74.0,65.0,7.0,4.0,33.0,37.0,37.0,6.0,87.0,87.0,7.4,10.0,0.0272,0.0,0.326374,1,,,32.0,3.0,4.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Eric Dier,eric-dier,E. Dier,D,3,191.0,4317,M,ericdier,146101,EUR,758592000,D,15,15,False,,91.0,84.0,9.0,5.0,51.0,55.0,36.0,1.0,90.0,95.0,7.2,7.0,0.0981,0.0,0.0329288,1,,,33.0,,2.0,,4.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Ben Davies,ben-davies,B. Davies,D,33,181.0,2694,M,,94758,EUR,735609600,D,33,33,False,,81.0,76.0,10.0,7.0,38.0,38.0,44.0,2.0,90.0,86.0,7.0,6.0,0.0,0.0,0.0710251,0,,,38.0,2.0,,7.0,2.0,,,,,,,4.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Matt Doherty,matt-doherty,M. Doherty,D,2,182.0,1449,M,,143047,EUR,695520000,M,2,2,False,,58.0,51.0,7.0,3.0,29.0,32.0,27.0,9.0,89.0,76.0,7.0,9.0,0.0744,0.0261,0.010917,2,,,22.0,3.0,2.0,6.0,6.0,,,,,2.0,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185.0,4495,M,hojbjerg23,149593,EUR,807580800,M,5,5,False,,67.0,57.0,8.0,4.0,21.0,25.0,42.0,5.0,90.0,76.0,7.2,13.0,0.124,0.5824,0.028752,2,,,36.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187.0,8306,M,rodrigo_bentancur,791190,EUR,867196800,M,30,30,False,,58.0,52.0,2.0,1.0,21.0,22.0,39.0,5.0,89.0,67.0,6.6,12.0,0.0,0.0,0.0450682,0,,,32.0,,1.0,5.0,2.0,2.0,,,,,,2.0,1.0,,1.0,3.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
10385753,home,Tottenham Hotspur,Ivan Perišić,ivan-perisic,I. Perišić,M,5,187.0,17408,M,ivanperisic444,38710,EUR,602380800,M,14,14,False,,52.0,40.0,6.0,3.0,14.0,15.0,45.0,5.0,90.0,79.0,7.3,23.0,0.133,0.0,0.356026,1,,,30.0,1.0,1.0,5.0,2.0,3.0,,1.0,1.0,1.0,1.0,,4.0,1.0,,8.0,,1.0,,,,1.0,,4.0,1.0,,,,,,,,,,
10385753,home,Tottenham Hotspur,Richarlison,richarlison,Richarlison,F,9,184.0,44707,M,Richarlison,840217,EUR,863222400,F,9,9,False,,8.0,4.0,,,1.0,3.0,6.0,4.0,52.0,20.0,6.3,8.0,0.2714,0.0,0.0098469,3,,,4.0,1.0,,4.0,3.0,2.0,2.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,2.0,,1.0,,1.0,,,,,,,,,
10385753,home,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184.0,117494,M,HMSon,111505,EUR,710553600,F,7,7,False,,31.0,28.0,,,4.0,5.0,33.0,2.0,90.0,53.0,7.3,15.0,0.3369,0.0738,0.135896,4,,,26.0,,1.0,,3.0,,1.0,,,,,,2.0,2.0,1.0,7.0,,1.0,1.0,,,6.0,,2.0,,,1.0,1.0,,,,,,,
