match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateCross,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_expectedGoalsOnTarget,stat_keyPass,stat_goals,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId
12530754,home,Eyüpspor,Berke Özer,berke-ozer,B. Özer,G,1,191,3020,M,847494,EUR,959212800,G,1,1,False,37.0,27.0,17.0,8.0,0.0,21.0,22.0,6.0,15.0,2.0,3.0,3.0,12.0,1.0,1.0,2.0,3.0,1.0,90.0,52.0,7.4,10.0,0.0134085,0,0.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530754,home,Eyüpspor,Rúben Vezo,ruben-vezo,R. Vezo,D,21,183,435,M,233180,EUR,767232000,D,14,14,False,31.0,25.0,1.0,1.0,0.0,10.0,12.0,15.0,20.0,2.0,6.0,10.0,3.0,1.0,,,,,90.0,64.0,7.2,12.0,0.0469547,0,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12530754,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183,91,M,138154,EUR,759456000,D,6,6,False,75.0,70.0,9.0,5.0,0.0,46.0,48.0,25.0,28.0,,4.0,3.0,4.0,,,,,,90.0,87.0,7.1,5.0,0.0266173,0,,1.0,2.0,1.0,,,1.0,4.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12530754,home,Eyüpspor,Luccas Claro,luccas-claro,L. Claro,D,4,182,171,M,998209,EUR,687916800,D,4,4,False,62.0,54.0,7.0,3.0,0.0,35.0,36.0,19.0,27.0,4.0,9.0,6.0,5.0,,,,,,90.0,80.0,7.3,10.0,0.0130128,1,,1.0,1.0,,,,2.0,3.0,1.0,1.0,,,,1.0,True,2.0,2.0,1.0,0.0703,,,,,,,,,,,,,,
12530754,home,Eyüpspor,Umut Meraş,umut-meras,U. Meraş,D,77,178,154,M,609746,EUR,819417600,D,77,77,False,47.0,41.0,5.0,3.0,0.0,14.0,15.0,27.0,32.0,3.0,8.0,4.0,3.0,1.0,,,,,90.0,67.0,8.1,8.0,0.0527634,2,,,4.0,,,1.0,2.0,3.0,2.0,1.0,,,,3.0,,1.0,1.0,,0.0373,2.0,1.0,1.0,1.0,0.0732,,,,,,,,,
12530754,home,Eyüpspor,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178,97,M,828872,EUR,824601600,M,57,57,False,52.0,47.0,3.0,2.0,0.0,19.0,21.0,28.0,31.0,2.0,5.0,4.0,8.0,2.0,,,,,90.0,75.0,7.0,9.0,0.023264,0,,,7.0,1.0,3.0,,4.0,2.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,
12530754,home,Eyüpspor,Halil Akbunar,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,7,7,False,37.0,29.0,2.0,1.0,0.0,10.0,12.0,19.0,27.0,1.0,12.0,,4.0,1.0,,,,,87.0,63.0,7.5,18.0,0.328202,0,,2.0,6.0,1.0,4.0,,2.0,6.0,6.0,3.0,,,,,,5.0,4.0,,,,,,,,,,,,,,,,
12530754,home,Eyüpspor,Emre Mor,emre-mor,E. Mor,M,99,169,2594,M,826258,EUR,869702400,M,66,66,False,26.0,19.0,3.0,2.0,0.0,7.0,8.0,13.0,23.0,1.0,5.0,,2.0,2.0,,,,,60.0,43.0,7.5,15.0,0.073067,2,,5.0,5.0,1.0,2.0,,,2.0,1.0,,,,1.0,1.0,,1.0,,1.0,0.1026,,1.0,,,0.8307,1.0,1.0,,,,,,,
12530754,home,Eyüpspor,Tayfur Bingöl,tayfur-bingol,T. Bingöl,M,75,180,459,M,255957,EUR,726710400,M,75,75,False,39.0,33.0,4.0,4.0,0.0,16.0,18.0,17.0,21.0,1.0,5.0,,4.0,1.0,,,,,75.0,49.0,7.1,7.0,0.036777,0,,,2.0,,,,1.0,1.0,,1.0,,,,2.0,,2.0,2.0,,,,,,,,1.0,,,,,,,,
12530754,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171,278,M,923888,EUR,892425600,M,40,40,False,25.0,23.0,2.0,2.0,0.0,8.0,9.0,15.0,16.0,,7.0,,8.0,4.0,,,,,90.0,47.0,6.9,8.0,0.021337,1,,,8.0,1.0,1.0,,2.0,,,2.0,,,,,,6.0,3.0,1.0,0.083,3.0,,,,,,,,,,,,,
