match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_lastManTackle,stat_ownGoals,stat_totalContest,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_clearanceOffLine
11352569,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,545,M,45959,EUR,719798400,G,24,24,False,31.0,21.0,18.0,8.0,19.0,21.0,2.0,10.0,,,7.0,,,,3.0,1.0,2.0,,,,90.0,40.0,6.8,10.0,0.00058764,0,0.6322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,754,M,979233,EUR,1020124800,D,15,15,False,26.0,21.0,8.0,3.0,14.0,16.0,7.0,10.0,3.0,7.0,3.0,,,,,,,,,,90.0,45.0,6.9,7.0,0.133007,1,,,,1.0,3.0,4.0,,1.0,3.0,,1.0,2.0,,,1.0,,,0.0852,,1.0,,,,,,,,,,,,,
11352569,away,Luton Town,Gabriel Osho,,,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,2,2,False,23.0,17.0,3.0,,16.0,20.0,1.0,3.0,2.0,2.0,6.0,1.0,,,,,,,,,90.0,32.0,6.7,6.0,0.00125655,0,,,,1.0,1.0,2.0,,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Amari'i Bell,,,amarii-bell,A. Bell,D,17,179,289,M,369674,EUR,768096000,D,29,29,False,49.0,37.0,6.0,,30.0,35.0,7.0,18.0,7.0,3.0,3.0,2.0,,1.0,,,,,,,90.0,70.0,6.5,19.0,0.00672347,0,,4.0,,7.0,4.0,11.0,,1.0,5.0,1.0,1.0,2.0,,True,,,,,,,,,2.0,,,,,,,,,,
11352569,away,Luton Town,Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,521,M,945792,EUR,945734400,M,45,45,False,29.0,23.0,5.0,4.0,13.0,14.0,12.0,23.0,4.0,3.0,2.0,1.0,,,,,,,,,78.0,54.0,7.7,15.0,0.0627408,2,,8.0,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,0.1087,0.1514,1.0,,,2.0,,,,,2.0,,1.0,,,
11352569,away,Luton Town,Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,28,28,False,32.0,28.0,3.0,2.0,16.0,18.0,12.0,15.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,90.0,50.0,8.2,6.0,0.00785803,1,,1.0,,3.0,,4.0,1.0,3.0,,2.0,,,1.0,,,,,0.0319,,,,,1.0,,,,1.0,1.0,,1.0,,,2.0
11352569,away,Luton Town,Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,M,6,6,False,59.0,49.0,7.0,5.0,17.0,23.0,32.0,37.0,8.0,1.0,9.0,3.0,,1.0,,,,,,,90.0,80.0,7.8,11.0,0.0344054,3,,1.0,,3.0,1.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,0.1122,0.0776,,,,3.0,,,,,3.0,,1.0,,,
11352569,away,Luton Town,Ryan Giles,,,ryan-giles,R. Giles,D,3,179,245,M,931304,EUR,948844800,M,26,26,False,20.0,16.0,,,8.0,10.0,8.0,11.0,4.0,3.0,3.0,2.0,,,,,,,,,72.0,40.0,7.1,6.0,0.0273516,0,,1.0,,,2.0,,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,590,M,47992,EUR,679622400,F,30,30,False,18.0,16.0,2.0,1.0,2.0,3.0,15.0,18.0,3.0,,3.0,2.0,,,,,,,,,84.0,30.0,7.0,7.0,0.203754,3,,3.0,1.0,1.0,,5.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,0.1704,0.2784,,,,3.0,,,,,1.0,,1.0,,,
