match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_wonTackle,stat_keyPass,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_punches,stat_errorLeadToAShot,stat_totalOffside
14062212,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,26.0,19.0,13.0,6.0,0.0,17.0,19.0,2.0,7.0,1.0,1.0,9.0,1.0,4.0,5.0,1.0,1.0,90.0,39.0,8.8,7.0,0.00113137,36.749382748022,8.0,17.384131329749,0.0,0.7355,0,1.7115,0.08,0.0,0.36,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062212,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,32.0,31.0,,,0.0,22.0,22.0,9.0,10.0,,2.0,3.0,,,,,,45.0,36.0,6.8,1.0,0.00620601,68.367270095158,9.0,26.421897875967,0.0,,1,,0.18,0.02,0.15,,,,1.0,0.0202,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062212,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,66.0,62.0,6.0,5.0,0.0,48.0,48.0,14.0,18.0,5.0,6.0,3.0,,,,,,90.0,78.0,7.7,5.0,0.0177616,140.33941603286,26.0,38.708018906818,0.0,,0,,0.38,0.14,0.32,,,,,,,2.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14062212,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,False,77.0,68.0,10.0,3.0,0.0,48.0,52.0,20.0,25.0,2.0,2.0,4.0,,,,,,90.0,91.0,7.8,13.0,0.00993084,194.39732368079,20.0,121.86416243111,1.0,,1,,0.33,0.16,-0.01,,,,,0.3312,0.37,4.0,2.0,7.0,,,,,1.0,,3.0,1.0,1.0,3.0,0.928,28.409988216228,33.429859766382,,,,,,,,,,,,
14062212,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,M,26,26,False,37.0,27.0,2.0,1.0,4.0,9.0,10.0,18.0,27.0,5.0,1.0,4.0,1.0,,,,,90.0,74.0,10.0,24.0,1.1972,131.95578235551,20.0,24.676872440427,1.0,,0,,1.0,-0.18,-0.03,,,,,,,1.0,,6.0,,4.0,2.0,,2.0,2.0,2.0,,,1.0,,17.679537469677,18.071639687643,15.0,6.0,1.0,4.0,2.0,5.0,,,,,,
14062212,home,Borussia Dortmund,Jobe Bellingham,jobe-bellingham,J. Bellingham,M,7,189,41442,M,Jobe,1134083,EUR,1127433600,M,7,7,False,55.0,46.0,5.0,2.0,0.0,23.0,23.0,23.0,32.0,,2.0,7.0,,,,,,90.0,70.0,7.0,13.0,0.0494913,131.28411750086,13.0,50.882905643698,2.0,,1,,0.27,0.2,0.31,,Jobe Bellingham,,,0.048,0.0,,,2.0,,1.0,,1.0,4.0,,1.0,,,2.0,,27.634324800474,67.660588495801,1.0,,,,,,1.0,,,,,
14062212,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,,907463,EUR,971136000,M,8,8,False,33.0,29.0,2.0,2.0,0.0,16.0,16.0,13.0,17.0,6.0,1.0,1.0,1.0,,,,,74.0,43.0,7.1,7.0,0.0240015,114.15501236386,12.0,30.761872698921,1.0,,2,,0.02,0.37,0.0,,,,,0.2231,0.14,,3.0,1.0,,3.0,2.0,,,,,1.0,,2.0,0.1882,7.7109583598889,8.2435839293356,,,,,,1.0,1.0,,,,,
14062212,home,Borussia Dortmund,Daniel Svensson,daniel-svensson,D. Svensson,M,24,183,3298,M,,1021272,EUR,1013472000,M,24,24,False,36.0,27.0,4.0,1.0,0.0,19.0,21.0,8.0,15.0,1.0,2.0,3.0,,,,,,90.0,58.0,6.7,16.0,0.133319,63.174701727931,10.0,20.841879241347,1.0,,0,,0.06,0.16,0.19,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,2.0,,6.6868979821104,7.3193237392535,5.0,1.0,,1.0,,2.0,,,,,,
14062212,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,,980628,EUR,1034812800,F,14,14,False,15.0,7.0,,,0.0,2.0,5.0,5.0,10.0,5.0,,1.0,1.0,,,,,61.0,31.0,7.7,15.0,0.168574,41.734978814995,6.0,10.979941546198,0.0,,2,,-0.06,0.01,-0.06,,,,,0.3575,0.56,,2.0,2.0,,2.0,,,,2.0,,2.0,1.0,3.0,0.8121,,,1.0,,,,,1.0,,,,,,
14062212,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,F,10,10,False,29.0,19.0,4.0,,0.0,5.0,5.0,14.0,24.0,2.0,,3.0,,,,,,61.0,36.0,6.8,12.0,0.0298847,36.523456850226,6.0,17.500713423471,0.0,,1,,0.24,0.11,-0.01,,,,,0.1741,0.08,,1.0,1.0,,2.0,1.0,,,,,1.0,,,0.3124,,,1.0,,,,,1.0,,True,,,,
