match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_penaltyFaced,stat_totalOffside,stat_penaltyConceded
11050625,home,Fenerbahçe,Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15107,M,altaybayindir,815890,EUR,892512000,G,1,1,False,True,13.0,12.0,3.0,2.0,11.0,11.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,4.0,1.0,1.0,90.0,25.0,7.7,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11050625,home,Fenerbahçe,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,,86.0,76.0,4.0,1.0,21.0,23.0,55.0,65.0,,8.0,,7.0,,,,,,90.0,113.0,7.4,15.0,0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,,
11050625,home,Fenerbahçe,Samet Akaydın,,,samet-akaydin,S. Akaydın,D,3,190,969,M,,863600,EUR,763516800,D,3,3,False,,87.0,80.0,5.0,2.0,45.0,47.0,35.0,40.0,3.0,4.0,2.0,11.0,,,,,,90.0,92.0,7.1,7.0,1,,,2.0,,1.0,1.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,
11050625,home,Fenerbahçe,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2464,M,,823092,EUR,885254400,D,41,41,False,,77.0,68.0,3.0,2.0,42.0,45.0,26.0,32.0,1.0,1.0,1.0,,,,,,,90.0,80.0,7.7,9.0,2,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,
11050625,home,Fenerbahçe,Lincoln,,,lincoln,Lincoln,M,18,177,846,M,,794928,EUR,910396800,D,18,18,False,,64.0,61.0,4.0,3.0,20.0,21.0,41.0,46.0,,8.0,,7.0,,,,,,90.0,87.0,7.9,10.0,2,3.0,,5.0,,3.0,1.0,1.0,4.0,,2.0,3.0,3.0,2.0,,1.0,,,,1.0,1.0,1.0,,,,,
11050625,home,Fenerbahçe,Willian Arão,,,willian-arao,Willian Arão,M,15,181,1888,M,,242213,EUR,700358400,M,5,5,False,,60.0,57.0,5.0,4.0,18.0,19.0,39.0,42.0,3.0,4.0,,7.0,,,,,,57.0,64.0,6.9,4.0,0,1.0,1.0,3.0,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,
11050625,home,Fenerbahçe,Diego Rossi,,,diego-rossi,D. Rossi,F,10,170,1997,M,,831809,EUR,894153600,M,9,9,False,,54.0,50.0,,,12.0,12.0,39.0,46.0,3.0,8.0,,1.0,,,,,,80.0,72.0,7.5,10.0,2,4.0,2.0,6.0,1.0,5.0,4.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,
11050625,home,Fenerbahçe,Miha Zajc,,,miha-zajc,M. Zajc,M,8,180,1173,M,,139256,EUR,773020800,M,26,26,False,,62.0,60.0,3.0,2.0,24.0,24.0,36.0,39.0,,2.0,,6.0,,,,,,68.0,68.0,7.0,4.0,1,1.0,,4.0,2.0,2.0,2.0,1.0,,,1.0,,2.0,1.0,,,,1.0,,,,,,,,,
11050625,home,Fenerbahçe,İrfan Can Kahveci,,,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,M,17,17,False,,21.0,19.0,2.0,2.0,7.0,7.0,14.0,19.0,,6.0,,5.0,,,,,,57.0,40.0,7.3,9.0,0,5.0,,3.0,,2.0,1.0,,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,2.0,,,,
11050625,home,Fenerbahçe,Enner Valencia,,,enner-valencia,E. Valencia,F,10,177,9801,M,ennervalencia,106456,EUR,626140800,F,13,13,False,,24.0,21.0,,,2.0,2.0,19.0,24.0,,3.0,,3.0,,,,,,90.0,41.0,8.0,13.0,3,2.0,1.0,8.0,2.0,3.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,2.0,,,,,2.0,,,
11050625,home,Fenerbahçe,Joshua King,,,joshua-king,J. King,F,7,180,2230,M,,100621,EUR,695433600,F,15,15,False,,13.0,10.0,,,2.0,2.0,8.0,13.0,,3.0,,,,,,,,68.0,27.0,7.0,12.0,1,2.0,1.0,7.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,5.0,,,
