match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_fouls,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock
10382246,home,FC Groningen,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,20,20,False,True,27.0,22.0,9.0,4.0,19.0,20.0,3.0,7.0,8.0,1.0,90.0,35.0,6.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382246,home,FC Groningen,Liam van Gelderen,,,liam-van-gelderen,L. v. Gelderen,D,4,178,172,M,910049,EUR,985305600,D,19,19,False,,38.0,28.0,2.0,,8.0,9.0,21.0,30.0,3.0,,76.0,65.0,7.9,17.0,1,1.0,1.0,1.0,1.0,5.0,9.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,
10382246,home,FC Groningen,Thijmen Blokzijl,Thijmen Blokzijl,,thijmen-blokzijl,T. Blokzijl,D,3,181,296,M,1121401,EUR,1109289600,D,42,42,False,,74.0,62.0,8.0,1.0,43.0,46.0,19.0,28.0,5.0,,90.0,86.0,7.0,12.0,2,,,2.0,3.0,4.0,5.0,1.0,,,,,,6.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
10382246,home,FC Groningen,Radinio Balker,,,balker-radinio,R. Balker,D,12,190,152,M,947049,EUR,904780800,D,12,12,False,,66.0,60.0,7.0,3.0,48.0,50.0,12.0,16.0,5.0,,90.0,73.0,7.1,6.0,0,,,4.0,3.0,5.0,5.0,,,2.0,2.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,
10382246,home,FC Groningen,Isak Dybvik Määttä,,,isak-dybvik-maatta,I. D. Määttä,F,25,188,289,M,980915,EUR,1000857600,D,18,18,False,,35.0,27.0,3.0,2.0,11.0,13.0,17.0,23.0,7.0,,90.0,49.0,7.2,13.0,0,1.0,1.0,,2.0,2.0,3.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,
10382246,home,FC Groningen,Tomáš Suslov,,,tomas-suslov,T. Suslov,F,10,175,1255,M,964154,EUR,1023408000,M,7,7,False,,30.0,23.0,2.0,1.0,12.0,15.0,11.0,19.0,5.0,,90.0,57.0,7.1,18.0,1,4.0,,,,9.0,7.0,2.0,,7.0,3.0,,,,2.0,,1.0,,2.0,3.0,1.0,,3.0,3.0,1.0,,,,,,,,
10382246,home,FC Groningen,Johan Hove,,,johan-hove,J. Hove,M,8,177,335,M,839953,EUR,968284800,M,8,8,False,,61.0,43.0,7.0,3.0,23.0,29.0,22.0,37.0,6.0,,87.0,82.0,8.0,23.0,2,5.0,2.0,2.0,7.0,4.0,11.0,2.0,,,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,
10382246,home,FC Groningen,Ragnar Oratmangoen,,,ragnar-oratmangoen,R. Oratmangoen,M,11,181,5722,M,899651,EUR,885340800,M,34,34,False,,48.0,42.0,1.0,,21.0,24.0,21.0,24.0,7.0,,76.0,58.0,6.8,8.0,0,,,,2.0,3.0,5.0,1.0,,1.0,,,,1.0,,,2.0,2.0,1.0,,,,1.0,1.0,,0ratmangoen,,,,,,,
10382246,home,FC Groningen,Daleho Irandust,,,daleho-irandust,D. Irandust,M,,175,412,M,860148,EUR,896918400,F,10,10,False,,18.0,13.0,1.0,1.0,4.0,5.0,9.0,14.0,7.0,,76.0,40.0,8.3,14.0,4,1.0,,2.0,,5.0,5.0,,3.0,3.0,3.0,1.0,,,,,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,
10382246,home,FC Groningen,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3729,M,986395,EUR,1042070400,F,9,9,False,,17.0,11.0,,,3.0,3.0,9.0,15.0,3.0,,90.0,30.0,7.9,8.0,5,1.0,1.0,2.0,,4.0,4.0,1.0,,5.0,4.0,4.0,1.0,,,,,,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,2.0,,,
