match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_totalClearance,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyConceded,stat_challengeLost,stat_interceptionWon,stat_errorLeadToAShot,captain,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_penaltyWon,stat_goals
14131876,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193,156,M,82598,EUR,638150400,G,40,40,False,30.0,14.0,24.0,8.0,0.0,12.0,13.0,2.0,17.0,10.0,2.0,1.0,2.0,90.0,38.0,6.9,16.0,0.00066853,0.3485,0,0.7759,0.03,0.01,-0.09,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Sidny Lopes Cabral,sidny-lopes-cabral,S. L. Cabral,D,15,176,1269,M,1117723,EUR,1032307200,D,55,55,False,16.0,10.0,1.0,,0.0,3.0,7.0,7.0,9.0,3.0,,,,90.0,47.0,6.8,19.0,0.460323,,2,,0.38,0.01,-0.2,,Sidny Lopes Cabral,,9.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0866,0.0817,2.0,-0.17,,,,,,,,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,249,M,1002565,EUR,1011484800,D,30,30,False,34.0,30.0,6.0,3.0,0.0,20.0,22.0,10.0,12.0,2.0,,,,90.0,48.0,7.3,4.0,0.00285064,,0,,0.08,0.08,0.3,,,,,,1.0,,4.0,,,,,,,2.0,1.0,,,,,,,7.0,2.0,1.0,,,,,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191,188,M,1017590,EUR,922060800,D,14,14,False,43.0,35.0,9.0,5.0,0.0,25.0,25.0,10.0,18.0,4.0,,,,90.0,59.0,7.9,8.0,0.00951597,,0,,0.2,0.07,0.6,,,,,,8.0,3.0,12.0,,,,,,,3.0,3.0,,,,,,,8.0,1.0,1.0,3.0,,,,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Atanas Chernev,chernev-atanas,A. Chernev,D,16,193,204,M,1031642,EUR,1017014400,D,79,79,False,28.0,22.0,4.0,3.0,0.0,16.0,19.0,6.0,9.0,2.0,,,,90.0,36.0,5.5,8.0,0.00349875,,1,,0.06,0.02,-0.48,,,,,,3.0,7.0,5.0,1.0,,,,,,1.0,,,2.0,0.5617,,1.0,-0.64,2.0,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,11,178,236,M,1134514,EUR,988416000,D,7,7,False,13.0,10.0,1.0,1.0,0.0,3.0,4.0,7.0,9.0,3.0,,,,74.0,26.0,6.6,5.0,0.00231743,,0,,-0.05,0.1,-0.17,,,,,,1.0,3.0,5.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,
14131876,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178,255,M,1090543,EUR,946771200,M,99,99,False,14.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,8.0,2.0,,,,82.0,30.0,6.8,7.0,0.0111592,,0,,0.04,0.09,0.2,,Abraham Marcus,,,,1.0,7.0,6.0,2.0,1.0,1.0,,,,2.0,2.0,3.0,2.0,,,1.0,,2.0,,2.0,3.0,,,,1.0,1.0,,,,,,,,,
14131876,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,30.0,24.0,3.0,3.0,0.0,12.0,13.0,12.0,17.0,3.0,,,,90.0,37.0,6.8,7.0,0.00522237,,1,,0.05,0.01,-0.11,,Paulo,Moreira,,,1.0,,4.0,,,,,,1.0,,,1.0,,0.0173,,,0.0,,1.0,3.0,,,,,,,1.0,,,,,,,,
14131876,home,CF Estrela Amadora,Jovane Cabral,jovane-cabral,J. Cabral,F,11,176,1128,M,845802,EUR,897782400,M,11,11,False,27.0,20.0,4.0,3.0,0.0,10.0,13.0,10.0,14.0,5.0,,,,82.0,63.0,7.3,14.0,0.00824189,,5,,0.17,0.07,0.22,,,,,,,6.0,12.0,,6.0,4.0,,,1.0,3.0,3.0,5.0,3.0,0.1509,,1.0,-0.35,1.0,,5.0,1.0,,4.0,,,1.0,,True,,,,,,,
14131876,home,CF Estrela Amadora,Joao Gastao,gastao-joao,J. Gastao,F,89,180,63,M,2218660,EUR,1153526400,F,89,89,False,9.0,6.0,,,0.0,,,6.0,9.0,1.0,,,,64.0,18.0,6.3,4.0,0.00347735,,1,,0.0,-0.53,0.22,,,,,,2.0,7.0,4.0,1.0,,,,1.0,,,,,1.0,0.0474,0.3062,1.0,0.01,,,2.0,5.0,,,,,1.0,,,1.0,1.0,,,,,
