match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_keyPass,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoalsOnTarget,stat_aerialLost,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_challengeLost,stat_bigChanceMissed,stat_goals,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAGoal,stat_ownGoals,stat_errorLeadToAShot
12450962,home,Le Havre,Arthur Desmas,arthur-desmas,A. Desmas,G,16,196,105,M,798306,EUR,765676800,G,30,30,False,19.0,17.0,4.0,2.0,0.0,16.0,16.0,1.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,90.0,30.0,6.8,2.0,0.00012861,0,-0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450962,home,Le Havre,Loic Négo,loic-nego,L. Négo,D,7,179,819,M,54308,EUR,663897600,D,7,7,False,30.0,25.0,1.0,,0.0,8.0,9.0,17.0,25.0,3.0,2.0,1.0,,,,90.0,46.0,7.3,12.0,0.236068,1,,,,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.082,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12450962,home,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,62.0,52.0,8.0,3.0,0.0,25.0,28.0,27.0,34.0,9.0,3.0,2.0,,,,90.0,76.0,7.5,10.0,0.0234797,2,,,,,2.0,,,1.0,3.0,2.0,,0.1071,,True,4.0,1.0,4.0,1.0,1.0,2.0,0.0527,,,,,,,,,,,,,,,,,,
12450962,home,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,False,49.0,44.0,4.0,2.0,0.0,33.0,36.0,11.0,13.0,9.0,3.0,,,,,90.0,65.0,7.1,7.0,0.00464857,0,,,,,2.0,2.0,1.0,,2.0,1.0,,,,,6.0,,6.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
12450962,home,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,57.0,51.0,8.0,3.0,0.0,29.0,30.0,22.0,27.0,3.0,3.0,,,,,90.0,64.0,6.7,7.0,0.0197312,0,,,,,1.0,,,,1.0,1.0,,,,,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
12450962,home,Le Havre,Christopher Operi,christopher-operi,C. Operi,D,21,182,1311,M,858977,EUR,862272000,D,27,27,False,49.0,40.0,4.0,1.0,1.0,17.0,21.0,28.0,41.0,4.0,4.0,1.0,,,,90.0,84.0,8.5,21.0,0.432166,2,,,,13.0,1.0,2.0,1.0,1.0,2.0,2.0,,0.0674,8.0,,,1.0,1.0,,1.0,1.0,0.0208,,2.0,5.0,2.0,,,,,,,,,,,,,,
12450962,home,Le Havre,Rassoul Ndiaye,rassoul-ndiaye,R. Ndiaye,M,14,179,1884,M,992026,EUR,1008028800,M,19,19,False,25.0,18.0,,,0.0,9.0,10.0,9.0,15.0,2.0,6.0,1.0,,,,61.0,34.0,7.1,8.0,0.136538,4,,,,,5.0,,,2.0,1.0,1.0,,0.8508,1.0,,,2.0,,,,2.0,0.6559,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,
12450962,home,Le Havre,Yassine Kechta,yassine-kechta,Y. Kechta,M,8,166,2008,M,1000442,EUR,1014595200,M,8,8,False,32.0,27.0,,,0.0,7.0,10.0,20.0,22.0,4.0,2.0,2.0,,,,82.0,44.0,7.4,6.0,0.156293,4,,,,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1571,2.0,,,1.0,,,1.0,2.0,0.7005,2.0,,,,1.0,,,1.0,2.0,,,,,,,,,
12450962,home,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,41.0,38.0,5.0,4.0,0.0,20.0,21.0,18.0,20.0,4.0,3.0,3.0,,,,90.0,56.0,7.4,8.0,0.0354026,2,,,,,5.0,,,,,,,0.8079,1.0,,1.0,1.0,2.0,1.0,,,0.7845,1.0,,,,,,1.0,4.0,1.0,,,,,,,,,
12450962,home,Le Havre,Oussama Targhalline,oussama-targhalline,O. Targhalline,M,28,186,7779,M,1095731,EUR,1021852800,M,5,5,False,38.0,30.0,3.0,1.0,0.0,12.0,13.0,18.0,25.0,3.0,7.0,1.0,,,,90.0,50.0,7.0,10.0,0.0379643,2,,Oussama Targhalline,,,2.0,,,,1.0,1.0,1.0,0.0712,1.0,,1.0,,2.0,,2.0,,,,1.0,,,1.0,,,1.0,2.0,targhaoussama,,,,,,,,
