match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,captain,stat_goals,stat_wasFouled,stat_fouls,stat_accurateCross,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_clearanceOffLine,stat_errorLeadToAShot
11399492,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203,438,M,339339,EUR,765676800,G,44,44,False,16.0,11.0,7.0,2.0,10.0,10.0,1.0,6.0,1.0,1.0,2.0,8.0,1.0,2.0,4.0,2.0,90.0,31.0,6.1,6.0,0.0,0.0,0.00030938,0,-0.4534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399492,home,SC Heerenveen,Hussein Ali,hussein-ali,H. Ali,D,15,180,1946,M,962056,EUR,1014940800,D,15,15,False,22.0,18.0,4.0,1.0,9.0,10.0,9.0,14.0,1.0,3.0,1.0,4.0,,,,,77.0,43.0,6.4,7.0,0.0125,0.0,0.0103593,1,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11399492,home,SC Heerenveen,Syb van Ottele,syb-van-ottele,S. v. Ottele,D,6,185,91,M,961686,EUR,1012608000,D,6,6,False,73.0,64.0,14.0,7.0,28.0,32.0,36.0,41.0,4.0,7.0,3.0,10.0,,,,,90.0,97.0,7.7,12.0,0.2532,0.0,0.253636,4,,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11399492,home,SC Heerenveen,Paweł Bochniewicz,pawel-bochniewicz,P. Bochniewicz,D,4,194,794,M,286097,EUR,822960000,D,5,5,False,71.0,63.0,6.0,4.0,29.0,32.0,34.0,39.0,5.0,6.0,6.0,5.0,,,,,90.0,86.0,7.6,9.0,0.6214,0.9717,0.0458287,1,,,3.0,3.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,
11399492,home,SC Heerenveen,Mats Köhlert,mats-kohlert,M. Köhlert,D,27,168,173,M,794998,EUR,894067200,D,7,7,False,56.0,48.0,3.0,1.0,16.0,18.0,33.0,46.0,,2.0,2.0,5.0,,,,,90.0,82.0,6.6,17.0,0.0,0.0,0.114516,0,,8.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,
11399492,home,SC Heerenveen,Thom Haye,thom-haye,T. Haye,M,33,187,10984,M,149666,EUR,792288000,M,33,33,False,75.0,60.0,15.0,10.0,19.0,21.0,44.0,60.0,3.0,5.0,2.0,12.0,,,,,90.0,104.0,7.4,24.0,0.0995,0.0,0.455661,3,,6.0,2.0,7.0,1.0,2.0,,1.0,1.0,,3.0,,,,,,1.0,4.0,,,1.0,1.0,3.0,thomhaye,3.0,,,,,,,,
11399492,home,SC Heerenveen,Anas Tahiri,anas-tahiri,A. Tahiri,M,19,179,260,M,544156,EUR,800496000,M,26,26,False,69.0,63.0,3.0,1.0,22.0,25.0,41.0,44.0,,1.0,2.0,7.0,,,,,90.0,81.0,7.0,8.0,0.0661,0.0,0.099424,2,,,2.0,3.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,
11399492,home,SC Heerenveen,Ché Nunnely,che-nunnely,C. Nunnely,M,11,170,190,M,825841,EUR,918086400,M,17,17,False,13.0,11.0,,,5.0,5.0,6.0,9.0,,2.0,,1.0,,,,,77.0,20.0,6.7,5.0,0.0129,0.054,0.164873,1,,1.0,1.0,2.0,,,,,1.0,,1.0,Ché,Nunnely,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,
11399492,home,SC Heerenveen,Simon Olsson,simon-olsson,S. Olsson,M,10,185,159,M,850851,EUR,874195200,M,19,19,False,17.0,11.0,,,1.0,1.0,10.0,16.0,,,,3.0,,,,,62.0,26.0,6.6,12.0,0.3364,0.7903,0.17855,2,,,,1.0,,,,,,,4.0,,,,,1.0,1.0,3.0,,,,,,,1.0,,1.0,,,,,,
11399492,home,SC Heerenveen,Osame Sahraoui,osame-sahraoui,O. Sahraoui,M,11,170,7357,M,965357,EUR,992217600,M,20,20,False,46.0,39.0,,,5.0,5.0,35.0,47.0,,6.0,,3.0,,,,,90.0,79.0,6.9,26.0,0.4549,0.0,1.08214,3,,6.0,1.0,12.0,,3.0,,,,,3.0,,,13.0,4.0,,,3.0,,,2.0,,1.0,osamesahraoui,2.0,1.0,1.0,1.0,1.0,,,,
