match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_interceptionWon,captain,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_ownGoals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_wasFouled,stat_bigChanceMissed,stat_goals,stat_blockedScoringAttempt,player_sofascoreId,player_lastName,stat_errorLeadToAShot,stat_hitWoodwork,stat_errorLeadToAGoal,stat_totalOffside
14083125,home,Espanyol,Marko Dmitrović,marko-dmitrovic,M. Dmitrović,G,13,194,1184,M,94527,EUR,696211200,G,13,13,False,20.0,10.0,16.0,6.0,0.0,5.0,5.0,5.0,15.0,1.0,5.0,1.0,2.0,3.0,5.0,90.0,32.0,7.4,12.0,0.00122675,30.553964494862,6.0,16.065,7.455,0.5978,0,-0.302,0.05,0.02,-0.03,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083125,home,Espanyol,Omar El Hilali,omar-el-hilali,O. E. Hilali,D,23,183,6663,M,1064026,EUR,1063324800,D,23,23,False,17.0,11.0,2.0,,0.0,4.0,7.0,7.0,10.0,2.0,1.0,,,,,90.0,38.0,6.7,8.0,0.0104024,15.380049645038,3.0,-5.67,2.625,,0,,0.0,-0.03,-0.17,,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083125,home,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183,302,M,857205,EUR,811036800,D,5,5,False,26.0,20.0,7.0,3.0,0.0,15.0,16.0,5.0,10.0,6.0,1.0,,,,,90.0,39.0,6.9,6.0,0.00686645,40.609458353481,4.0,20.475,8.085,,0,,0.25,0.01,0.26,,,1.0,4.0,3.0,,1.0,2.0,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083125,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,6,6,False,24.0,18.0,9.0,4.0,0.0,7.0,8.0,11.0,16.0,6.0,3.0,1.0,,,,90.0,39.0,6.7,8.0,0.00852246,50.291951053309,7.0,15.645,8.505,,1,,0.17,0.01,-0.56,,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,True,1.0,1.0,1.0,0.0148,0.1983,-0.16,,,,,,,,,,,,,,,,,,
14083125,home,Espanyol,Carlos Romero,carlos-romero,C. Romero,D,22,174,1103,M,1396048,EUR,1004313600,D,22,22,False,27.0,16.0,6.0,2.0,0.0,4.0,5.0,12.0,22.0,2.0,3.0,,,,,90.0,58.0,6.4,19.0,0.0384734,141.44669193671,8.0,69.405,38.85,,1,,-0.05,0.29,-0.02,,,,9.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,,,,,0.0603,,-0.14,Carlos Romero,2.0,1.0,1.0,,,,,,,,,,,,,,
14083125,home,Espanyol,Tyrhys Dolan,tyrhys-dolan,T. Dolan,M,24,170,687,M,1063015,EUR,1009497600,M,24,24,False,16.0,14.0,1.0,1.0,1.0,1.0,2.0,13.0,14.0,,2.0,7.0,,,,88.0,41.0,6.7,14.0,0.183776,110.3443950786,12.0,28.35,13.335,,0,,0.19,0.25,-0.04,,4.0,,8.0,5.0,,,2.0,2.0,3.0,1.0,,,,,,,,,Tyrhys Dolan,2.0,5.0,,3.0,3.0,1.0,3.0,,,,,,,,,,
14083125,home,Espanyol,Urko González,urko-gonzalez,U. González,M,4,189,462,M,1064009,EUR,985046400,M,4,4,False,18.0,14.0,1.0,,1.0,3.0,4.0,11.0,14.0,2.0,4.0,,,,,90.0,27.0,7.2,5.0,0.0117759,56.394663031179,5.0,48.51,20.16,,0,,0.38,0.17,-0.11,,,1.0,6.0,4.0,4.0,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
14083125,home,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175,1017,M,877262,EUR,838857600,M,8,8,False,22.0,15.0,2.0,1.0,0.0,5.0,5.0,10.0,17.0,1.0,2.0,1.0,,,,62.0,32.0,6.7,10.0,0.0197604,41.809591883534,9.0,12.075,7.245,,0,,0.09,0.04,0.16,,2.0,,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14083125,home,Espanyol,Ramón Terrats,ramon-terrats,R. Terrats,M,14,179,517,M,1088565,EUR,971827200,M,14,14,False,8.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,6.0,,1.0,2.0,,,,62.0,25.0,6.6,6.0,0.0103645,3.2507231503159,1.0,2.415,2.415,,0,,0.04,-0.35,0.22,,1.0,,4.0,2.0,,1.0,2.0,1.0,,2.0,2.0,,,,,,,,Ramón Terrats,1.0,1.0,,,,1.0,2.0,,,,,,,,,,
14083125,home,Espanyol,Pere Milla,pere-milla,P. Milla,M,11,179,867,M,175185,EUR,717206400,F,11,11,False,21.0,16.0,,,0.0,8.0,10.0,8.0,11.0,1.0,3.0,1.0,,,,74.0,32.0,7.6,9.0,0.00484074,43.487719663915,7.0,17.955,19.005,,2,,-0.14,0.02,0.2,,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,2.0,,,0.743,1.0845,0.59,,,1.0,,,,,,,1.0,1.0,,,,,,,
