match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wonTackle,stat_goalAssist,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_crossNotClaimed,stat_goodHighClaim,stat_punches,stat_outfielderBlock,stat_lastManTackle,stat_ownGoals,stat_errorLeadToAGoal
10385645,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,15.0,13.0,5.0,3.0,12.0,12.0,1.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,90.0,22.0,6.7,2.0,0.0,0.0,0.0001053,1.0,0,-0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385645,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,69.0,59.0,9.0,7.0,27.0,29.0,38.0,56.0,,9.0,,,,,90.0,105.0,7.8,22.0,0.0,0.0,0.897728,5.0,0,,True,16.0,6.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10385645,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,65.0,55.0,12.0,6.0,31.0,32.0,25.0,34.0,,8.0,,,,,90.0,72.0,6.4,12.0,0.0,0.0,0.0510715,1.0,0,,,1.0,1.0,6.0,4.0,2.0,,1.0,,,,,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
10385645,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,52.0,43.0,3.0,1.0,34.0,36.0,9.0,16.0,3.0,5.0,,,,,90.0,60.0,7.0,9.0,0.9878,0.695,0.00610473,,3,,,,,1.0,4.0,,,,,,1.0,,,1.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10385645,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,55.0,44.0,7.0,4.0,22.0,24.0,22.0,32.0,1.0,9.0,,,,,90.0,79.0,6.8,16.0,0.0,0.0,0.0360784,1.0,0,,,1.0,,3.0,9.0,2.0,,1.0,,,3.0,2.0,1.0,,7.0,3.0,,,,,,1.0,,,,,,,,,,,
10385645,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,48.0,37.0,3.0,1.0,14.0,16.0,23.0,33.0,2.0,9.0,,,,,90.0,66.0,6.3,18.0,0.1889,0.0,0.0415452,1.0,2,,,1.0,,10.0,6.0,3.0,2.0,3.0,,,,3.0,,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,
10385645,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,67.0,58.0,8.0,5.0,23.0,25.0,35.0,44.0,,10.0,,,,,90.0,90.0,7.4,19.0,0.2067,0.0,0.45223,3.0,2,,,2.0,,9.0,11.0,2.0,4.0,4.0,3.0,,,4.0,3.0,,1.0,3.0,2.0,,2.0,,,2.0,,,,,,,,,,,
10385645,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,29.0,25.0,,,9.0,11.0,17.0,22.0,,4.0,,,,,89.0,51.0,6.7,12.0,0.2358,0.3773,0.238323,2.0,4,,,4.0,1.0,6.0,4.0,3.0,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,
10385645,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,24.0,16.0,2.0,1.0,5.0,5.0,12.0,23.0,,5.0,,,,,69.0,40.0,7.1,16.0,0.1365,0.0,0.00869538,1.0,2,,,4.0,1.0,2.0,5.0,,2.0,2.0,2.0,,,3.0,,,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,
10385645,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,30.0,24.0,4.0,4.0,7.0,7.0,17.0,24.0,,3.0,,,,,89.0,46.0,8.3,11.0,0.0,0.0,0.446992,3.0,0,,,1.0,,2.0,7.0,,,6.0,5.0,2.0,1.0,1.0,1.0,,,3.0,1.0,,,,,,1.0,,,,,,,,,,
10385645,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15696,M,AGordon,914902,EUR,982972800,F,8,8,False,21.0,16.0,,,7.0,8.0,10.0,16.0,,2.0,,,,,45.0,41.0,6.4,15.0,0.5893,0.0,0.221507,,2,,,3.0,1.0,5.0,3.0,,2.0,4.0,2.0,,1.0,1.0,,1.0,,3.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,
10385645,home,Newcastle United,Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3241,M,,113956,EUR,699148800,F,9,9,True,2.0,1.0,,,,,1.0,2.0,,,,,,,45.0,16.0,8.4,4.0,2.341,1.167,0.00919547,,6,,,,,5.0,4.0,1.0,,3.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,2.0,1.0,,,,,,,
10385645,home,Newcastle United,Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8461,M,miguel_almiron,333373,EUR,760838400,M,24,24,True,12.0,10.0,,,4.0,4.0,6.0,8.0,,1.0,,,,,21.0,16.0,6.6,5.0,0.0,0.0,0.0252981,,0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
10385645,home,Newcastle United,Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,303,M,,42699,EUR,621388800,M,11,11,True,4.0,3.0,,,,,3.0,4.0,,,,,,,1.0,5.0,,2.0,0.0,0.0,0.00424645,,0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10385645,home,Newcastle United,Elliot Anderson,,,elliot-anderson,E. Anderson,M,8,179,7705,M,,994546,EUR,1036540800,M,32,32,True,5.0,4.0,1.0,,1.0,1.0,3.0,4.0,,,,,,,1.0,6.0,,1.0,0.0943,0.0,0.0012418,,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
