match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_fouls,stat_wasFouled,stat_goals,captain,stat_shotOffTarget,stat_hitWoodwork,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded
12764408,home,Bodø/Glimt,Nikita Haikin,,,haikin-nikita,N. Haikin,G,12,185.0,865,M,792624,EUR,805420800,G,12,12,False,30.0,28.0,3.0,1.0,0.0,27.0,28.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,90.0,36.0,7.0,2.0,0.00030656,0,-0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764408,home,Bodø/Glimt,Fredrik Sjøvold,Fredrik Sjøvold,,fredrik-sjovold,F. Sjøvold,D,20,174.0,446,M,1172777,EUR,1061078400,D,20,20,False,66.0,60.0,5.0,4.0,0.0,30.0,30.0,31.0,39.0,,1.0,,10.0,,,,,90.0,89.0,7.1,12.0,0.0845142,1,,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0285,1.0,,,,,,,,,,,,,,,,
12764408,home,Bodø/Glimt,Odin Luras Bjørtuft,,,odin-luras-bjortuft,O. L. Bjørtuft,D,4,185.0,222,M,929978,EUR,914025600,D,4,4,False,136.0,131.0,7.0,5.0,0.0,65.0,65.0,66.0,71.0,2.0,3.0,3.0,5.0,,,,,90.0,148.0,7.1,8.0,0.038742,2,,,,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,0.2633,,1.0,1.0,1.0,1.0,0.1501,,,,,,,,,,,
12764408,home,Bodø/Glimt,Jostein Gundersen,,,jostein-gundersen,J. Gundersen,D,6,186.0,235,M,548692,EUR,828403200,D,6,6,False,125.0,118.0,5.0,4.0,1.0,55.0,56.0,63.0,70.0,2.0,2.0,,6.0,,,,,63.0,132.0,7.8,9.0,0.499314,1,,1.0,,2.0,3.0,,,,,,1.0,,0.0336,1.0,,1.0,,,0.0147,1.0,1.0,1.0,,,,,,,,
12764408,home,Bodø/Glimt,Fredrik André Bjørkan,,,fredrik-andre-bjorkan,F. A. Bjørkan,D,15,180.0,379,M,795154,EUR,903657600,D,15,15,False,66.0,62.0,,,0.0,22.0,22.0,40.0,46.0,,3.0,,2.0,,,,,63.0,82.0,6.9,14.0,0.0501905,0,,2.0,,1.0,5.0,,4.0,2.0,,,1.0,4.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,
12764408,home,Bodø/Glimt,Håkon Evjen,,,hakon-evjen,H. Evjen,M,26,180.0,545,M,892943,EUR,950486400,M,26,26,False,33.0,28.0,3.0,2.0,0.0,13.0,13.0,16.0,22.0,,5.0,,5.0,,,,,82.0,45.0,7.6,8.0,0.034236,1,,2.0,1.0,,2.0,1.0,4.0,3.0,,,,,0.6732,,,1.0,1.0,1.0,0.8127,,,,1.0,1.0,,,,,,
12764408,home,Bodø/Glimt,Patrick Berg,,,patrick-berg,P. Berg,M,7,180.0,1641,M,355174,EUR,880329600,M,7,7,False,76.0,68.0,1.0,,1.0,31.0,31.0,40.0,50.0,,2.0,1.0,11.0,,,,,90.0,90.0,8.0,12.0,0.548157,1,,5.0,3.0,1.0,3.0,1.0,,,,,2.0,,0.0384,3.0,,,2.0,,,1.0,2.0,,,,True,1.0,,,,
12764408,home,Bodø/Glimt,Ulrik Saltnes,,,ulrik-saltnes,U. Saltnes,M,14,187.0,475,M,151700,EUR,721353600,M,14,14,False,33.0,30.0,,,0.0,7.0,7.0,24.0,27.0,1.0,2.0,,2.0,,,,,90.0,47.0,6.7,6.0,0.351525,4,,1.0,1.0,1.0,1.0,,,,3.0,,,2.0,0.6048,1.0,2.0,,1.0,1.0,,,1.0,,,,,1.0,,,,
12764408,home,Bodø/Glimt,Sondre Sörli,,,sondre-sorli,S. Sörli,F,28,178.0,93,M,548762,EUR,815097600,F,27,27,False,27.0,22.0,,,0.0,4.0,4.0,20.0,26.0,1.0,3.0,,2.0,,,,,82.0,45.0,6.5,15.0,0.250752,0,,3.0,2.0,1.0,9.0,1.0,6.0,1.0,,,,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,
12764408,home,Bodø/Glimt,Kasper Høgh,,,kasper-hogh,K. Høgh,F,9,186.0,4814,M,932108,EUR,976060800,F,9,9,False,13.0,12.0,,,0.0,3.0,3.0,9.0,11.0,,2.0,,,,,,,72.0,22.0,8.5,4.0,0.0280309,3,,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,1.0295,1.0,,2.0,,,1.2394,,,1.0,1.0,2.0,,1.0,1.0,1.0,,
