match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_wonTackle,stat_wasFouled,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,player_sofascoreId,stat_shotOffTarget,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalOffside
14062176,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,True,46.0,33.0,19.0,6.0,0.0,27.0,30.0,6.0,16.0,1.0,13.0,2.0,5.0,1.0,1.0,90.0,61.0,7.2,13.0,0.00813315,71.671243035499,14.0,36.12,12.39,0.5753,0,0.4314,0.09,0.02,0.21,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Sebastian Sebulonsen,,,sebastian-sebulonsen,S. Sebulonsen,M,28,187,234,M,1020206,EUR,948931200,D,28,28,False,,54.0,41.0,8.0,5.0,0.0,27.0,31.0,14.0,23.0,1.0,3.0,,,,,90.0,67.0,6.8,19.0,0.0790737,199.98260588632,22.0,141.54,23.625,,0,,0.25,0.13,-0.16,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,23.840198006728,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Jahmai Simpson-Pusey,Jahmai Simpson-Pusey,,jahmai-simpson-pusey,J. Simpson-Pusey,D,4,187,1909,M,1402924,EUR,1131062400,D,22,22,False,,58.0,53.0,12.0,9.0,0.0,39.0,41.0,14.0,17.0,6.0,1.0,,,,,90.0,73.0,7.2,6.0,0.0381497,185.33088805327,24.0,68.355,18.795,,0,,0.36,0.06,-0.07,,,2.0,2.0,2.0,3.0,4.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,731,M,953097,EUR,970790400,D,39,39,False,,31.0,28.0,1.0,,0.0,14.0,16.0,14.0,15.0,4.0,,,,,,45.0,37.0,6.5,3.0,0.0150353,115.76385748501,13.0,81.06,22.68,,0,,0.13,0.07,-0.16,,,1.0,3.0,1.0,3.0,,,,40.696400688645,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,M,37,37,False,,21.0,18.0,,,0.0,7.0,9.0,11.0,12.0,1.0,5.0,,,,,73.0,35.0,6.5,9.0,0.0406804,124.53416260023,14.0,32.55,23.1,,1,,0.08,0.09,-0.05,,3.0,,,2.0,1.0,,,1.0,55.077182436846,3.0,,2.0,1.0,1.0,1.0,0.028,0.0457,-0.05,,,,,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,,25.0,21.0,,,0.0,15.0,17.0,6.0,8.0,3.0,2.0,,,,,45.0,36.0,6.6,4.0,0.00228608,46.547100980848,7.0,12.495,5.985,,1,,-0.04,0.01,0.17,,,2.0,2.0,3.0,5.0,2.0,2.0,,,,1.0,,,,,0.1216,,-0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14062176,home,1. FC Köln,Ísak Bergmann Jóhannesson,,,isak-bergmann-johannesson,Í. B. Jóhannesson,M,18,180,939,M,1112327,EUR,1048377600,M,18,18,False,,24.0,17.0,2.0,1.0,0.0,2.0,5.0,15.0,19.0,,2.0,,,,,45.0,32.0,7.1,10.0,0.0520157,93.352299127835,10.0,30.66,15.12,,0,,0.18,0.08,0.16,,1.0,2.0,1.0,3.0,3.0,,1.0,1.0,15.187283628088,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
14062176,home,1. FC Köln,Alessio Castro-Montes,,,alessio-castro-montes,A. Castro-Montes,M,21,175,290,M,839898,EUR,863827200,M,17,17,False,,58.0,49.0,6.0,2.0,1.0,15.0,18.0,34.0,40.0,3.0,2.0,,,,,83.0,90.0,7.6,21.0,0.632894,208.85234756037,20.0,95.13,25.83,,0,,0.59,0.16,-0.03,,13.0,2.0,1.0,4.0,4.0,,2.0,1.0,79.080302981108,3.0,4.0,,,,,,,,,2.0,1.0,1.0,,,4.0,1.0,1.0,,,,,,,,,
14062176,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,F,16,16,False,,36.0,26.0,3.0,,0.0,11.0,12.0,15.0,24.0,,2.0,,,,,90.0,56.0,6.7,15.0,0.0347932,114.50054463407,16.0,97.86,20.265,,3,,0.09,0.46,-0.01,,1.0,5.0,2.0,8.0,5.0,,2.0,1.0,30.995979400466,2.0,,2.0,1.0,,,0.1143,,-0.54,2.0,,1.0,,,,,,,jakub.kaminskii,1.0,,,,,,,
14062176,home,1. FC Köln,Marius Bülter,,,marius-bulter,M. Bülter,F,30,188,454,M,378340,EUR,733363200,F,30,30,False,,20.0,11.0,1.0,,0.0,1.0,4.0,10.0,16.0,,1.0,,,,,90.0,48.0,5.9,21.0,0.0235322,125.85284332049,13.0,77.07,14.07,,6,,-0.38,-0.05,-0.08,,6.0,7.0,5.0,13.0,8.0,,,3.0,13.042886950365,1.0,1.0,2.0,1.0,,2.0,0.3138,0.1642,-0.57,1.0,,3.0,2.0,,,,1.0,,,3.0,,,,,,,
