match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyFaced,stat_outfielderBlock,stat_errorLeadToAGoal,stat_penaltyConceded,player_sofascoreId
12451004,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186,316,M,159837,EUR,720748800,G,16,16,False,27.0,12.0,25.0,10.0,0.0,6.0,7.0,6.0,20.0,1.0,12.0,1.0,2.0,4.0,2.0,2.0,90.0,39.0,7.9,15.0,0.00304154,0,0.4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451004,home,Auxerre,Ki-Jana Hoever,,,ki-jana-hoever,K. Hoever,D,12,180,945,M,954044,EUR,1011312000,D,23,23,False,32.0,19.0,5.0,3.0,0.0,6.0,10.0,14.0,26.0,3.0,5.0,,,,,,80.0,57.0,7.1,21.0,0.122553,0,,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12451004,home,Auxerre,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184,714,M,996951,EUR,986774400,D,20,20,False,25.0,20.0,6.0,3.0,1.0,14.0,14.0,6.0,11.0,1.0,3.0,,,,,,90.0,32.0,7.3,7.0,0.00243374,0,,,,3.0,1.0,5.0,4.0,,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12451004,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190,384,M,329195,EUR,746582400,D,4,4,False,22.0,16.0,5.0,1.0,0.0,14.0,14.0,2.0,8.0,5.0,2.0,,,,,,85.0,34.0,8.0,6.0,0.335921,2,,,,3.0,6.0,3.0,8.0,,1.0,1.0,1.0,1.0,,,1.0,,,True,1.0,1.0,1.0,2.0,0.8864,0.9078,,,,,,,,,,
12451004,home,Auxerre,Gabriel Osho,,,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,3,3,False,25.0,21.0,7.0,3.0,0.0,11.0,11.0,10.0,14.0,1.0,1.0,,,,,,90.0,34.0,7.1,4.0,0.00534039,1,,,,1.0,,1.0,4.0,,,1.0,2.0,2.0,,,,,,,1.0,,,2.0,0.415,,1.0,1.0,,,,,,,,
12451004,home,Auxerre,Clement Akpa,Clément Akpa,,akpa-clement,C. Akpa,D,92,183,819,M,1387156,EUR,1006560000,D,92,92,False,18.0,9.0,3.0,,0.0,2.0,5.0,8.0,18.0,1.0,1.0,,,,,,66.0,40.0,6.5,17.0,0.0730184,1,,5.0,1.0,,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,0.0338,,,,,,,,,,,
12451004,home,Auxerre,Elisha Owusu,,,elisha-owusu,E. Owusu,M,42,179,1294,M,904424,EUR,878860800,M,42,42,False,26.0,19.0,3.0,1.0,1.0,9.0,10.0,11.0,18.0,3.0,13.0,,,,,,90.0,45.0,8.7,9.0,0.12539,1,,2.0,1.0,,1.0,3.0,7.0,,1.0,4.0,4.0,2.0,1.0,3.0,1.0,,,,,1.0,1.0,2.0,0.2183,0.1707,,,,,,,,,,
12451004,home,Auxerre,Hamed Junior Traorè,,,hamed-junior-traore,H. J. Traorè,M,20,177,3127,M,892924,EUR,950659200,M,25,25,False,19.0,11.0,,,0.0,2.0,4.0,11.0,20.0,2.0,2.0,,,,,,80.0,40.0,7.1,16.0,0.120125,4,,5.0,2.0,3.0,2.0,9.0,4.0,2.0,,,,,1.0,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,0.6732,0.3463,1.0,,2.0,1.0,,,,,,
12451004,home,Auxerre,Kévin Danois,Kévin Danois,,kevin-danois,K. Danois,M,5,183,449,M,1151803,EUR,1088380800,M,27,27,False,36.0,27.0,3.0,3.0,0.0,9.0,9.0,18.0,28.0,1.0,7.0,,,,,,90.0,51.0,7.7,11.0,0.0537401,2,,1.0,,2.0,2.0,6.0,7.0,1.0,,4.0,4.0,4.0,,1.0,3.0,1.0,1.0,,1.0,,,,0.1897,,,,2.0,1.0,1.0,,,,,
12451004,home,Auxerre,Ado Onaiwu,,,ado-onaiwu,A. Onaiwu,M,45,180,644,M,489180,EUR,815788800,F,45,45,False,21.0,15.0,1.0,1.0,0.0,3.0,4.0,12.0,17.0,,2.0,,,,,,80.0,34.0,7.0,11.0,0.079328,1,,,,4.0,1.0,8.0,6.0,3.0,,1.0,,,2.0,,2.0,2.0,2.0,,,,,3.0,0.0752,,,,1.0,1.0,,,,,,
