match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_penaltyConceded,stat_totalOffside,captain,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,player_firstName,player_lastName,stat_outfielderBlock,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_bigChanceMissed,stat_punches,stat_ownGoals
11453072,home,Al Tai,Moataz Al-Baqaawi,moataz-al-baqaawi,M. Al-Baqaawi,G,33,180.0,23,M,892891,EUR,883872000,G,44,44,False,15.0,15.0,1.0,1.0,0.0,14.0,14.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,90.0,20.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453072,home,Al Tai,Salem Abdullah Al-Toiawy,al-toiawy-salem-abdullah-salem,S. Al-Toiawy,D,13,175.0,4,M,1633371,EUR,991872000,D,13,13,False,21.0,21.0,,,0.0,8.0,8.0,13.0,15.0,,,,,,45.0,31.0,6.5,0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11453072,home,Al Tai,Ibrahim Alnakhli,ibrahim-alnakhli,I. Alnakhli,D,88,176.0,35,M,847004,EUR,857865600,D,88,88,False,70.0,66.0,6.0,4.0,0.0,22.0,23.0,45.0,48.0,7.0,,,,,90.0,81.0,6.8,0,1.0,2.0,5.0,,,,,,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11453072,home,Al Tai,Enzo Roco,enzo-roco,E. Roco,D,3,191.0,398,M,105971,EUR,713923200,D,5,5,False,96.0,89.0,12.0,8.0,0.0,25.0,27.0,64.0,69.0,6.0,,,,,82.0,100.0,6.8,0,,2.0,2.0,1.0,,,1.0,1.0,,8.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11453072,home,Al Tai,Abdulaziz Majrashi,abdulaziz-majrashi,A. Majrashi,D,33,162.0,10,M,818828,EUR,680054400,D,3,3,False,27.0,24.0,3.0,2.0,0.0,8.0,8.0,16.0,24.0,,,,,,45.0,41.0,6.2,0,5.0,1.0,2.0,,,,1.0,1.0,2.0,9.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11453072,home,Al Tai,Alfa Semedo,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200,M,30,30,False,50.0,47.0,3.0,3.0,0.0,13.0,13.0,34.0,39.0,3.0,,,,,90.0,68.0,6.6,3,2.0,10.0,3.0,1.0,3.0,,,1.0,,13.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,,True,4.0,1.0,1.0,1.0,1.0,,,,,,,,,
11453072,home,Al Tai,Robert Bauer,robert-bauer,R. Bauer,D,,183.0,117,M,253871,EUR,797385600,M,27,27,False,70.0,68.0,4.0,4.0,0.0,29.0,30.0,39.0,40.0,6.0,,,,,90.0,79.0,6.7,1,,4.0,,2.0,1.0,,,2.0,,5.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,
11453072,home,Al Tai,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180.0,416,M,546220,EUR,782352000,M,43,43,False,92.0,84.0,2.0,2.0,1.0,8.0,9.0,76.0,84.0,4.0,,,,,90.0,110.0,9.6,4,1.0,8.0,8.0,,5.0,3.0,,,1.0,15.0,,2.0,3.0,,1.0,1.0,2.0,4.0,,,,3.0,,2.0,2.0,,,,,2.0,2.0,,,,
11453072,home,Al Tai,Abdulfattah Asiri,abdulfattah-asiri,A. Asiri,M,,167.0,63,M,374524,EUR,762220800,F,45,45,False,22.0,19.0,2.0,2.0,0.0,1.0,1.0,18.0,26.0,2.0,,,,,56.0,37.0,6.6,0,5.0,6.0,3.0,,1.0,,,1.0,3.0,14.0,,1.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,
11453072,home,Al Tai,Adeeb Al-Haizan,adeeb-al-haizan,A. Al-Haizan,F,7,180.0,4,M,2294204,EUR,991180800,F,90,90,False,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,1.0,,,,,56.0,10.0,7.0,0,,4.0,1.0,,1.0,,,,1.0,2.0,,,,,,,3.0,1.0,,,,,,,,,Adeeb,Al-Haizan,,1.0,,1.0,,,
