match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_penaltyConceded,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_dispossessed,stat_totalOffside,stat_aerialWon,stat_punches,stat_penaltyWon,stat_goalAssist,stat_bigChanceCreated,stat_goals
10913412,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000,G,48,48,False,28.0,15.0,18.0,5.0,11.0,12.0,4.0,16.0,1.0,1.0,15.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,37.0,6.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Saeed Almuwallad,,,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800,D,2,2,False,17.0,14.0,1.0,,6.0,7.0,10.0,15.0,3.0,1.0,1.0,,,,,,,90.0,37.0,6.8,7.0,1,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Saad Al-Mousa,Saad Al-Mousa,,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400,D,5,5,False,22.0,19.0,2.0,1.0,14.0,15.0,5.0,7.0,,3.0,5.0,,,,,,,64.0,27.0,5.6,4.0,0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Darko Velkovski,,,darko-velkovski,D. Velkovski,D,24,188.0,155,M,156990,EUR,803692800,D,14,14,False,21.0,18.0,2.0,1.0,11.0,13.0,7.0,8.0,2.0,1.0,4.0,2.0,1.0,,,,,68.0,25.0,6.4,3.0,0,,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Alhwsawi Sanousi Mohammed,Alhwsawi Sanousi Mohammed,,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,12,12,False,,,,,,,,,1.0,,,1.0,1.0,,,,,5.0,1.0,3.0,,0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Berat Ayberk Özdemir,,,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187.0,216,M,876857,EUR,895881600,M,98,98,False,44.0,36.0,9.0,5.0,17.0,20.0,19.0,25.0,4.0,,7.0,2.0,2.0,,,,,83.0,53.0,6.7,11.0,0,1.0,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,
10913412,home,Al-Ettifaq,Ibrahim Mahnashi,,,ibrahim-mahnashi,I. Mahnashi,M,40,,10,M,917267,EUR,942883200,M,6,6,False,26.0,21.0,2.0,,12.0,15.0,9.0,12.0,1.0,1.0,5.0,1.0,,,,,,90.0,43.0,5.8,9.0,0,1.0,,6.0,2.0,1.0,,,,2.0,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,
10913412,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400,M,7,7,False,4.0,3.0,,,,,3.0,10.0,4.0,,1.0,,,,,,,33.0,18.0,6.7,8.0,2,6.0,,1.0,,3.0,2.0,,,,2.0,,,,,,,True,1.0,1.0,,,,,,,,
10913412,home,Al-Ettifaq,Vitinho,,,vitinho,Vitinho,F,11,178.0,3973,M,242054,EUR,750124800,M,27,27,False,31.0,23.0,5.0,3.0,11.0,14.0,13.0,19.0,3.0,,5.0,1.0,1.0,,,,,68.0,42.0,6.2,12.0,2,2.0,1.0,7.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,
10913412,home,Al-Ettifaq,Faisal Al-Ghamdi,Faisal,Al-Ghamdi,al-ghamdi-faisal,F. A. Ghamdi,M,16,185.0,951,M,966452,EUR,997660800,M,16,16,False,33.0,29.0,,,16.0,17.0,13.0,16.0,7.0,1.0,5.0,4.0,2.0,,,,,90.0,51.0,6.5,9.0,0,,,9.0,2.0,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,2.0,,,,,,,
