match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,player_sofascoreId,stat_hitWoodwork
12117113,home,Criciúma,Gustavo,gustavo,Gustavo,G,1,186,199,M,124766,EUR,731721600,G,1,1,False,28.0,15.0,23.0,10.0,0.0,9.0,10.0,6.0,18.0,7.0,4.0,6.0,90.0,39.0,8.2,14.0,0.00120563,0,1.1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117113,home,Criciúma,Claudinho,claudinho,Claudinho,D,2,180,509,M,992791,EUR,969753600,D,27,27,False,25.0,21.0,1.0,,1.0,9.0,10.0,12.0,18.0,2.0,,,83.0,48.0,7.4,11.0,0.0330472,1,,,,3.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,0.1159,1.0,,,,,,,,,,,,,,,,,,,,,
12117113,home,Criciúma,Rodrigo Fagundes,rodrigo-fagundes,R. Fagundes,D,3,187,155,M,886773,EUR,542419200,D,3,3,False,30.0,27.0,3.0,1.0,0.0,19.0,21.0,8.0,9.0,10.0,,,90.0,47.0,7.5,6.0,0.0039004,1,,,,,5.0,8.0,1.0,,,1.0,6.0,2.0,3.0,3.0,2.0,,0.0356,,True,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12117113,home,Criciúma,Walisson Maia,walisson-maia,W. Maia,D,14,187,68,M,552176,EUR,682732800,D,33,33,False,21.0,13.0,7.0,5.0,0.0,6.0,8.0,7.0,13.0,1.0,,,90.0,25.0,6.9,8.0,0.00299153,0,,,,,2.0,3.0,1.0,,,,3.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12117113,home,Criciúma,Miguel Trauco,miguel-trauco,M. Trauco,D,,175,1359,M,247665,EUR,714700800,D,14,14,False,33.0,23.0,7.0,3.0,0.0,11.0,16.0,14.0,20.0,1.0,,,90.0,49.0,7.1,13.0,0.0566916,0,,,,3.0,1.0,2.0,,,,,4.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,
12117113,home,Criciúma,Ronald,ronald,Ronald,M,8,171,426,M,931521,EUR,866592000,M,6,6,False,20.0,16.0,2.0,1.0,0.0,10.0,11.0,6.0,9.0,6.0,,,45.0,27.0,6.7,7.0,0.00321387,0,,,,,5.0,4.0,,2.0,,,,,,,1.0,,,,,2.0,,4.0,4.0,1.0,,,,,,,,,,,,,,,
12117113,home,Criciúma,Barreto,barreto,Barreto,M,5,182,107,M,599688,EUR,818553600,M,88,88,False,26.0,19.0,3.0,2.0,0.0,11.0,13.0,8.0,14.0,4.0,,,90.0,41.0,7.2,9.0,0.00479674,1,,,,1.0,5.0,5.0,2.0,1.0,,1.0,1.0,1.0,4.0,4.0,2.0,,0.036,,,,1.0,,,,,,,,,,,,,,,,,,
12117113,home,Criciúma,Marcelo Hermes,marcelo-hermes,M. Hermes,D,22,177,288,M,783490,EUR,791596800,M,22,22,False,22.0,15.0,5.0,2.0,0.0,6.0,8.0,10.0,20.0,4.0,,,90.0,45.0,7.1,15.0,0.0756105,1,,,,6.0,2.0,3.0,,,,,4.0,2.0,1.0,,,,0.033,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12117113,home,Criciúma,Matheusinho,matheusinho,Matheusinho,M,98,164,482,M,822523,EUR,887155200,M,17,17,False,26.0,15.0,7.0,2.0,0.0,3.0,6.0,12.0,22.0,6.0,,,64.0,39.0,6.5,17.0,0.0264208,0,,,,2.0,7.0,5.0,,,,,1.0,,,,2.0,,,,,4.0,1.0,4.0,3.0,3.0,,,,1.0,,,,,,,,,,,
12117113,home,Criciúma,Yannick Bolasie,yannick-bolasie,Y. Bolasie,F,11,185,3708,M,46620,EUR,611971200,F,11,11,False,13.0,10.0,,,0.0,2.0,2.0,8.0,14.0,1.0,,,74.0,32.0,7.1,15.0,0.00476743,3,,,,3.0,11.0,2.0,,2.0,,,,,1.0,1.0,1.0,,0.8844,,,3.0,,6.0,1.0,2.0,,,,,3.0,1.0,1.3465,,,,,,,,
12117113,home,Criciúma,Éder,eder,Éder,F,23,179,368,M,18082,EUR,532396800,F,23,23,False,18.0,15.0,2.0,1.0,0.0,5.0,5.0,11.0,14.0,1.0,,,64.0,23.0,6.8,3.0,0.0637731,1,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,0.0256,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
12117113,home,Criciúma,Fellipe Mateus,fellipe-mateus,F. Mateus,M,7,178,153,M,865321,EUR,666316800,M,7,7,True,14.0,11.0,,,0.0,2.0,3.0,11.0,13.0,3.0,,,45.0,20.0,6.9,5.0,0.38836,0,,,,2.0,4.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,
