match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,captain,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_penaltyConceded
12530702,home,Çaykur Rizespor,Tarık Çetin,tarik-cetin,T. Çetin,G,13,193,862,M,913985,EUR,852681600,G,1,1,False,17.0,11.0,10.0,4.0,0.0,8.0,9.0,3.0,8.0,5.0,2.0,90.0,21.0,6.7,6.0,0.00036194,0,-0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530702,home,Çaykur Rizespor,Attila Mocsi,attila-mocsi,A. Mocsi,D,4,188,454,M,889382,EUR,959558400,D,4,4,False,52.0,49.0,7.0,4.0,0.0,23.0,23.0,26.0,31.0,3.0,,90.0,66.0,6.9,6.0,0.0178517,0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530702,home,Çaykur Rizespor,Husniddin Alikulov,alikulov-husniddin,H. Alikulov,D,2,186,2627,M,1121174,EUR,923184000,D,2,2,False,27.0,25.0,,,0.0,22.0,23.0,3.0,4.0,2.0,,90.0,47.0,7.3,3.0,0.00522519,1,,,3.0,6.0,6.0,,,,7.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0455,,,,,,,,,,,,,,,,,,,,,
12530702,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183,148,M,281233,EUR,785289600,D,5,5,False,54.0,48.0,5.0,3.0,0.0,25.0,27.0,25.0,38.0,1.0,,90.0,76.0,7.2,15.0,0.389653,0,,11.0,,3.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,True,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12530702,home,Çaykur Rizespor,Taha Şahin,taha-sahin,T. Şahin,D,37,178,238,M,1394729,EUR,972172800,M,37,37,False,32.0,29.0,2.0,1.0,0.0,16.0,17.0,16.0,24.0,5.0,,90.0,61.0,6.7,15.0,0.290561,0,,9.0,,7.0,3.0,1.0,4.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,Taha Sahin,,,3.0,1.0,,1.0,,,,,,,,,,,,,,
12530702,home,Çaykur Rizespor,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,20,20,False,51.0,43.0,3.0,,0.0,23.0,24.0,20.0,27.0,4.0,,90.0,63.0,7.5,10.0,0.0474106,1,,,1.0,3.0,7.0,2.0,2.0,2.0,,1.0,,,,,3.0,2.0,,0.7884,,,,,,,,1.0,1.0,1.0,0.8031,,,,,,,,,,
12530702,home,Çaykur Rizespor,Mithat Pala,mithat-pala,M. Pala,D,54,172,57,M,1016393,EUR,966297600,M,54,54,False,29.0,28.0,2.0,2.0,0.0,17.0,18.0,11.0,12.0,5.0,,90.0,42.0,6.7,5.0,0.01276,2,,1.0,,9.0,5.0,1.0,1.0,,1.0,2.0,4.0,1.0,,,2.0,1.0,1.0,0.13,,,,,1.0,,1.0,,,3.0,,1.0,,,,,,,,,
12530702,home,Çaykur Rizespor,Altin Zeqiri,zeqiri-altin,A. Zeqiri,M,77,185,141,M,991742,EUR,963878400,M,77,77,False,25.0,17.0,4.0,1.0,0.0,7.0,7.0,10.0,19.0,6.0,,65.0,37.0,7.0,13.0,0.177475,1,,1.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,2.0,0.1716,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,
12530702,home,Çaykur Rizespor,Dal Varešanović,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,F,8,8,False,28.0,23.0,1.0,,0.0,14.0,15.0,9.0,15.0,4.0,,77.0,44.0,6.3,15.0,0.0705796,1,,2.0,,12.0,3.0,3.0,2.0,1.0,,3.0,1.0,,,1.0,2.0,1.0,4.0,0.0572,,,,,4.0,,,,,,,1.0,,,,,,,,,
12530702,home,Çaykur Rizespor,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,9,9,False,23.0,19.0,1.0,1.0,0.0,7.0,7.0,12.0,17.0,6.0,,90.0,43.0,6.8,14.0,0.0642736,3,,1.0,1.0,7.0,3.0,,5.0,2.0,1.0,,4.0,,,,,,6.0,0.6447,,,,,,,2.0,3.0,,,0.6825,,,1.0,,,,,,,
