match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyMiss,stat_goalAssist,stat_bigChanceCreated,stat_penaltyWon,stat_clearanceOffLine,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId
10835048,home,Kozakken Boys,Bryan Janssen,,,bryan-janssen,B. Janssen,G,197.0,1,M,787979,EUR,789609600,G,1,1,False,33.0,22.0,15.0,5.0,18.0,18.0,4.0,15.0,1.0,10.0,1.0,5.0,90.0,42.0,6.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835048,home,Kozakken Boys,Frenk Keukens,Frenk,Keukens,frenk-keukens,F. Keukens,D,182.0,1,M,867091,EUR,809222400,D,2,2,False,17.0,9.0,2.0,,6.0,8.0,3.0,11.0,1.0,3.0,,,83.0,49.0,6.0,22.0,0,2,2.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10835048,home,Kozakken Boys,Sven van Ingen,Sven,van Ingen,sven-van-ingen,S. v. Ingen,D,191.0,1,M,865224,EUR,682041600,D,14,14,False,67.0,50.0,14.0,6.0,29.0,33.0,21.0,35.0,7.0,7.0,,,90.0,84.0,6.8,18.0,0,,1.0,3.0,4.0,7.0,,,,1.0,,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
10835048,home,Kozakken Boys,Kaj Ramsteijn,Kaj,Ramsteijn,kaj-ramsteijn,K. Ramsteijn,D,187.0,8,M,123880,EUR,632534400,D,5,5,False,55.0,45.0,6.0,,30.0,31.0,15.0,25.0,6.0,10.0,,,90.0,74.0,7.3,14.0,1,6,1.0,1.0,1.0,3.0,,,,2.0,2.0,,1.0,1.0,2.0,1.0,True,1.0,1.0,,,,,,,,,,,,,,,,
10835048,home,Kozakken Boys,Gino Creutzburg,Gino,Creutzburg,gino-creutzburg,G. Creutzburg,D,188.0,0,M,915114,EUR,949881600,D,16,16,False,14.0,10.0,4.0,1.0,6.0,6.0,5.0,10.0,4.0,3.0,,,82.0,42.0,7.2,14.0,0,16,2.0,,2.0,7.0,1.0,,,,1.0,1.0,,,6.0,5.0,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,
10835048,home,Kozakken Boys,Kevin Vermeulen,Kevin,Vermeulen,kevin-vermeulen,K. Vermeulen,M,187.0,4,M,301860,EUR,659059200,M,18,18,False,14.0,7.0,2.0,1.0,1.0,1.0,6.0,13.0,,2.0,,,60.0,20.0,6.3,8.0,1,18,,,3.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
10835048,home,Kozakken Boys,Niek Hoogveld,Niek,Hoogveld,niek-hoogveld,N. Hoogveld,D,183.0,4,M,825837,EUR,922147200,M,3,3,False,36.0,24.0,6.0,2.0,18.0,18.0,7.0,19.0,,3.0,,,76.0,41.0,6.7,12.0,0,24,1.0,1.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,
10835048,home,Kozakken Boys,Gwaeron Stout,Gwaeron,Stout,gwaeron-stout,G. Stout,M,168.0,5,M,907740,EUR,749433600,M,12,12,False,65.0,51.0,11.0,4.0,23.0,25.0,28.0,41.0,1.0,7.0,,,90.0,81.0,6.4,16.0,2,12,1.0,,3.0,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,
10835048,home,Kozakken Boys,Lars Hutten,,,lars-hutten,L. Hutten,M,181.0,2,,121119,EUR,637718400,F,25,25,False,10.0,8.0,2.0,,4.0,4.0,4.0,12.0,1.0,4.0,,,60.0,22.0,6.1,10.0,1,25,6.0,2.0,4.0,2.0,1.0,,,,1.0,,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
10835048,home,Kozakken Boys,Lowie van Zundert,Lowie,van Zundert,van-zundert-lowie,L. v. Zundert,M,192.0,9,M,906223,EUR,906422400,F,10,10,False,23.0,13.0,,,5.0,6.0,8.0,17.0,,1.0,,,90.0,36.0,7.2,14.0,3,9,,6.0,10.0,6.0,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,4.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,
