match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonTackle,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_shotOffTarget,stat_blockedScoringAttempt,captain,player_firstName,player_lastName,stat_challengeLost,stat_totalOffside,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock
12501578,home,Bologna,Federico Ravaglia,federico-ravaglia,F. Ravaglia,G,13,196,580,M,850952,EUR,942278400,G,34,34,False,44.0,26.0,26.0,8.0,0.0,22.0,24.0,4.0,20.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,48.0,7.0,18.0,0.00114265,0,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501578,home,Bologna,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,965264,EUR,958176000,D,2,2,False,24.0,17.0,5.0,4.0,0.0,8.0,11.0,11.0,18.0,4.0,7.0,2.0,2.0,,,,,90.0,56.0,7.7,15.0,0.198655,1,,5.0,2.0,4.0,7.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0557,0.0462,2.0,,,,,,,,,,,,,,,,
12501578,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,898815,EUR,911260800,D,31,31,False,31.0,27.0,2.0,1.0,0.0,17.0,19.0,10.0,14.0,4.0,8.0,1.0,1.0,,,,,90.0,48.0,7.2,7.0,0.00462959,0,,2.0,,2.0,3.0,,,,4.0,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
12501578,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,818481,EUR,898819200,D,26,26,False,50.0,46.0,4.0,2.0,0.0,29.0,30.0,17.0,20.0,1.0,4.0,10.0,1.0,,,,,90.0,66.0,7.3,5.0,0.00616549,0,,,,2.0,4.0,1.0,,,5.0,,,1.0,,,,,2.0,2.0,3.0,,,,,,,,,,,,
12501578,home,Bologna,Juan Miranda,juan-miranda,J. Miranda,D,33,185,2208,M,855829,EUR,948240000,D,33,33,False,50.0,39.0,6.0,3.0,0.0,18.0,20.0,22.0,39.0,2.0,5.0,5.0,3.0,,,,,90.0,77.0,7.6,23.0,0.0991336,3,,9.0,1.0,2.0,3.0,,,,1.0,,,,0.1027,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,
12501578,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,115516,EUR,703296000,M,8,8,False,37.0,34.0,4.0,2.0,0.0,17.0,18.0,17.0,19.0,,,4.0,,,,,,90.0,45.0,6.8,6.0,0.038259,0,,,,,4.0,1.0,,,,,2.0,3.0,,,,,,,4.0,,,True,,,,,,,,,
12501578,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182,1236,M,850891,EUR,852508800,M,20,20,False,37.0,33.0,7.0,6.0,0.0,18.0,20.0,15.0,19.0,,4.0,,1.0,,,,,88.0,47.0,7.2,7.0,0.00936435,1,,2.0,,2.0,4.0,1.0,,1.0,,3.0,,1.0,0.0322,0.0232,,2.0,,,1.0,,,,,,,,,,,,
12501578,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,944327,EUR,972432000,M,11,11,False,10.0,6.0,,,0.0,1.0,2.0,5.0,8.0,1.0,5.0,1.0,3.0,,,,,77.0,29.0,6.7,16.0,0.189505,2,,,,2.0,8.0,1.0,1.0,,,,7.0,2.0,0.0485,,2.0,,4.0,1.0,,2.0,,,,,1.0,,,,,,
12501578,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188,1820,M,826064,EUR,922838400,M,21,21,False,11.0,11.0,1.0,1.0,0.0,4.0,4.0,7.0,7.0,,6.0,5.0,6.0,,,,,89.0,23.0,6.8,3.0,0.00666201,0,,,,3.0,6.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
12501578,home,Bologna,Benjamín Domínguez,benjamin-dominguez,B. Domínguez,M,30,172,3282,M,1162611,EUR,1063929600,M,30,30,False,13.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,12.0,,4.0,1.0,1.0,,,,,70.0,25.0,6.7,9.0,0.0193904,1,,,,1.0,7.0,3.0,,,,2.0,2.0,2.0,0.026,,1.0,,2.0,1.0,,1.0,,,Benjamín Domínguez,,,1.0,,,,,
12501578,home,Bologna,Thijs Dallinga,thijs-dallinga,T. Dallinga,F,24,190,2354,M,905381,EUR,965260800,F,24,24,False,16.0,13.0,,,0.0,3.0,4.0,10.0,13.0,2.0,3.0,1.0,1.0,,,,,77.0,25.0,6.4,7.0,0.0243769,1,,1.0,,7.0,7.0,,,,1.0,,3.0,,0.152,,,,,,,,1.0,,,,,,1.0,,,,
12501578,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183,5740,M,793645,EUR,854064000,F,7,7,True,7.0,4.0,1.0,,0.0,1.0,2.0,3.0,5.0,2.0,2.0,,,,,,,20.0,9.0,7.2,4.0,0.00605306,1,,,,,1.0,,,1.0,,,,,0.088,0.7844,,,1.0,,,,,,,,,,,1.0,,,
