match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_penaltyConceded,player_sofascoreId,captain,stat_accurateCross,stat_bigChanceCreated,stat_goalAssist,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_punches
11453171,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000,G,48,48,False,22.0,20.0,6.0,4.0,18.0,18.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,90.0,30.0,7.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Mohammed Abdulrahman,Mohammed Abdulrahman,,mohammed-abdulrahman,M. Abdulrahman,D,29,170.0,146,M,1133141,EUR,1042502400,D,29,29,False,36.0,34.0,2.0,1.0,20.0,21.0,14.0,17.0,1.0,3.0,,,,,,45.0,55.0,6.8,8.0,0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Jack Hendry,,,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800,D,4,4,False,92.0,84.0,13.0,6.0,44.0,46.0,40.0,46.0,2.0,2.0,,,,,,90.0,100.0,7.1,9.0,2,,1.0,4.0,5.0,,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Marcel Tisserand,,,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,69.0,67.0,11.0,9.0,38.0,38.0,29.0,31.0,5.0,9.0,,,,,,90.0,78.0,7.5,2.0,1,,1.0,1.0,3.0,,,1.0,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Hamdan Al-Shamrani,,,hamdan-al-shamrani,H. Al-Shamrani,D,27,176.0,29,M,882132,EUR,850521600,D,13,13,False,35.0,29.0,3.0,1.0,8.0,12.0,21.0,24.0,4.0,6.0,,,,,,89.0,62.0,6.7,11.0,2,1.0,2.0,8.0,7.0,1.0,3.0,2.0,1.0,,2.0,4.0,2.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,
11453171,home,Al-Ettifaq,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183.0,6336,M,42694,EUR,645580800,M,10,10,False,74.0,63.0,8.0,3.0,30.0,31.0,36.0,52.0,,8.0,,,,,,90.0,93.0,7.6,19.0,1,9.0,,2.0,4.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,4.0,,,,jordanhenderson,True,3.0,1.0,,,,,
11453171,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400,M,7,7,False,29.0,23.0,4.0,2.0,3.0,4.0,20.0,35.0,,4.0,,,,,,83.0,49.0,6.9,20.0,1,10.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,,,,3.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Mohammed Mahzari,Mohammed Mahzari,,mohammed-mahzari,M. Mahzari,D,5,178.0,49,M,1092809,EUR,1021766400,M,18,18,False,48.0,44.0,4.0,2.0,17.0,18.0,27.0,31.0,,5.0,,,,,,89.0,55.0,7.0,5.0,0,1.0,,,3.0,,,2.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
11453171,home,Al-Ettifaq,Georginio Wijnaldum,,,georginio-wijnaldum,G. Wijnaldum,M,8,175.0,8339,M,22126,EUR,658281600,M,25,25,False,33.0,30.0,,,12.0,12.0,18.0,21.0,2.0,1.0,,,,,,90.0,40.0,7.3,3.0,1,,1.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,gwijnaldum,,,,1.0,,,,
11453171,home,Al-Ettifaq,Demarai Gray,,,demarai-gray,D. Gray,M,10,184.0,1784,M,355152,EUR,835920000,M,19,19,False,19.0,15.0,,,6.0,7.0,13.0,23.0,,5.0,,,,,,90.0,48.0,7.8,16.0,4,11.0,1.0,8.0,6.0,1.0,,2.0,1.0,2.0,4.0,,,4.0,2.0,,1.0,2.0,1.0,3.0,1.0,,,,,4.0,1.0,,1.0,,,
