match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_wonContest,stat_challengeLost,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox
11406845,home,Genoa,Josep Martínez,josep-martinez,J. Martínez,G,13,191,2817,M,845291,EUR,896227200,G,1,1,False,26.0,24.0,8.0,6.0,23.0,24.0,1.0,2.0,2.0,11.0,1.0,1.0,2.0,90.0,35.0,7.3,2.0,0.00035897,0,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406845,home,Genoa,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,1001828,EUR,1023840000,D,4,4,False,83.0,77.0,5.0,4.0,49.0,51.0,28.0,32.0,5.0,,,,,90.0,97.0,7.4,7.0,0.019501,0,,,,1.0,4.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406845,home,Genoa,Mattia Bani,mattia-bani,M. Bani,D,13,188,270,M,250547,EUR,755481600,D,13,13,False,78.0,75.0,3.0,1.0,65.0,66.0,10.0,12.0,6.0,7.0,,,,90.0,88.0,8.0,3.0,0.00277438,1,,,,,3.0,,5.0,1.0,,,,,1.0,1.0,2.0,1.0,0.1467,0.173,,,,,,,,,,,,,,,,
11406845,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,38.0,30.0,1.0,,19.0,19.0,11.0,19.0,2.0,1.0,,,,54.0,50.0,7.8,8.0,0.0908493,2,,,,5.0,1.0,5.0,4.0,1.0,,3.0,,1.0,1.0,,,,0.2189,0.084,1.0,1.0,3.0,,,,,,,,,,,,,
11406845,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,M,20,20,False,21.0,16.0,3.0,1.0,7.0,8.0,12.0,17.0,,3.0,,,,78.0,46.0,6.8,14.0,0.117743,0,,,,,,3.0,5.0,1.0,4.0,2.0,,2.0,,,3.0,2.0,,,,,,4.0,3.0,3.0,,,,,,,,,,
11406845,home,Genoa,Junior Messias,junior-messias,J. Messias,F,10,179,1230,M,888219,EUR,674092800,M,10,10,False,24.0,23.0,2.0,2.0,10.0,10.0,13.0,14.0,,2.0,,,,78.0,34.0,6.9,5.0,0.0154909,2,,,,2.0,,5.0,3.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,0.1128,,1.0,,,,,2.0,1.0,,,,,,,,,
11406845,home,Genoa,Milan Badelj,milan-badelj,M. Badelj,M,,186,902,M,39482,EUR,604368000,M,47,47,False,82.0,70.0,8.0,4.0,39.0,41.0,31.0,42.0,1.0,8.0,,,,87.0,93.0,7.4,15.0,0.0297393,1,,,,,1.0,3.0,4.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,0.0423,0.05,,,,1.0,,1.0,,True,2.0,1.0,,,,,,
11406845,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,56.0,51.0,1.0,1.0,22.0,24.0,29.0,32.0,,6.0,,,,90.0,66.0,7.3,5.0,0.0865685,2,,,,,2.0,4.0,7.0,,,1.0,2.0,,,,4.0,3.0,0.1519,,1.0,,,,,,1.0,,,,2.0,,,,,
11406845,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,M,3,3,False,48.0,41.0,4.0,2.0,16.0,20.0,27.0,42.0,,7.0,,,,90.0,80.0,7.4,24.0,0.144231,2,,,,1.0,,5.0,6.0,,2.0,1.0,2.0,2.0,,,5.0,2.0,0.0488,,1.0,,,14.0,2.0,2.0,1.0,,,,,1.0,,,,
11406845,home,Genoa,Mateo Retegui,mateo-retegui,M. Retegui,F,32,186,15837,M,914501,EUR,925344000,F,19,19,False,18.0,13.0,,,5.0,7.0,8.0,12.0,1.0,2.0,,,,79.0,32.0,7.6,13.0,0.234243,3,,,,,4.0,5.0,5.0,,4.0,1.0,1.0,2.0,1.0,1.0,,,0.2961,0.6732,2.0,,,1.0,,1.0,,,2.0,,1.0,,mateoretegui,,,
