match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalClearance,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_bigChanceCreated,stat_interceptionWon,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_crossNotClaimed,stat_punches,stat_goals,stat_goalAssist
11369483,home,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192,2732,M,188107,EUR,815097600,G,1,1,False,34.0,26.0,15.0,7.0,23.0,24.0,3.0,10.0,9.0,2.0,1.0,1.0,1.0,1.0,90.0,42.0,6.8,8.0,0.00074702,0,-0.5247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369483,home,Mallorca,Giovanni González,giovanni-gonzalez,G. González,D,20,175,319,M,590404,EUR,780019200,D,20,20,False,50.0,42.0,6.0,5.0,15.0,17.0,28.0,39.0,4.0,,,,,,90.0,75.0,6.9,19.0,0.212384,0,,6.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11369483,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,34.0,31.0,1.0,,29.0,30.0,2.0,5.0,2.0,,,,,,58.0,45.0,6.6,4.0,0.00218683,0,,1.0,,1.0,1.0,3.0,,,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369483,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,71.0,63.0,6.0,4.0,46.0,47.0,17.0,24.0,9.0,,,,,,90.0,81.0,7.2,9.0,0.00908828,1,,,,3.0,7.0,4.0,,,,1.0,1.0,1.0,3.0,1.0,3.0,True,4.0,1.0,1.0,2.0,0.0154,,,,,,,,,,,,,,,,
11369483,home,Mallorca,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188,481,M,98440,EUR,733276800,D,2,2,False,76.0,64.0,14.0,6.0,42.0,45.0,22.0,31.0,4.0,,,,,,90.0,91.0,7.2,13.0,0.0183462,0,,,,1.0,3.0,6.0,,,,5.0,1.0,,6.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
11369483,home,Mallorca,Toni Lato,toni-lato,T. Lato,D,3,173,265,M,828239,EUR,880070400,D,3,3,False,32.0,26.0,1.0,1.0,15.0,15.0,11.0,18.0,3.0,,,,,,79.0,49.0,6.9,10.0,0.253088,1,,1.0,,1.0,6.0,5.0,1.0,4.0,2.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,0.0479,1.0,1.0,,,,,,,,,,,,,,
11369483,home,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,42.0,38.0,3.0,1.0,14.0,15.0,24.0,27.0,3.0,,,,,,79.0,49.0,7.0,8.0,0.258686,1,,,,,4.0,2.0,,,,,2.0,2.0,,,1.0,,2.0,1.0,,,0.0609,,,,,1.0,2.0,,,,,,,,,,
11369483,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,14.0,13.0,2.0,1.0,11.0,11.0,2.0,3.0,1.0,,,,,,36.0,18.0,6.7,1.0,0.00102747,0,,,,1.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
11369483,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,40.0,36.0,9.0,7.0,9.0,9.0,30.0,38.0,6.0,,,,,,90.0,56.0,7.7,10.0,0.231339,3,,7.0,3.0,,1.0,2.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,,0.3313,1.0,,,,1.0,,1.0,0.0385,,,,,,,,
11369483,home,Mallorca,Abdón Prats,abdon-prats,A. Prats,F,9,181,325,M,146852,EUR,724550400,F,9,9,False,11.0,3.0,,,1.0,3.0,2.0,8.0,3.0,,,,,,90.0,19.0,6.0,12.0,0.00267625,3,,,,1.0,5.0,1.0,1.0,,,,3.0,,1.0,,,,4.0,,3.0,,0.4894,,,,,,,,,2.0,1.0,,,,,,
