match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_unsuccessfulTouch,stat_outfielderBlock,captain,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_aerialLost,stat_totalOffside,stat_goals
12530707,home,Çaykur Rizespor,Tarık Çetin,tarik-cetin,T. Çetin,G,13,193,862,M,913985,EUR,852681600,G,1,1,False,13.0,13.0,1.0,1.0,0.0,13.0,13.0,4.0,1.0,3.0,5.0,1.0,1.0,90.0,23.0,7.5,0.00010317,0,-0.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Taha Şahin,taha-sahin,T. Şahin,D,37,178,238,M,1394729,EUR,972172800,D,37,37,False,49.0,45.0,1.0,,0.0,22.0,22.0,6.0,,,,,,74.0,71.0,7.1,0.0230766,0,,Taha Sahin,,23.0,31.0,4.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,9.0,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190,969,M,863600,EUR,763516800,D,3,3,False,44.0,38.0,6.0,3.0,0.0,25.0,27.0,3.0,,,,,,40.0,47.0,5.2,0.0053189,0,,,,13.0,17.0,,1.0,3.0,1.0,,,,,,,,,4.0,8.0,2.0,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Husniddin Alikulov,alikulov-husniddin,H. Alikulov,D,2,186,2627,M,1121174,EUR,923184000,D,2,2,False,43.0,41.0,3.0,3.0,0.0,25.0,25.0,1.0,,,,,,45.0,47.0,6.7,0.0110342,0,,,,16.0,18.0,,1.0,,2.0,,,,2.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183,148,M,281233,EUR,785289600,D,5,5,False,77.0,61.0,7.0,3.0,0.0,28.0,35.0,4.0,,,,,,90.0,109.0,7.7,0.697689,2,,,,34.0,46.0,4.0,2.0,3.0,6.0,1.0,1.0,,8.0,,3.0,2.0,1.0,1.0,22.0,,1.0,True,1.0,1.0,1.0,1.0,0.0355,0.017,2.0,,,,,,
12530707,home,Çaykur Rizespor,Dal Varešanović,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,M,8,8,False,13.0,10.0,,,0.0,2.0,3.0,4.0,,,,,,45.0,23.0,6.9,0.00627403,3,,,,8.0,10.0,,1.0,1.0,5.0,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,5.0,2.0,,,,,1.0,,0.6168,0.0273,,1.0,2.0,,,,
12530707,home,Çaykur Rizespor,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,20,20,False,20.0,20.0,,,0.0,8.0,8.0,2.0,,,,,,45.0,21.0,6.5,0.0149594,0,,,,12.0,12.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Rachid Ghezzal,rachid-ghezzal,R. Ghezzal,M,18,182,3146,M,123228,EUR,705369600,M,19,19,False,52.0,45.0,3.0,2.0,0.0,17.0,18.0,4.0,,,,,,79.0,71.0,6.3,0.0416405,0,,,,28.0,43.0,9.0,,6.0,1.0,1.0,2.0,,,,,,1.0,2.0,21.0,2.0,,,,,,,,,,,,1.0,,,
12530707,home,Çaykur Rizespor,Ibrahim Olawoyin,ibrahim-olawoyin,I. Olawoyin,M,10,178,461,M,1008173,EUR,880934400,M,10,10,False,43.0,36.0,3.0,2.0,0.0,18.0,20.0,7.0,,,,,,90.0,61.0,6.6,0.0974382,0,,,,18.0,24.0,1.0,1.0,7.0,4.0,1.0,4.0,1.0,,1.0,,,2.0,1.0,16.0,3.0,,,,,,,,,1.0,,,2.0,,,
12530707,home,Çaykur Rizespor,Altin Zeqiri,zeqiri-altin,A. Zeqiri,M,77,185,141,M,991742,EUR,963878400,M,77,77,False,16.0,15.0,1.0,1.0,0.0,6.0,7.0,,,,,,,74.0,35.0,6.4,0.061416,0,,,,10.0,15.0,6.0,,6.0,3.0,1.0,3.0,1.0,,,1.0,,1.0,3.0,12.0,3.0,,,1.0,,,,,,1.0,,,,1.0,,
12530707,home,Çaykur Rizespor,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,9,9,False,8.0,6.0,,,0.0,3.0,3.0,,,,,,,90.0,17.0,6.4,0.0129483,0,,,,3.0,5.0,,2.0,4.0,2.0,,,,3.0,,,,,1.0,8.0,3.0,,,,,,,,,,,,3.0,1.0,2.0,
12530707,home,Çaykur Rizespor,Attila Mocsi,attila-mocsi,A. Mocsi,D,4,188,454,M,889382,EUR,959558400,D,4,4,True,38.0,34.0,9.0,5.0,0.0,15.0,16.0,2.0,,,,,,45.0,47.0,6.7,0.0435408,0,,,,19.0,24.0,2.0,2.0,2.0,2.0,,,,3.0,,,,,,6.0,,,,,,,,,,,,,,2.0,,
12530707,home,Çaykur Rizespor,Muhamed Buljubašić,muhamed-buljubasic,M. Buljubašić,M,18,180,202,M,1134586,EUR,1088899200,M,18,18,True,24.0,23.0,,,0.0,10.0,10.0,4.0,,,,,,45.0,32.0,6.7,0.0136022,0,,,,13.0,14.0,,,3.0,2.0,2.0,,,1.0,,2.0,2.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Václav Jurečka,vaclav-jurecka,V. Jurečka,F,15,182,207,M,225850,EUR,772588800,F,15,15,True,15.0,15.0,,,0.0,5.0,5.0,5.0,,,,,,45.0,24.0,6.7,0.0382977,0,,,,10.0,10.0,,1.0,4.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,,,,,,,,,,,,2.0,,,
12530707,home,Çaykur Rizespor,Mithat Pala,mithat-pala,M. Pala,D,54,172,57,M,1016393,EUR,966297600,M,54,54,True,19.0,15.0,,,0.0,6.0,7.0,1.0,,,,,,16.0,22.0,6.7,0.0707183,0,,,,9.0,13.0,1.0,,1.0,,1.0,,,1.0,,,,,,6.0,,,,,,,,,,1.0,,,,,,
12530707,home,Çaykur Rizespor,Emrecan Bulut,emrecan-bulut,E. Bulut,F,99,185,166,M,1480663,EUR,1038268800,F,17,17,True,6.0,5.0,,,0.0,2.0,2.0,1.0,,,,,,16.0,17.0,6.6,0.00401852,1,,Emrecan Bulut,,3.0,4.0,,,4.0,4.0,,3.0,1.0,,,2.0,2.0,1.0,,5.0,1.0,,,,,,1.0,0.0952,,,,,1.0,1.0,,
12530707,home,Çaykur Rizespor,Ayberk Karapo,ayberk-karapo,A. Karapo,D,45,186,180,M,1395701,EUR,1090368000,D,45,45,True,3.0,3.0,,,0.0,2.0,2.0,1.0,,,,,,11.0,8.0,6.7,0.0806192,0,,Ayberk Karapo,,2.0,3.0,2.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,2.0,
12530707,home,Çaykur Rizespor,Ivo Grbić,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,30,30,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Habil Özbakir,habil-ozbakir,H. Özbakir,D,21,178,10,,1865901,EUR,1107648000,D,95,95,True,,,,,,,,,,,,,,,,,,0,,Habil,Özbakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Babajide David Akintola,babajide-david-akintola,D. Babajide,M,11,178,297,M,798676,EUR,821491200,F,28,28,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530707,home,Çaykur Rizespor,Doğanay Avcı,doganay-avci,D. Avcı,F,97,187,36,M,1928574,EUR,1139270400,F,97,97,True,,,,,,,,,,,,,,,,,,0,,Doğanay Avcı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530707,away,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195,145,M,882110,EUR,905904000,G,1,1,False,22.0,13.0,16.0,7.0,0.0,9.0,9.0,13.0,2.0,1.0,2.0,,,90.0,34.0,7.4,0.00072213,0,0.0442,,,4.0,13.0,,,,,,,,1.0,,,,,,9.0,,,,,,,,,,,,,,,,
12530707,away,Bodrum FK,Uzeyir Ergun,uzeyir-ergun,U. Ergun,D,23,178,29,M,996122,EUR,720835200,D,23,23,False,21.0,17.0,3.0,2.0,0.0,9.0,10.0,3.0,,,,,,71.0,33.0,6.6,0.0346322,0,,,,9.0,12.0,1.0,1.0,3.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,2.0,7.0,2.0,,,1.0,,,,,,1.0,,,,,,
12530707,away,Bodrum FK,Arlind Ajeti,arlind-ajeti,A. Ajeti,D,15,184,457,M,111746,EUR,748915200,D,15,15,False,35.0,27.0,9.0,3.0,0.0,20.0,21.0,5.0,,,,,,90.0,45.0,7.1,0.0106136,0,,,,7.0,14.0,,1.0,,3.0,,,,4.0,1.0,2.0,1.0,,,8.0,,,,,,,,,,,,,,,,
12530707,away,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184,29,M,802650,EUR,828489600,D,34,34,False,26.0,24.0,3.0,2.0,0.0,18.0,19.0,1.0,,,,,,90.0,38.0,7.5,0.127418,1,,,,6.0,7.0,,1.0,1.0,1.0,,,,8.0,2.0,,,,,2.0,,1.0,,,,,,0.0303,,1.0,,1.0,,1.0,,
12530707,away,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170,45,M,957359,EUR,970444800,D,77,77,False,29.0,24.0,5.0,1.0,0.0,16.0,16.0,4.0,,,,,,90.0,51.0,7.6,0.00515032,0,,,,8.0,14.0,1.0,1.0,1.0,8.0,,1.0,1.0,2.0,1.0,4.0,3.0,2.0,,9.0,,,,,,,,,,1.0,,,,1.0,,
