match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_fouls,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_wonContest,stat_hitWoodwork,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox
12437804,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,True,27.0,21.0,9.0,3.0,0.0,20.0,22.0,1.0,5.0,1.0,1.0,11.0,1.0,4.0,1.0,90.0,42.0,7.0,6.0,0.00010576,0,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437804,home,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13426,M,nahuelmolina_35,831799,EUR,891820800,D,16,16,False,,66.0,57.0,3.0,2.0,0.0,32.0,36.0,26.0,33.0,,4.0,5.0,,,,90.0,92.0,7.3,14.0,0.204163,1,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0479,,,,,,,,,,,,,,,,,
12437804,home,Atlético Madrid,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,lenormand_r,787751,EUR,847670400,D,24,24,False,,64.0,59.0,4.0,,0.0,46.0,47.0,13.0,17.0,3.0,3.0,2.0,,,,90.0,72.0,7.0,5.0,0.00330432,0,,,,1.0,2.0,,,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,
12437804,home,Atlético Madrid,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,15,15,False,,75.0,66.0,13.0,8.0,1.0,49.0,51.0,17.0,25.0,2.0,6.0,2.0,,,,90.0,88.0,7.9,10.0,0.172069,0,,1.0,,3.0,3.0,,,4.0,1.0,2.0,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
12437804,home,Atlético Madrid,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,,825133,EUR,785203200,D,21,21,False,,37.0,31.0,1.0,,0.0,18.0,20.0,13.0,19.0,1.0,3.0,4.0,,,,90.0,60.0,7.1,13.0,0.00956537,0,,2.0,,2.0,3.0,2.0,,5.0,,,,4.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,
12437804,home,Atlético Madrid,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178,16028,M,giulisimeone,1099352,EUR,1040169600,M,22,22,False,,24.0,21.0,,,0.0,12.0,13.0,9.0,11.0,,2.0,2.0,,,,73.0,35.0,6.7,8.0,0.219576,1,,,,1.0,5.0,1.0,,,,1.0,1.0,3.0,1.0,0.1532,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
12437804,home,Atlético Madrid,Rodrigo de Paul,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,RodridePaul,249399,EUR,769737600,M,5,5,False,,74.0,65.0,5.0,3.0,0.0,29.0,32.0,36.0,43.0,,1.0,7.0,,,,90.0,88.0,7.0,16.0,0.346824,0,,1.0,,1.0,7.0,4.0,,,,,,,,,,1.0,,2.0,1.0,,,3.0,,,,,,,,,
12437804,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6589,M,PBarrios,1142588,EUR,1055635200,M,8,8,False,,57.0,47.0,4.0,,0.0,26.0,29.0,21.0,29.0,1.0,5.0,2.0,,,,90.0,69.0,6.7,14.0,0.0142402,0,,1.0,,1.0,4.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,,,
12437804,home,Atlético Madrid,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,4,4,False,,15.0,15.0,,,0.0,7.0,7.0,8.0,8.0,1.0,5.0,2.0,,,,45.0,23.0,6.5,3.0,0.00802027,0,,,,1.0,5.0,1.0,,,,1.0,1.0,1.0,3.0,,1.0,,,,,,2.0,1.0,,,,,,,,,
12437804,home,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,100258,M,AGriez,85859,EUR,669513600,F,7,7,False,,44.0,35.0,3.0,3.0,0.0,14.0,18.0,23.0,30.0,2.0,8.0,6.0,,,,90.0,60.0,7.3,13.0,0.15609,1,,4.0,2.0,,3.0,,1.0,1.0,,3.0,1.0,2.0,3.0,0.1906,2.0,,,2.0,,,2.0,,,,,,,,,,
