match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot
12514007,away,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,32.0,28.0,4.0,3.0,0.0,14.0,15.0,14.0,19.0,6.0,,,,,,75.0,45.0,6.8,6.0,0.0209142,1,,,,2.0,,4.0,1.0,3.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,0.0191,,,1.0,,,,,,,
12514007,away,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,70.0,50.0,11.0,2.0,0.0,33.0,37.0,17.0,33.0,1.0,,,,,,90.0,81.0,7.9,22.0,0.00491208,2,,,,,,1.0,5.0,,,,,2.0,1.0,2.0,2.0,2.0,,,,1.0,3.0,,,0.0293,,,2.0,,,,,1.0,2.0,1.0
12514007,away,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,997173,EUR,1048636800,D,26,26,False,51.0,51.0,,,0.0,41.0,41.0,10.0,10.0,4.0,,,,,,90.0,60.0,7.5,,0.00367039,1,,,,,,2.0,,,,,,2.0,2.0,,,,,,,2.0,,,1.0,0.0303,0.2171,,,,,,,,2.0,
12514007,away,Sporting Braga,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,False,56.0,41.0,11.0,4.0,0.0,12.0,16.0,29.0,42.0,5.0,,,,,,82.0,92.0,6.9,20.0,0.0309892,0,,,,2.0,,3.0,3.0,1.0,1.0,1.0,,3.0,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,
12514007,away,Sporting Braga,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,6,6,False,39.0,32.0,4.0,3.0,0.0,14.0,14.0,18.0,25.0,6.0,,,,,,90.0,53.0,7.0,8.0,0.00535302,0,,,,,,7.0,7.0,,,1.0,,,3.0,5.0,4.0,,1.0,6.0,,,1.0,,,,,,,,,,,,,
12514007,away,Sporting Braga,André Horta,andre-horta,A. Horta,M,6,174,845,M,775699,EUR,847324800,M,10,10,False,47.0,39.0,7.0,4.0,0.0,11.0,12.0,28.0,41.0,5.0,,,,,,75.0,63.0,7.4,16.0,0.0349621,1,,,,6.0,,2.0,6.0,,,,,,,3.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.0612,,,1.0,,,,,,,
12514007,away,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,11,11,False,19.0,14.0,,,0.0,4.0,4.0,10.0,16.0,4.0,,,,,,58.0,33.0,6.8,11.0,0.00490417,0,,,,1.0,,4.0,7.0,,,4.0,2.0,,,4.0,,3.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,
12514007,away,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,32.0,27.0,2.0,1.0,0.0,4.0,5.0,26.0,33.0,4.0,,,,,,90.0,51.0,6.9,13.0,0.210171,2,,,,6.0,3.0,8.0,3.0,3.0,2.0,1.0,,,,2.0,,1.0,,1.0,2.0,1.0,1.0,True,,0.3005,,1.0,1.0,,,,,,,
12514007,away,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185,489,M,1134430,EUR,1043193600,M,77,77,False,36.0,27.0,3.0,1.0,0.0,5.0,6.0,22.0,33.0,2.0,,,,,,90.0,65.0,7.0,23.0,0.325499,1,,Gabriel Martínez,,3.0,,11.0,7.0,2.0,3.0,6.0,2.0,1.0,,3.0,2.0,4.0,2.0,2.0,3.0,,,,1.0,0.1009,0.3658,,,,,,,,,
12514007,away,Sporting Braga,Amine El Ouazzani,el-ouazzani-amine,A. E. Ouazzani,F,9,188,2047,M,1014048,EUR,995155200,F,9,9,False,15.0,12.0,,,0.0,2.0,2.0,10.0,13.0,1.0,,,,,,76.0,32.0,6.8,10.0,0.0164786,0,,,,,,4.0,3.0,1.0,2.0,,,1.0,1.0,1.0,,4.0,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,
12514007,away,Sporting Braga,Roberto Fernández,roberto-fernandez,R. Fernández,F,9,186,2068,M,1392592,EUR,1025654400,F,90,90,True,5.0,3.0,,,0.0,,,3.0,6.0,1.0,,,,,,32.0,8.0,6.5,4.0,0.00197402,0,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
12514007,away,Sporting Braga,Josafat Mendes,josafat-mendes,J. Mendes,D,2,177,330,M,1133258,EUR,1041292800,D,17,17,True,6.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,4.0,2.0,,,,,,15.0,8.0,6.5,2.0,0.00331151,0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12514007,away,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,True,14.0,10.0,4.0,1.0,0.0,3.0,5.0,8.0,11.0,2.0,,,,,,15.0,18.0,6.8,5.0,0.119994,0,,,,2.0,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
12514007,away,Sporting Braga,Joao Marques,marques-joao,J. Marques,M,11,179,304,M,1087321,EUR,1013558400,M,33,33,True,4.0,3.0,1.0,,0.0,1.0,1.0,2.0,3.0,1.0,,,,,,14.0,11.0,6.6,2.0,0.00136314,1,,,,,,3.0,1.0,,1.0,,,,,,,,,2.0,,,1.0,,,0.0799,,,1.0,,,,,,,
12514007,away,Sporting Braga,Yuri Ribeiro,yuri-ribeiro,Y. Ribeiro,D,4,174,219,M,357730,EUR,854064000,D,25,25,True,10.0,10.0,,,0.0,5.0,5.0,5.0,5.0,1.0,,,,,,8.0,13.0,7.4,,0.0016828,0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
12514007,away,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,91,91,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514007,away,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514007,away,Sporting Braga,Thiago Helguera,helguera-thiago,T. Helguera,M,6,181,762,M,1490866,EUR,1143331200,M,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514007,away,Sporting Braga,João Vasconcelos,joao-vasconcelos,J. Vasconcelos,M,80,180,176,M,1828923,EUR,1109376000,M,80,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
