match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_sofascoreId,stat_totalCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_keyPass,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,player_firstName,player_lastName,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork
10411510,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,24.0,20.0,9.0,5.0,19.0,21.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,90.0,32.0,7.5,4.0,0.0,0.0,0.00023804,0,0.3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411510,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,66.0,58.0,3.0,3.0,35.0,37.0,23.0,29.0,1.0,7.0,,,,,,90.0,95.0,6.6,13.0,0.0,0.0,0.011448,0,,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10411510,home,Lazio,Nicolò Casale,nicolo-casale,N. Casale,D,16,191,431,M,862697,EUR,887414400,D,15,15,False,62.0,54.0,5.0,4.0,33.0,35.0,21.0,27.0,5.0,4.0,,,,,,90.0,77.0,7.6,9.0,0.1193,0.0,0.00401796,1,,3.0,5.0,4.0,,,2.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10411510,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,52.0,47.0,9.0,7.0,35.0,35.0,12.0,17.0,1.0,4.0,,,,,,90.0,57.0,6.9,5.0,0.146,0.0,0.00693075,1,,2.0,6.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,
10411510,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,47.0,42.0,4.0,3.0,25.0,28.0,17.0,19.0,2.0,5.0,,,,,,90.0,65.0,6.9,12.0,0.0,0.0,0.00502678,0,,,2.0,3.0,,,1.0,1.0,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,
10411510,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,47.0,26.0,7.0,3.0,9.0,12.0,17.0,37.0,,3.0,,,,,,90.0,66.0,6.5,28.0,0.2297,0.5365,0.0137576,2,,2.0,9.0,6.0,1.0,1.0,2.0,,,1.0,1.0,3.0,3.0,,,2.0,2.0,sms,2.0,1.0,2.0,2.0,,,,,,,,,
10411510,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,40.0,33.0,3.0,2.0,17.0,18.0,17.0,28.0,,6.0,,,,,,66.0,50.0,6.9,12.0,0.0,0.0,0.0942238,0,,,3.0,2.0,3.0,,2.0,1.0,,,,,,,1.0,,,,6.0,,,1.0,1.0,,,,,,,,
10411510,home,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187,1431,M,158615,EUR,682992000,M,5,5,False,40.0,30.0,7.0,1.0,15.0,18.0,15.0,22.0,,7.0,,,,,,90.0,51.0,6.8,12.0,0.017,0.0,0.042103,1,,,3.0,6.0,1.0,,3.0,3.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10411510,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,29.0,20.0,,,6.0,7.0,15.0,23.0,1.0,2.0,,,,,,89.0,50.0,7.1,15.0,0.1907,0.0335,0.0842943,1,,1.0,8.0,3.0,,2.0,2.0,,,,,,5.0,,,2.0,1.0,F_Andersoon,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,
10411510,home,Lazio,Ciro Immobile,ciro-immobile,C. Immobile,F,36,185,15127,M,45923,EUR,635472000,F,17,17,False,5.0,5.0,,,2.0,2.0,3.0,3.0,,,,,,,,30.0,8.0,6.5,1.0,0.0,0.0,0.00306198,0,,1.0,1.0,,,,,,,1.0,,,,,,,,ciroimmobile17,,,,,,,,,,True,,,
