match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,stat_aerialWon,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
10438059,home,Boavista,César Dutra,,,cesar-dutra,C. Dutra,G,1,194,270,M,158269,EUR,696470400,G,12,12,False,24.0,20.0,15.0,11.0,16.0,17.0,4.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,33.0,7.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438059,home,Boavista,Reggie Cannon,,,reggie-cannon,R. Cannon,D,4,180,224,M,864226,EUR,897523200,D,2,2,False,70.0,64.0,3.0,1.0,51.0,53.0,13.0,18.0,2.0,2.0,,,,,90.0,79.0,6.9,7.0,0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10438059,home,Boavista,Vincent Sasso,,,vincent-sasso,V. Sasso,D,23,190,44,M,74071,EUR,666662400,D,23,23,False,56.0,52.0,2.0,1.0,46.0,49.0,6.0,7.0,2.0,1.0,,,,,83.0,59.0,6.5,4.0,0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10438059,home,Boavista,Rodrigo Abascal,,,rodrigo-abascal,R. Abascal,D,26,190,156,M,846416,EUR,758505600,D,26,26,False,69.0,59.0,11.0,4.0,44.0,46.0,15.0,23.0,4.0,11.0,,,,,90.0,83.0,7.4,11.0,0,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10438059,home,Boavista,Pedro Malheiro,,,pedro-malheiro,P. Malheiro,D,79,179,415,M,1131249,EUR,980035200,M,79,79,False,29.0,19.0,3.0,,12.0,15.0,8.0,18.0,2.0,7.0,,,,,90.0,60.0,6.8,18.0,2,4.0,5.0,7.0,1.0,,3.0,2.0,1.0,3.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10438059,home,Boavista,Sebastián Pérez,,,sebastian-perez,S. Pérez,M,42,176,396,M,158597,EUR,733363200,M,24,24,False,55.0,44.0,7.0,4.0,25.0,27.0,19.0,28.0,,5.0,,,,,83.0,68.0,7.0,13.0,1,,4.0,4.0,2.0,2.0,2.0,1.0,2.0,,,,1.0,,1.0,,,,1.0,,True,1.0,,,,,,,,
10438059,home,Boavista,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,299,M,847013,EUR,869788800,M,42,42,False,44.0,40.0,2.0,1.0,20.0,22.0,20.0,22.0,,6.0,,,,,90.0,60.0,6.3,10.0,1,,8.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,1.0,2.0,,1.0,,2.0,,,,,,,,
10438059,home,Boavista,Bruno Onyemaechi,,,bruno-onyemaechi,B. Onyemaechi,D,70,182,5807,M,1134441,EUR,923097600,M,70,70,False,40.0,33.0,3.0,,18.0,20.0,16.0,25.0,1.0,7.0,,,,,90.0,64.0,7.6,13.0,0,5.0,1.0,9.0,,1.0,4.0,1.0,,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,
10438059,home,Boavista,Bruno Lourenço,,,bruno-lourenco,B. Lourenço,M,8,179,99,M,984810,EUR,886377600,F,8,8,False,22.0,21.0,1.0,1.0,8.0,8.0,13.0,18.0,,1.0,,,,,60.0,34.0,6.6,10.0,1,4.0,4.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,
10438059,home,Boavista,Róbert Boženík,,,robert-bozenik,R. Boženík,F,11,188,1028,M,912033,EUR,942883200,F,9,9,False,13.0,9.0,,,2.0,3.0,7.0,11.0,,3.0,,,,,83.0,29.0,7.1,10.0,4,1.0,7.0,4.0,3.0,,,,2.0,,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,,
