match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,captain,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goodHighClaim,stat_errorLeadToAShot
12514231,home,FC Arouca,Nico Mantl,,,nico-mantl,N. Mantl,G,58,193,162,M,888592,EUR,949795200,G,58,58,False,26.0,18.0,12.0,5.0,0.0,15.0,17.0,3.0,9.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,90.0,33.0,7.0,8.0,0.00039003,0,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514231,home,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,43.0,25.0,5.0,1.0,1.0,10.0,16.0,16.0,29.0,5.0,8.0,8.0,6.0,,,,,90.0,68.0,7.6,23.0,0.356711,1,,2.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0732,2.0,,,,,,,,,,,,,,
12514231,home,FC Arouca,Chico Lamba,,,lamba-chico,C. Lamba,D,15,187,378,M,1153110,EUR,1047254400,D,73,73,False,54.0,49.0,6.0,4.0,0.0,33.0,33.0,16.0,21.0,2.0,6.0,4.0,6.0,,,,,90.0,67.0,7.0,5.0,0.00801866,1,,,,1.0,4.0,,,,1.0,,2.0,3.0,2.0,,3.0,0.1029,1.0,1.0,1.0,,,,,,,,,,,,
12514231,home,FC Arouca,Jose Fontán,,,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,47.0,43.0,7.0,4.0,0.0,29.0,31.0,14.0,16.0,2.0,3.0,5.0,2.0,,,,,90.0,56.0,7.4,4.0,0.00629945,1,,,,1.0,4.0,,,,,,1.0,1.0,1.0,,3.0,0.4431,,,,1.0,1.0,0.8559,,,,,,,,,
12514231,home,FC Arouca,Weverson,,,weverson,Weverson,D,36,185,168,M,905452,EUR,962755200,D,26,26,False,25.0,21.0,4.0,2.0,0.0,10.0,11.0,13.0,17.0,1.0,7.0,,5.0,,,,,90.0,44.0,7.4,6.0,0.138087,2,,3.0,2.0,,2.0,1.0,,1.0,2.0,,1.0,4.0,3.0,,1.0,0.1075,1.0,,1.0,,,,1.0,1.0,,,,,,,
12514231,home,FC Arouca,Taichi Fukui,,,taichi-fukui,T. Fukui,M,21,177,1092,M,1105857,EUR,1089849600,M,21,21,False,38.0,34.0,3.0,1.0,0.0,16.0,19.0,19.0,21.0,,3.0,3.0,7.0,,,,,78.0,60.0,6.8,12.0,0.144075,0,,2.0,1.0,,7.0,,1.0,,,,2.0,1.0,,2.0,2.0,,4.0,,1.0,,,,5.0,1.0,,,,,,,
12514231,home,FC Arouca,David Simão,,,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,56.0,46.0,6.0,2.0,0.0,28.0,30.0,18.0,30.0,,4.0,2.0,10.0,,,,,85.0,75.0,7.0,15.0,0.012154,0,,4.0,,,5.0,2.0,,,,,3.0,2.0,2.0,,3.0,,1.0,,2.0,,,,,,True,,,,,,
12514231,home,FC Arouca,Alfonso Trezza,,,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,M,19,19,False,16.0,11.0,2.0,1.0,0.0,6.0,6.0,6.0,12.0,,5.0,,2.0,,,,,68.0,33.0,6.6,11.0,0.0404125,1,,2.0,1.0,3.0,6.0,1.0,2.0,,1.0,1.0,,3.0,1.0,3.0,,0.3036,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,
12514231,home,FC Arouca,Pablo Gozálbez,,,pablo-gozalbez,P. Gozálbez,M,10,170,61,M,996932,EUR,988588800,M,22,22,False,28.0,21.0,2.0,,0.0,5.0,6.0,16.0,24.0,1.0,2.0,,3.0,,,,,78.0,45.0,7.2,18.0,0.0663116,3,,2.0,,1.0,4.0,,1.0,,1.0,,,,,6.0,1.0,0.204,5.0,,1.0,2.0,,0.1634,1.0,,,,,,,,
12514231,home,FC Arouca,Morlaye Sylla,,,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,39.0,33.0,6.0,4.0,0.0,13.0,14.0,20.0,25.0,1.0,6.0,,4.0,,,,,90.0,61.0,6.8,14.0,0.0891419,4,,,,,5.0,,1.0,,1.0,,,2.0,1.0,3.0,,0.5174,,1.0,,1.0,,0.4371,7.0,3.0,,,morlayesylla2,2.0,1.0,,
