match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_shotOffTarget,stat_hitWoodwork,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_penaltyWon
10389926,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,26.0,19.0,14.0,7.0,16.0,19.0,3.0,7.0,1.0,3.0,1.0,1.0,1.0,2.0,90.0,33.0,6.3,7.0,0.0,0.0,0.00057357,0,0.0891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389926,home,Nantes,Sébastien Corchia,sebastien-corchia,S. Corchia,D,14,176,100,M,47549,EUR,657417600,D,24,24,False,,16.0,10.0,,,7.0,8.0,5.0,13.0,3.0,2.0,1.0,,,,82.0,33.0,6.5,13.0,0.0,0.0,0.0438475,0,,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
10389926,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,59.0,45.0,7.0,1.0,24.0,29.0,22.0,31.0,12.0,9.0,3.0,,,,90.0,70.0,6.7,14.0,0.0,0.0,0.0427229,0,,1.0,1.0,,7.0,1.0,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
10389926,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,D,3,3,False,,55.0,44.0,5.0,2.0,38.0,45.0,6.0,10.0,15.0,3.0,,,,,90.0,76.0,7.0,12.0,0.0178,0.0,0.00562717,1,,,,3.0,9.0,11.0,2.0,7.0,6.0,4.0,1.0,6.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10389926,home,Nantes,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,1102502,EUR,1021507200,D,29,29,False,,49.0,36.0,14.0,5.0,18.0,20.0,19.0,34.0,4.0,3.0,1.0,,,,82.0,68.0,6.6,21.0,0.0,0.0,0.244469,0,,5.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,2.0,Quentin Merlin,,,,,1.0,1.0,,,,,,,,,,,,,,
10389926,home,Nantes,Moussa Sissoko,moussa-sissoko,M. Sissoko,M,17,187,1081,M,27014,EUR,619228800,M,17,17,False,,35.0,28.0,5.0,1.0,13.0,16.0,15.0,19.0,3.0,9.0,,,,,90.0,45.0,6.1,10.0,0.232,0.0,0.0481849,1,,,,3.0,1.0,6.0,,1.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
10389926,home,Nantes,Pedro Chirivella,pedro-chirivella,P. Chirivella,M,4,178,556,M,799216,EUR,864345600,M,5,5,False,,52.0,45.0,9.0,4.0,28.0,30.0,17.0,22.0,2.0,2.0,1.0,,,,88.0,61.0,6.9,7.0,0.0463,0.0,0.0139119,2,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,
10389926,home,Nantes,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,930245,EUR,993945600,M,7,7,False,,16.0,14.0,2.0,2.0,4.0,5.0,10.0,12.0,6.0,4.0,2.0,,,,59.0,26.0,6.6,5.0,0.0,0.0,0.0174581,0,,1.0,,2.0,1.0,6.0,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,
10389926,home,Nantes,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,M,10,10,False,,26.0,21.0,5.0,2.0,13.0,13.0,8.0,14.0,8.0,3.0,4.0,,,,90.0,52.0,7.3,14.0,0.3589,0.7711,0.0156359,5,,1.0,,,1.0,5.0,1.0,,2.0,2.0,4.0,1.0,,,,2.0,,,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,
10389926,home,Nantes,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,,12.0,10.0,,,4.0,4.0,7.0,17.0,1.0,4.0,1.0,,,,90.0,34.0,6.6,18.0,0.1864,0.2476,0.202612,2,,9.0,1.0,3.0,,8.0,,,,,2.0,,2.0,,,1.0,,,3.0,,,,,2.0,1.0,1.0,,,,,,,,
