match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_fouls,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_shotOffTarget,stat_dispossessed,stat_goalAssist,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_wonContest,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock
11453162,home,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183,5027,M,D_Ospina1,33596,EUR,588988800,G,26,26,False,24.0,24.0,2.0,2.0,24.0,24.0,10.0,1.0,1.0,1.0,1.0,90.0,33.0,7.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173,1607,M,,830126,EUR,768182400,D,2,2,False,45.0,39.0,2.0,2.0,21.0,23.0,1.0,1.0,,,,72.0,61.0,7.1,14.0,0,18.0,28.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,77.0,74.0,6.0,6.0,54.0,56.0,5.0,,,,,90.0,87.0,7.2,4.0,0,20.0,21.0,,2.0,3.0,,,1.0,,,,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,27,27,False,72.0,71.0,2.0,1.0,58.0,58.0,2.0,,,,,90.0,76.0,6.9,1.0,0,13.0,14.0,,2.0,2.0,2.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Alex Telles,,,alex-telles,A. Telles,D,13,181,7625,M,alextelles13,312110,EUR,724377600,D,15,15,False,36.0,27.0,2.0,1.0,14.0,18.0,1.0,2.0,,,,90.0,58.0,7.2,17.0,1,16.0,25.0,7.0,3.0,4.0,,,2.0,2.0,,1.0,1.0,2.0,,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178,1250,M,,867179,EUR,840153600,M,17,17,False,83.0,81.0,3.0,2.0,55.0,55.0,6.0,1.0,,,,90.0,91.0,6.7,5.0,0,26.0,28.0,,5.0,,2.0,2.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,
11453162,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,,1130539,EUR,989798400,M,23,23,False,25.0,22.0,1.0,,6.0,6.0,5.0,3.0,,,,45.0,35.0,6.9,7.0,0,16.0,19.0,,1.0,3.0,,,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
11453162,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171,6951,M,otavio,244801,EUR,792288000,M,25,25,False,26.0,20.0,2.0,2.0,7.0,9.0,4.0,1.0,,,,45.0,35.0,8.2,8.0,2,13.0,17.0,,4.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
11453162,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181,13081,M,marcelo_brozovic,108800,EUR,721872000,M,77,77,False,79.0,73.0,7.0,5.0,46.0,47.0,3.0,2.0,,,,90.0,91.0,7.7,10.0,1,29.0,34.0,2.0,2.0,5.0,,,3.0,,,1.0,,,,3.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,
11453162,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,40.0,33.0,5.0,3.0,13.0,14.0,4.0,2.0,,,,79.0,55.0,9.9,11.0,2,20.0,27.0,1.0,3.0,7.0,,1.0,,,,3.0,,,,2.0,2.0,,5.0,1.0,1.0,2.0,,1.0,,1.0,5.0,3.0,,,,,,
11453162,home,Al-Nassr,Cristiano Ronaldo,,,cristiano-ronaldo,C. Ronaldo,F,7,187,2307715,M,CR7,750,EUR,476409600,F,7,7,False,28.0,21.0,2.0,2.0,4.0,4.0,1.0,2.0,,,,79.0,40.0,8.8,12.0,5,17.0,24.0,,3.0,1.0,,,,,2.0,,,1.0,,,,,,1.0,3.0,,1.0,3.0,,3.0,,,True,1.0,,,,
11453162,home,Al-Nassr,Mohammed Al-Fatil,,,mohammed-al-fatil,M. Al-Fatil,D,33,181,549,M,,328829,EUR,694483200,D,4,4,True,37.0,37.0,,,25.0,25.0,2.0,,,,,45.0,44.0,7.7,1.0,1,12.0,12.0,,1.0,4.0,,,1.0,1.0,,1.0,,,,,1.0,,2.0,,1.0,,,1.0,,1.0,2.0,,,,,,,
11453162,home,Al-Nassr,Ali Al-Hassan,,,ali-al-hassan,A. Al-Hassan,M,19,183,1000,M,,925947,EUR,857433600,M,19,19,True,22.0,19.0,1.0,,4.0,5.0,1.0,,,,,45.0,24.0,6.7,3.0,1,15.0,17.0,,2.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,
11453162,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178,1391,M,,986400,EUR,937440000,D,12,12,True,12.0,10.0,1.0,,7.0,8.0,,,,,,18.0,18.0,6.7,2.0,0,3.0,4.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
11453162,home,Al-Nassr,Abdulmajeed Al-Sulaiheem,,,abdulmajeed-al-sulaiheem,A. Al-Sulaiheem,M,8,165,600,M,,538320,EUR,768960000,M,8,8,True,12.0,10.0,1.0,1.0,5.0,6.0,,1.0,,,,11.0,14.0,6.6,3.0,0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
