match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_shotOffTarget,stat_wasFouled,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_fouls,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_punches
11067478,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,19.0,13.0,13.0,7.0,10.0,10.0,3.0,9.0,1.0,1.0,9.0,1.0,1.0,90.0,27.0,7.1,7.0,0.0,0.0,0.0006132,0,0.1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067478,home,Botafogo,Leonel Di Plácido,,,leonel-di-placido,L. Di Plácido,D,24,173,273,M,546338,EUR,759715200,D,24,24,False,43.0,37.0,7.0,5.0,16.0,19.0,23.0,26.0,1.0,5.0,4.0,,,90.0,69.0,7.9,6.0,0.0,0.0,0.0723851,0,,1.0,2.0,2.0,4.0,6.0,2.0,1.0,5.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,
11067478,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,34.0,29.0,4.0,1.0,23.0,26.0,6.0,8.0,,1.0,3.0,,,62.0,40.0,6.7,5.0,0.0314,0.0,0.00217235,1,,,,,3.0,3.0,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11067478,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,44.0,39.0,6.0,1.0,28.0,30.0,11.0,14.0,3.0,4.0,7.0,,,90.0,52.0,7.0,5.0,0.118,0.0201,0.00578296,3,,,,,2.0,4.0,,,2.0,1.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,
11067478,home,Botafogo,Marçal,,,marcal,Marçal,D,21,178,1062,M,143593,EUR,603849600,D,21,21,False,37.0,30.0,,,17.0,20.0,15.0,27.0,1.0,4.0,4.0,,,90.0,68.0,7.1,18.0,0.0,0.0,0.0537057,0,,,10.0,2.0,1.0,4.0,,,2.0,2.0,1.0,,1.0,,1.0,,,2.0,True,1.0,1.0,1.0,,,,,,,,
11067478,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,74.0,56.0,13.0,5.0,27.0,34.0,29.0,40.0,1.0,4.0,11.0,,,90.0,87.0,7.1,18.0,0.0,0.0,0.022972,0,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
11067478,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,48.0,44.0,5.0,3.0,11.0,12.0,33.0,36.0,,4.0,5.0,,,90.0,57.0,7.0,5.0,0.0615,0.0,0.0285365,1,,,,,1.0,2.0,1.0,,,1.0,,,1.0,,2.0,,1.0,,,,2.0,2.0,,1.0,,,,,,
11067478,home,Botafogo,Júnior Santos,,,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,M,37,37,False,40.0,36.0,1.0,1.0,4.0,4.0,33.0,41.0,,8.0,4.0,,,90.0,72.0,7.5,13.0,0.4538,1.242,0.0784518,4,,,5.0,1.0,6.0,13.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,4.0,3.0,3.0,,1.0,1.0,1.0,1.0,,,
11067478,home,Botafogo,Lucas Fernandes,,,lucas-fernandes,Lucas Fernandes,M,33,176,222,M,837871,EUR,874713600,M,18,18,False,24.0,24.0,,,7.0,7.0,17.0,18.0,,3.0,1.0,,,89.0,38.0,6.4,5.0,0.2601,0.5616,0.0147378,4,,,1.0,,,4.0,,,,,,,,1.0,1.0,1.0,2.0,3.0,,,3.0,2.0,,3.0,1.0,,,,,
11067478,home,Botafogo,Luís Henrique,,,luis-henrique,L. Henrique,M,11,181,6186,M,977679,EUR,1008288000,M,11,11,False,32.0,26.0,2.0,,6.0,8.0,20.0,24.0,,6.0,3.0,,,68.0,42.0,8.0,9.0,0.9617,0.9833,0.234473,1,,,,,,2.0,,1.0,,,,,5.0,,,1.0,,,,1.0,7.0,6.0,,1.0,,1.0,,,,
