match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_keyPass,stat_dispossessed,stat_errorLeadToAShot,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
13269061,home,Rijnsburgse Boys,Wesley Zonneveld,Wesley,Zonneveld,wesley-zonneveld,W. Zonneveld,G,1,191.0,6,M,145156,EUR,708739200.0,G,1,1,False,17.0,12.0,8.0,3.0,0.0,11.0,13.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,53.0,24.0,6.6,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Daan Walraven,Daan Walraven,,daan-walraven,D. Walraven,D,4,,3,M,1411014,EUR,936144000.0,D,4,4,False,15.0,10.0,1.0,,0.0,6.0,10.0,4.0,5.0,2.0,4.0,2.0,3.0,,,,65.0,25.0,6.0,6.0,0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Bram Ros,Bram,Ros,bram-ros,B. Ros,D,6,,1,M,948699,EUR,888451200.0,D,6,6,False,55.0,34.0,17.0,6.0,0.0,24.0,30.0,10.0,25.0,1.0,8.0,2.0,5.0,,,,90.0,73.0,6.2,24.0,0,2.0,5.0,1.0,1.0,,6.0,2.0,2.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Rob Zandbergen,Rob,Zandbergen,rob-zandbergen,R. Zandbergen,D,5,,1,M,866499,EUR,682905600.0,D,5,5,False,35.0,28.0,3.0,1.0,0.0,21.0,26.0,7.0,9.0,1.0,4.0,4.0,6.0,,,,84.0,49.0,6.5,8.0,0,1.0,1.0,,,3.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Mitch van Kempen,Mitch van Kempen,,mitch-van-kempen,M. v. Kempen,D,26,171.0,11,M,1548819,EUR,1019606400.0,D,26,26,False,32.0,25.0,3.0,1.0,0.0,14.0,16.0,11.0,17.0,,4.0,2.0,5.0,,,,90.0,49.0,6.3,10.0,0,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Nino Klaver,Nino Klaver,,nino-klaver,N. Klaver,M,8,186.0,3,M,1411060,EUR,1016755200.0,M,8,8,False,34.0,24.0,7.0,4.0,0.0,16.0,21.0,8.0,14.0,,3.0,1.0,9.0,,,,90.0,45.0,6.7,12.0,0,,,,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Steff van Rooijen,Steff van Rooijen,,steff-van-rooijen,S. v. Rooijen,M,30,,5,M,1424505,EUR,920851200.0,M,30,30,False,36.0,28.0,3.0,2.0,0.0,18.0,22.0,10.0,14.0,,1.0,,6.0,,,,84.0,38.0,6.4,9.0,0,,4.0,2.0,1.0,,,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Delano Asante,Delano Asante,,delano-asante,D. Asante,M,21,178.0,25,M,1084550,EUR,950227200.0,M,22,22,False,30.0,16.0,5.0,1.0,1.0,6.0,11.0,10.0,22.0,2.0,7.0,,6.0,,,,90.0,49.0,7.0,21.0,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,,,1.0,,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,
13269061,home,Rijnsburgse Boys,Jeroen Spruijt,,,spruijt-jeroen,J. Spruijt,M,10,185.0,2,M,948697,EUR,774403200.0,M,10,10,False,21.0,18.0,,,0.0,8.0,9.0,10.0,12.0,,2.0,,1.0,,,,90.0,33.0,6.9,7.0,2,,,,2.0,,,,,,2.0,,4.0,,,1.0,,,1.0,1.0,2.0,,,,,,,
13269061,home,Rijnsburgse Boys,Ilias Kariouh,Ilias Kariouh,,ilias-kariouh,I. Kariouh,M,7,,53,M,1548793,EUR,990144000.0,M,7,7,False,25.0,17.0,3.0,2.0,0.0,10.0,12.0,8.0,17.0,,5.0,,7.0,,,,90.0,54.0,7.3,18.0,6,,5.0,1.0,3.0,,3.0,,,,1.0,,3.0,1.0,4.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,,,,
