match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_hitWoodwork,stat_penaltyMiss,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_goalAssist,stat_goals,stat_penaltyConceded
11368656,home,Getafe,David Soria,david-soria,D. Soria,G,13,192.0,676,M,604258,EUR,733881600,G,13,13,False,37.0,28.0,22.0,13.0,23.0,27.0,5.0,10.0,1.0,8.0,90.0,43.0,6.3,9.0,0.00304984,0,-0.7837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368656,home,Getafe,José Ángel Carmona,jose-angel-carmona,J. Á. Carmona,D,2,183.0,1021,M,1015240,EUR,1012262400,D,18,18,False,49.0,44.0,5.0,4.0,16.0,17.0,30.0,37.0,2.0,7.0,90.0,78.0,7.6,10.0,0.659802,2,,,,5.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,0.4712,0.0961,2.0,,,,,,,,,,,,,,,,,,,,
11368656,home,Getafe,Djené,djene,Djené,D,2,178.0,2527,M,307702,EUR,694137600,D,2,2,False,65.0,53.0,8.0,3.0,33.0,37.0,21.0,31.0,2.0,8.0,90.0,77.0,6.9,16.0,0.0807141,0,,,,3.0,1.0,,4.0,,,,,,,,1.0,,2.0,,,,,True,2.0,2.0,1.0,,,,,,,,,,,,,,,,
11368656,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187.0,5163,M,805137,EUR,851558400,D,15,15,False,42.0,31.0,8.0,3.0,16.0,19.0,15.0,23.0,2.0,3.0,90.0,53.0,6.7,12.0,0.0939933,3,,,,,,5.0,7.0,1.0,2.0,2.0,,2.0,,,1.0,1.0,,,0.4359,0.8996,1.0,,4.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,
11368656,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181.0,662,M,350560,EUR,730425600,D,16,16,False,43.0,27.0,7.0,3.0,14.0,16.0,15.0,34.0,3.0,8.0,74.0,72.0,6.6,24.0,0.080743,0,,,,7.0,2.0,3.0,4.0,1.0,,,,,,1.0,2.0,2.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11368656,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184.0,1287,M,331449,EUR,791078400,M,20,20,False,26.0,22.0,1.0,1.0,8.0,9.0,14.0,17.0,1.0,3.0,89.0,40.0,6.5,5.0,0.0302166,3,,,,,,1.0,7.0,,,,,,,,3.0,1.0,1.0,,1.0714,,1.0,,4.0,,,1.0,,2.0,3.0,,,,,,,,,,,,
11368656,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175.0,1429,M,811629,EUR,781488000,M,5,5,False,84.0,74.0,17.0,13.0,19.0,21.0,57.0,69.0,,9.0,90.0,110.0,8.3,18.0,0.0884064,1,,,,6.0,2.0,5.0,11.0,,1.0,1.0,,,,2.0,7.0,4.0,2.0,2.0,0.0466,,3.0,,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,
11368656,home,Getafe,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181.0,65939,M,942116,EUR,1001894400,M,12,12,False,66.0,58.0,5.0,4.0,15.0,16.0,46.0,57.0,1.0,4.0,90.0,98.0,7.9,19.0,0.591089,9,,,,7.0,3.0,3.0,5.0,,6.0,4.0,1.0,3.0,3.0,,,,4.0,,1.3255,1.6805,6.0,,1.0,,,,1.0,2.0,3.0,MGreenwood,1.0,1.0,,,,,,,,,
11368656,home,Getafe,Ilaix Moriba,ilaix-moriba,I. Moriba,M,6,183.0,6577,M,962890,EUR,1042934400,M,24,24,False,20.0,12.0,4.0,1.0,4.0,5.0,8.0,15.0,,3.0,59.0,33.0,6.5,11.0,0.014238,1,,,,,,6.0,6.0,1.0,1.0,,,,,,3.0,1.0,1.0,2.0,0.2601,,,,1.0,,2.0,2.0,,,1.0,ilaixmk,,,,,,,,,,,
11368656,home,Getafe,Óscar Rodríguez,oscar-rodriguez,Ó. Rodríguez,M,14,174.0,618,M,794948,EUR,898992000,M,9,9,False,46.0,38.0,6.0,6.0,9.0,10.0,29.0,38.0,,3.0,90.0,69.0,7.5,15.0,0.422508,8,,,,2.0,,2.0,7.0,1.0,2.0,2.0,,1.0,5.0,,3.0,2.0,2.0,,0.3095,0.1663,4.0,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,
