match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wasFouled,stat_shotOffTarget,stat_goals,captain,stat_keyPass,stat_totalContest,stat_wonContest,player_sofascoreId,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceCreated,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside
12499694,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,49.0,38.0,22.0,11.0,0.0,33.0,36.0,5.0,13.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,57.0,6.9,11.0,0.00169348,0,0.0034000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,51.0,39.0,7.0,3.0,0.0,14.0,17.0,26.0,37.0,1.0,3.0,,,,,,,90.0,75.0,7.0,17.0,0.0413315,2,,3.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0767,0.0132,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,51.0,45.0,7.0,2.0,0.0,27.0,29.0,19.0,23.0,6.0,4.0,,,,,,,90.0,64.0,7.0,6.0,0.0150779,1,,1.0,1.0,3.0,3.0,6.0,,,1.0,1.0,2.0,2.0,,,0.0963,,3.0,1.0,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,83.0,74.0,9.0,3.0,0.0,48.0,51.0,26.0,32.0,5.0,2.0,,,,,,,90.0,94.0,7.5,10.0,0.0145241,2,,,,2.0,2.0,4.0,,1.0,,1.0,1.0,,1.0,1.0,0.1378,0.3647,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12499694,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,35.0,29.0,2.0,,0.0,23.0,25.0,8.0,14.0,1.0,,,,,,,,87.0,51.0,7.2,8.0,0.0530845,2,,4.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,0.043,0.0743,,,1.0,1.0,True,1.0,,,,,,,,,,
12499694,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,50.0,43.0,1.0,,0.0,21.0,22.0,22.0,28.0,2.0,5.0,,,,,,,90.0,59.0,7.0,9.0,0.0493805,2,,,,2.0,2.0,4.0,,1.0,1.0,,1.0,,2.0,,0.0907,0.1658,2.0,,,,,1.0,1.0,1.0,,,,,,,,
12499694,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,58.0,49.0,1.0,,0.0,19.0,21.0,31.0,39.0,,5.0,,,,,,,90.0,72.0,7.0,12.0,0.0583987,2,,2.0,1.0,1.0,7.0,5.0,,,1.0,,2.0,2.0,1.0,1.0,0.1432,,5.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,
12499694,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,37.0,28.0,4.0,3.0,1.0,6.0,9.0,22.0,29.0,,5.0,,,,,,,77.0,53.0,6.6,17.0,0.0203508,1,,1.0,,1.0,8.0,4.0,,,,1.0,1.0,,,,0.0229,,1.0,,1.0,,,1.0,7.0,2.0,doanritsu,2.0,,,,,,
12499694,home,SC Freiburg,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,18,18,False,28.0,24.0,1.0,,1.0,8.0,9.0,17.0,23.0,,7.0,,,,,,,66.0,38.0,6.7,11.0,0.108418,0,,4.0,1.0,,5.0,2.0,2.0,,,,1.0,,3.0,2.0,,,,,,,,3.0,1.0,1.0,,1.0,,,,,,
12499694,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,M,32,32,False,62.0,50.0,9.0,4.0,1.0,28.0,30.0,23.0,35.0,2.0,5.0,,,,,,,76.0,73.0,8.0,17.0,0.0787894,1,,3.0,1.0,,4.0,2.0,1.0,1.0,,,,,,,0.0579,0.5401,,1.0,,1.0,,1.0,2.0,1.0,,2.0,,,1.0,,,
12499694,home,SC Freiburg,Junior Adamu,chukwubuike-adamu,J. Adamu,F,9,183,1129,M,902381,EUR,991785600,F,20,20,False,15.0,8.0,,,0.0,5.0,8.0,3.0,7.0,1.0,2.0,,,,,,,66.0,30.0,6.5,12.0,0.0284835,2,,,,1.0,12.0,3.0,1.0,1.0,1.0,1.0,,,3.0,4.0,0.1367,0.0885,6.0,2.0,,,,,2.0,,,,,,,,,
12499694,home,SC Freiburg,Florent Muslija,florent-muslija,F. Muslija,M,24,172,810,M,882019,EUR,899683200,M,23,23,True,10.0,8.0,,,0.0,3.0,4.0,6.0,10.0,1.0,,,,,,,,24.0,17.0,6.6,7.0,0.131248,0,,4.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,38,193,1525,M,111483,EUR,766627200,F,38,38,True,11.0,10.0,,,0.0,4.0,4.0,6.0,7.0,,2.0,,,,,,,24.0,16.0,6.7,3.0,0.00774728,0,,,,2.0,4.0,3.0,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,2.0,,,,,,
12499694,home,SC Freiburg,Nicolas Höfler,nicolas-hofler,N. Höfler,M,27,181,162,M,49639,EUR,636940800,M,27,27,True,21.0,19.0,1.0,,0.0,8.0,8.0,11.0,13.0,,,,,,,,,14.0,21.0,6.7,2.0,0.0213298,0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
12499694,home,SC Freiburg,Max Rosenfelder,rosenfelder-maximilian,M. Rosenfelder,D,37,186,240,M,1131337,EUR,1044835200,D,37,37,True,8.0,7.0,1.0,,0.0,5.0,5.0,2.0,3.0,,,,,,,,,13.0,8.0,6.4,1.0,0.00095218,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Jordy Makengo,makengo-jordy,J. Makengo,D,33,191,319,M,1131339,EUR,996710400,D,33,33,True,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,,,,,,,,,8.0,10.0,6.7,1.0,0.00458899,0,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Florian Müller,florian-muller,F. Müller,G,21,190,205,M,842858,EUR,879379200,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Kiliann Sildillia,kiliann-sildillia,K. Sildillia,D,25,186,666,M,1014222,EUR,1021507200,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,home,SC Freiburg,Noah Weißhaupt,noah-weisshaupt,N. Weißhaupt,F,10,181,339,M,1048820,EUR,1000944000,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,away,FC Augsburg,Nediljko Labrović,nediljko-labrovic,N. Labrović,G,22,196,1320,M,947986,EUR,939513600,G,22,22,False,30.0,22.0,13.0,5.0,0.0,16.0,16.0,6.0,14.0,1.0,13.0,1.0,,3.0,1.0,,,90.0,42.0,6.3,8.0,0.00390718,0,-1.7535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499694,away,FC Augsburg,Maximilian Bauer,maximilian-bauer,M. Bauer,D,5,189,96,M,940393,EUR,950054400,D,23,23,False,62.0,50.0,11.0,6.0,0.0,27.0,31.0,23.0,31.0,3.0,2.0,,,,,,,90.0,77.0,6.9,15.0,0.0113738,0,,,,6.0,2.0,9.0,,,,1.0,2.0,2.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,
12499694,away,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,64.0,54.0,12.0,8.0,0.0,26.0,31.0,28.0,33.0,3.0,3.0,,,,,,,90.0,77.0,6.8,11.0,0.0283934,1,,,,1.0,2.0,5.0,,,,,2.0,,,1.0,0.016,,1.0,2.0,1.0,,True,,,,,,,,,2.0,,
12499694,away,FC Augsburg,Chrislain Matsima,chrislain-matsima,C. Matsima,D,5,192,662,M,963198,EUR,1021420800,D,5,5,False,55.0,47.0,3.0,2.0,0.0,26.0,30.0,21.0,25.0,1.0,6.0,,,,,,,90.0,71.0,6.2,14.0,0.0106846,0,,,,3.0,8.0,3.0,,,,3.0,,,3.0,1.0,,,4.0,,,,,,,,,3.0,,,,,,
12499694,away,FC Augsburg,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,254119,EUR,801532800,M,11,11,False,15.0,11.0,2.0,1.0,0.0,6.0,7.0,5.0,8.0,1.0,2.0,,,,,,,45.0,25.0,6.8,6.0,0.158389,0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,
