match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,captain,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_totalOffside
12513650,home,Famalicão,Ivan Zlobin,ivan-zlobin,I. Zlobin,G,1,191,247,M,788203,EUR,857692800,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,home,Famalicão,Calegari,calegari,Calegari,D,2,171,471,M,988906,EUR,1014768000,D,2,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,home,Famalicão,Enea Mihaj,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,home,Famalicão,Rodrigo Ribeiro,rodrigo-ribeiro,R. Ribeiro,M,19,175,39,M,1479513,EUR,1148601600,M,68,68,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,home,Famalicão,Samuel Lobato,samuel-lobato,S. Lobato,M,8,183,41,M,1087360,EUR,1003449600,M,88,88,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,away,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,91,91,False,29.0,21.0,14.0,6.0,0.0,17.0,20.0,4.0,9.0,9.0,3.0,3.0,1.0,1.0,90.0,41.0,7.3,8.0,0.00134622,0,0.1844,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,
12513650,away,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,38.0,30.0,7.0,3.0,0.0,12.0,13.0,18.0,28.0,4.0,,,,,90.0,63.0,7.0,16.0,0.0710295,3,,3.0,,1.0,2.0,2.0,,,1.0,,3.0,,,,2.0,,1.0,2.0,0.0574,,,,,,,1.0,,2.0,1.0,,,,,,,,,,
12513650,away,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,39.0,32.0,6.0,1.0,0.0,24.0,25.0,8.0,14.0,2.0,,,,,45.0,44.0,6.1,7.0,0.00439738,0,,,2.0,1.0,3.0,1.0,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
12513650,away,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,False,65.0,58.0,8.0,3.0,0.0,45.0,47.0,13.0,18.0,5.0,,,,,90.0,79.0,7.0,7.0,0.0107649,0,,,2.0,2.0,3.0,4.0,,1.0,5.0,,3.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,
12513650,away,Sporting Braga,Francisco Chissumba,francisco-chissumba,F. Chissumba,D,55,180,264,M,1158067,EUR,1117324800,D,55,55,False,45.0,35.0,6.0,3.0,0.0,24.0,30.0,12.0,17.0,7.0,,,,,90.0,72.0,6.7,15.0,0.0147021,0,,2.0,2.0,,4.0,5.0,,2.0,1.0,,,2.0,2.0,,,2.0,,2.0,,Francisco,Chissumba,,,,,2.0,,,1.0,,,1.0,,,,,,,
