match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_outfielderBlock,stat_dispossessed,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_totalOffside,stat_wonContest,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
12764324,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64485,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,39.0,32.0,8.0,1.0,0.0,31.0,35.0,1.0,4.0,1.0,1.0,4.0,90.0,42.0,6.2,7.0,0.00018704,0,-0.2623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15948,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,64.0,58.0,2.0,2.0,0.0,38.0,42.0,20.0,22.0,1.0,5.0,,86.0,80.0,7.2,7.0,0.185914,0,,,,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10330,M,jarellquansah,1003339,EUR,1043798400,D,78,78,False,103.0,99.0,5.0,3.0,0.0,83.0,84.0,16.0,19.0,1.0,2.0,5.0,90.0,111.0,6.8,4.0,0.00654444,1,,,,,,,,,,1.0,,,1.0,1.0,5.0,0.2053,,,,,,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,97860,M,VvD,151545,EUR,678931200,D,4,4,False,96.0,92.0,6.0,3.0,0.0,74.0,75.0,18.0,21.0,,,3.0,90.0,99.0,6.6,4.0,0.00840696,0,,,,1.0,,,,,,,1.0,,,,2.0,,True,,,,,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16094,M,TK21,786259,EUR,831859200,D,21,21,False,62.0,58.0,2.0,1.0,0.0,36.0,37.0,23.0,31.0,,3.0,5.0,90.0,82.0,7.6,10.0,0.304577,0,,,,2.0,1.0,1.0,,2.0,2.0,1.0,,3.0,,,2.0,,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,77108,M,DomSzobo,869856,EUR,972432000,M,8,8,False,26.0,24.0,2.0,2.0,0.0,9.0,10.0,15.0,17.0,,3.0,1.0,63.0,42.0,6.7,8.0,0.0402869,1,,,,5.0,1.0,,,3.0,3.0,,,1.0,,1.0,1.0,0.0133,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,
12764324,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31041,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,19.0,17.0,1.0,,0.0,5.0,5.0,12.0,14.0,,1.0,2.0,45.0,24.0,6.7,2.0,0.0114013,0,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12764324,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17589,M,curtisjones,927353,EUR,980812800,M,17,17,False,24.0,21.0,4.0,4.0,1.0,12.0,13.0,9.0,11.0,,2.0,4.0,45.0,30.0,7.3,5.0,0.200886,0,,,,3.0,,1.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12764324,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,564007,M,MoSalah,159665,EUR,708566400,F,11,11,False,28.0,21.0,2.0,2.0,0.0,4.0,4.0,17.0,28.0,,,1.0,90.0,42.0,7.3,12.0,0.154909,6,,,,2.0,1.0,,,,,,1.0,,2.0,3.0,1.0,1.8016,,4.0,,,,,,3.0,1.0,1.2095,,,,,,,,,,,
12764324,home,Liverpool,Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,70302,M,Darwin,924871,EUR,930182400,F,9,9,False,19.0,13.0,2.0,2.0,0.0,,1.0,13.0,19.0,,4.0,6.0,90.0,32.0,7.2,9.0,0.0312754,1,,,,4.0,,,1.0,4.0,4.0,,3.0,3.0,1.0,,4.0,0.2294,,1.0,,,,,2.0,1.0,,0.2619,1.0,1.0,,,,,,,,,
12764324,home,Liverpool,Luis Díaz,luis-diaz,L. Díaz,F,14,178,143410,M,LuisDíaz,883537,EUR,853113600,F,7,7,False,31.0,24.0,6.0,6.0,0.0,8.0,11.0,17.0,22.0,,6.0,10.0,75.0,48.0,7.9,10.0,0.0930895,0,,,,3.0,,2.0,,2.0,1.0,1.0,,2.0,,,,,,2.0,1.0,3.0,,2.0,,,,,1.0,,3.0,,,,,,,,
