match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_wonContest,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAShot
14773714,home,Neom SC,Luís Maximiano,,,luis-maximiano,L. Maximiano,G,81,190.0,766,M,845797,EUR,915494400.0,G,81,81,False,23.0,8.0,16.0,1.0,0.0,7.0,8.0,1.0,15.0,9.0,2.0,3.0,4.0,90.0,36.0,7.4,15.0,0.00012018,14.639832174538,3.0,7.5031701757983,0.5324,0,0.9196,0.03,0.0,0.25,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Mohammed Al-Burayk,,,mohammed-al-burayk,M. Al-Burayk,D,2,173.0,281,M,804096,EUR,716515200.0,D,2,2,False,27.0,24.0,3.0,2.0,0.0,10.0,10.0,14.0,17.0,4.0,,,,90.0,54.0,8.0,10.0,0.0180079,58.93529451199,6.0,39.126479704162,,0,,0.08,0.1,0.62,,8.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,1.0,6.0,3.0,3.0,1.0,20.668120107447,24.382472721199,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Ahmed Hegazy,,,ahmed-hegazy,A. Hegazy,D,26,194.0,4623,M,159653,EUR,664761600.0,D,26,26,False,47.0,38.0,7.0,3.0,0.0,19.0,23.0,19.0,24.0,2.0,,,,90.0,65.0,8.0,11.0,0.00597404,137.05052416293,19.0,79.933862501775,,0,,0.31,0.21,0.87,,,,3.0,1.0,4.0,1.0,9.0,3.0,,,,,,,,,,ahmedhegazy6,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Nathan Zeze,Nathan Zeze,,zeze-nathan,N. Zeze,D,44,190.0,843,M,1154687,EUR,1119052800.0,D,44,44,False,34.0,30.0,7.0,4.0,0.0,20.0,21.0,10.0,13.0,4.0,,,,90.0,42.0,7.8,4.0,0.00724808,111.46405629518,14.0,71.980818386017,,1,,0.14,0.07,0.0,,,,,6.0,2.0,,4.0,,,2.0,2.0,,3.0,,,,,,3.0,,,1.0,1.0,1.0,0.2983,0.7903,0.51,,,,,,,,,,,,
14773714,home,Neom SC,Faris Abdi,,,abdi-faris,A. Faris,D,25,180.0,62,M,983833,EUR,926208000.0,D,25,25,False,40.0,34.0,2.0,1.0,0.0,15.0,18.0,19.0,22.0,5.0,,,,90.0,66.0,7.1,10.0,0.0180963,67.882197183725,11.0,18.671995774721,,1,,0.11,0.15,0.26,,1.0,,2.0,5.0,6.0,,7.0,,3.0,4.0,2.0,,2.0,,,,,,2.0,,1.0,1.0,1.0,,0.0375,0.0693,-0.15,,,,,,,,,,,,
14773714,home,Neom SC,Abdulaziz Noor,Abdulaziz Noor,,abdulaziz-noor,A. Noor,M,24,173.0,80,M,1085115,EUR,916617600.0,M,24,24,False,15.0,13.0,,,0.0,1.0,1.0,12.0,14.0,2.0,,,,62.0,31.0,6.2,9.0,0.00387654,31.493835924765,4.0,13.909224996792,,1,,-0.1,0.01,-0.14,,1.0,,,9.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,4.0,5.0,1.0,,0.0161,0.0624,-0.04,1.0,,,,,,,,,,,
14773714,home,Neom SC,Salman Al-Faraj,,,salman-al-faraj,S. Al-Faraj,M,7,180.0,489,M,148858,EUR,617932800.0,M,7,7,False,46.0,35.0,4.0,4.0,0.0,17.0,20.0,18.0,26.0,8.0,,,,85.0,60.0,6.6,16.0,0.171844,150.41495077089,16.0,117.30611673214,,1,,-0.09,0.56,-0.04,,1.0,1.0,,7.0,2.0,3.0,,,1.0,1.0,,,2.0,20.790396238683,20.795085957985,1.0,2.0,,,1.0,1.0,1.0,,,0.1714,,-0.54,2.0,True,1.0,1.0,1.0,,,,,,,
14773714,home,Neom SC,Amadou Koné,,,kone-amadou,A. Kone,M,72,178.0,751,M,1586875,EUR,1116028800.0,M,72,72,False,60.0,52.0,5.0,3.0,0.0,27.0,32.0,25.0,28.0,7.0,,,,90.0,84.0,8.0,13.0,0.0388135,169.8323917554,20.0,44.845015927776,,2,,0.19,0.25,0.18,,2.0,,1.0,7.0,5.0,2.0,1.0,1.0,8.0,2.0,1.0,,3.0,27.457688780388,50.179538811532,2.0,1.0,,3.0,2.0,,1.0,1.0,1.0,0.518,0.7616,0.5,,,1.0,,1.0,1.0,1.0,,,,,
14773714,home,Neom SC,Saïd Benrahma,,,said-benrahma,S. Benrahma,F,10,172.0,11146,M,354808,EUR,808012800.0,M,10,10,False,28.0,21.0,1.0,,1.0,8.0,8.0,13.0,20.0,6.0,,,,76.0,46.0,7.1,17.0,0.218952,120.54234729937,18.0,63.218684799154,,1,,0.31,0.15,-0.01,,4.0,1.0,,4.0,4.0,5.0,,,1.0,1.0,,,,17.22434754257,36.15141752001,2.0,2.0,said_benrahma11,,3.0,3.0,,1.0,,0.006,0.0285,-0.02,2.0,,,,,1.0,,,,,,
14773714,home,Neom SC,Alexandre Lacazette,,,alexandre-lacazette,A. Lacazette,F,91,176.0,9441,M,50070,EUR,675388800.0,F,91,91,False,20.0,17.0,,,0.0,6.0,6.0,11.0,14.0,1.0,,,,90.0,27.0,7.0,5.0,0.0187805,30.81068308999,3.0,27.551811354885,,2,,-0.08,0.07,0.13,,,,,2.0,1.0,1.0,,,,,,1.0,1.0,11.87464014104,12.007307941416,1.0,2.0,lacazettealex,,,,,2.0,1.0,0.8578,0.8677,0.32,,,,,,,,,,,,
14773714,home,Neom SC,Luciano Rodríguez,,,luciano-rodriguez,L. Rodríguez,F,17,179.0,4244,M,1099361,EUR,1058313600.0,F,19,19,False,17.0,10.0,,,0.0,4.0,5.0,6.0,12.0,5.0,,,,90.0,40.0,5.8,21.0,0.0185979,136.64659867881,15.0,79.478249123531,,3,,-0.14,0.29,-0.11,,1.0,,,19.0,3.0,3.0,,,,1.0,1.0,2.0,4.0,17.103009710475,62.038533714238,3.0,,,6.0,,4.0,2.0,1.0,,0.184,0.5086,0.16,5.0,,,2.0,,,,,,,,
14773714,home,Neom SC,Saimon Bouabre,Saïmon Bouabré,,bouabre-saimon,S. Bouabré,M,70,174.0,1537,M,1426581,EUR,1149120000.0,M,22,22,True,10.0,9.0,,,1.0,4.0,4.0,5.0,6.0,3.0,,,,28.0,18.0,7.3,2.0,0.377826,90.679763401405,7.0,45.136794144298,,1,,0.34,0.01,-0.02,,1.0,1.0,1.0,2.0,5.0,1.0,,,,2.0,2.0,1.0,1.0,22.66748178044,42.795027226599,2.0,2.0,,,1.0,1.0,1.0,,,0.1248,,-0.38,,,,,,1.0,1.0,,,,,
14773714,home,Neom SC,Ala'a Al-Hejji,,,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,826242,EUR,817948800.0,M,18,18,True,11.0,11.0,,,0.0,5.0,5.0,6.0,6.0,4.0,,,,14.0,14.0,6.7,1.0,0.00093901,28.63410170649,2.0,6.7455341866494,,0,,0.06,0.06,0.2,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Ayman Fallatah,,,ayman-fallatah,A. Fallatah,M,95,190.0,80,M,1517641,EUR,1065052800.0,M,95,95,True,6.0,5.0,,,0.0,4.0,5.0,1.0,1.0,,,,,10.0,7.0,6.5,1.0,0.00345854,41.296316046412,4.0,19.89217215107,,1,,-0.07,0.15,-0.01,,,,,1.0,,,,,,,,,1.0,8.6399066414837,8.668176336462,1.0,,,,,,,1.0,,0.0224,0.0745,-0.06,,,,,,,,,,,,
14773714,home,Neom SC,Mustafa Malaika,,,mustafa-malaika,M. Malaika,G,1,184.0,41,M,818855,EUR,516931200.0,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Awn Al Saluli,,,awn-al-saluli,A. A. Saluli,D,93,194.0,64,M,881830,EUR,904694400.0,D,93,93,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Islam Ahmed Hawsawi,Hawsawi Islam Ahmed,,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,1106232,EUR,1009411200.0,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Ahmed Abdu,,,ahmed-abdoh-jaber,A. Abdu,F,71,183.0,56,M,873363,EUR,822528000.0,F,71,71,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Thamer Al Khaibri,Thamer Al Khaibri,,thamer-al-khaibri,T. A. Khaibri,F,90,187.0,70,M,1536875,EUR,1133568000.0,F,20,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,home,Neom SC,Hassan Hashim Al-Ali,Hassan Hashim Al Ali,,hassan-hashim-al-ali,H. H. A. Ali,F,11,175.0,30,M,1066734,EUR,1013299200.0,F,11,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773714,away,Damac FC,Kewin,,,kewin,Kewin,G,1,187.0,116,M,865371,EUR,790992000.0,G,1,1,False,24.0,14.0,18.0,9.0,0.0,11.0,13.0,3.0,11.0,4.0,,3.0,6.0,90.0,35.0,7.7,10.0,0.00039661,18.162638724038,4.0,5.5266470556695,0.7188,0,0.1629,0.03,0.0,-0.27,0.55,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
14773714,away,Damac FC,Jamal Harkass,,,jamal-harkass,J. Harkass,D,15,185.0,1144,M,970761,EUR,817171200.0,D,15,15,False,29.0,23.0,4.0,1.0,0.0,13.0,14.0,10.0,15.0,2.0,,,,90.0,46.0,5.9,12.0,0.019137,54.489880847291,8.0,36.133276997499,,1,,0.0,0.15,-0.53,,3.0,,3.0,4.0,7.0,,3.0,,1.0,2.0,1.0,2.0,1.0,15.443913475351,15.991138170875,1.0,,,2.0,,2.0,1.0,,,0.1675,,-0.51,,,,,,,1.0,,,,,
14773714,away,Damac FC,Hassan Rubayyi,Hassan Rubayyi,,hassan-rubayyi,H. Rubayyi,D,5,,2,M,1163711,EUR,1056240000.0,D,5,5,False,14.0,13.0,1.0,,0.0,11.0,11.0,2.0,3.0,5.0,,,,71.0,26.0,6.5,1.0,0.00049149,63.310928646687,8.0,6.824208217858,,0,,0.02,0.11,-0.22,,,,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
14773714,away,Damac FC,Abdelkader Bedrane,,,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800.0,D,3,3,False,53.0,41.0,9.0,5.0,0.0,25.0,30.0,16.0,23.0,8.0,,,,90.0,72.0,7.4,14.0,0.0117002,94.803226389655,13.0,26.444331751794,,1,,0.05,-0.13,-0.27,,,,9.0,1.0,16.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,1.0,2.0,1.0,,,0.0675,,-0.45,,True,,,,,1.0,,,,,1.0
14773714,away,Damac FC,Abdul Rahman Al Khaibari,,,abdul-rahman-al-khaibari,A. R. A. Khaibari,D,22,180.0,16,M,1549073,EUR,953337600.0,M,22,22,False,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,,,,,45.0,25.0,6.7,5.0,0.00279139,7.4459011456439,2.0,4.5910550886832,,0,,-0.05,-0.08,0.19,,1.0,,1.0,2.0,3.0,,3.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
14773714,away,Damac FC,Morlaye Sylla,,,morlaye-sylla,M. Sylla,M,2,170.0,6357,M,822492,EUR,901497600.0,M,2,2,False,54.0,45.0,5.0,4.0,0.0,14.0,16.0,31.0,38.0,4.0,,,,90.0,68.0,6.7,13.0,0.101776,209.40474521414,26.0,87.012794571507,,1,,0.22,0.28,-0.19,,2.0,,,3.0,2.0,1.0,2.0,,,1.0,,,1.0,40.97634474147,57.909682100664,1.0,,morlayesylla2,1.0,1.0,1.0,1.0,1.0,,0.0369,0.0276,-0.15,,,,,,,,,,,,
