match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_errorLeadToAGoal,stat_expectedGoals,player_firstName,player_lastName,stat_wasFouled,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_penaltyConceded
11368693,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,29.0,27.0,8.0,6.0,25.0,25.0,2.0,4.0,5.0,1.0,2.0,90.0,33.0,6.6,2.0,0.00060532,0,-1.4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368693,home,Girona FC,Eric García,eric-garcia,E. García,D,24,182,56393,M,876214,EUR,978998400,D,25,25,False,79.0,67.0,11.0,7.0,40.0,43.0,28.0,37.0,5.0,,,90.0,110.0,6.9,16.0,0.0368627,0,,ericgm3,1.0,1.0,2.0,2.0,6.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11368693,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,65.0,58.0,4.0,,56.0,59.0,2.0,6.0,3.0,,,82.0,73.0,5.2,7.0,0.00069101,1,,,,,,1.0,2.0,1.0,,,,3.0,,,,2.0,,1.0,1.0,2.0,0.0498,,,,,,,,,,,,,,,,,,,,
11368693,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,90.0,82.0,5.0,2.0,54.0,56.0,28.0,34.0,3.0,,,90.0,97.0,6.2,11.0,0.0146557,0,,,,,1.0,1.0,5.0,3.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11368693,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,M,20,20,False,35.0,29.0,3.0,,20.0,21.0,9.0,17.0,5.0,,,90.0,58.0,6.3,16.0,0.0270555,1,,yan.couto,3.0,,1.0,,6.0,3.0,,1.0,4.0,,,1.0,1.0,1.0,,,,,0.0191,,,1.0,1.0,1.0,2.0,0.0122,,,,,,,,,,,,,
11368693,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,65.0,61.0,1.0,,39.0,40.0,22.0,25.0,5.0,,,89.0,78.0,6.9,7.0,0.0205338,0,,,,,,,3.0,6.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,3.0,,3.0,,,,,,,,,,,,,,
11368693,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,76.0,67.0,5.0,2.0,42.0,45.0,26.0,38.0,3.0,,,90.0,91.0,6.6,18.0,0.0857487,0,,AlexGarcia97,7.0,1.0,,1.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,True,1.0,,,,,,,,,,,
11368693,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,M,3,3,False,50.0,44.0,2.0,2.0,26.0,27.0,19.0,27.0,10.0,,,90.0,76.0,6.4,16.0,0.0485725,1,,MGutiérrez,4.0,1.0,1.0,,4.0,,1.0,,2.0,,1.0,,,,,1.0,,,0.0731,,,,,,5.0,,,,,,,,,,,,,,
11368693,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,F,8,8,False,33.0,26.0,,,14.0,14.0,12.0,19.0,1.0,,,82.0,51.0,7.1,12.0,0.0414586,1,,viktortsygankov,,,,,4.0,8.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,1.0,,,0.0928,,,5.0,2.0,,1.0,,,,,,,,,,,,,,
11368693,home,Girona FC,Portu,portu,Portu,F,8,167,868,M,218616,EUR,706406400,F,24,24,False,15.0,12.0,,,3.0,3.0,10.0,13.0,3.0,,,82.0,30.0,7.0,9.0,0.237818,0,,,1.0,1.0,1.0,,8.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,
