match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_totalClearance,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
12450879,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,31.0,28.0,5.0,2.0,0.0,28.0,28.0,3.0,6.0,3.0,1.0,2.0,90.0,39.0,7.1,3.0,7.497e-05,0,0.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450879,home,Nice,Antoine Mendy,mendy-antoine,A. Mendy,D,5,186,6281,M,,1120615,EUR,1085529600,D,33,33,False,55.0,47.0,6.0,,0.0,38.0,41.0,16.0,7.0,,,,89.0,72.0,6.4,13.0,0.00467073,2,,9.0,2.0,1.0,2.0,5.0,7.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.4009,,,,,,,,,,,,,,,,,,,,
12450879,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,80.0,69.0,10.0,4.0,0.0,52.0,56.0,24.0,5.0,,,,90.0,93.0,6.8,13.0,0.00867564,0,,17.0,,4.0,3.0,5.0,4.0,1.0,,,,,1.0,,,1.0,,,Moise Bombito,,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,
12450879,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,65.0,54.0,9.0,1.0,0.0,43.0,48.0,17.0,6.0,,,,90.0,78.0,6.6,13.0,0.0225468,1,,11.0,,2.0,3.0,4.0,5.0,,,,,1.0,,1.0,,1.0,1.0,0.0122,,,4.0,1.0,,1.0,True,1.0,,,,,,,,,,,,
12450879,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,,821728,EUR,717379200,M,92,92,False,36.0,27.0,3.0,,0.0,11.0,14.0,25.0,5.0,,,,90.0,66.0,7.8,14.0,0.159063,3,,17.0,3.0,1.0,3.0,5.0,9.0,1.0,,,,1.0,1.0,6.0,4.0,,2.0,0.4942,,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.2418,1.0,,,,,,
12450879,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,6,6,False,42.0,34.0,,,1.0,20.0,23.0,21.0,7.0,,,,90.0,60.0,7.2,14.0,0.201794,0,,14.0,2.0,1.0,3.0,7.0,7.0,3.0,3.0,,,,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,
12450879,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,False,37.0,32.0,2.0,,0.0,24.0,25.0,12.0,3.0,,,,90.0,45.0,6.5,7.0,0.00876652,0,,8.0,,1.0,1.0,5.0,4.0,1.0,,,,,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
12450879,home,Nice,Tanguy Ndombélé,tanguy-ndombele,T. Ndombélé,M,22,181,2715,M,,845486,EUR,851731200,M,22,22,False,28.0,23.0,,,0.0,10.0,14.0,14.0,2.0,,,,78.0,53.0,6.7,15.0,0.0421359,1,,13.0,,,,8.0,8.0,1.0,8.0,3.0,,1.0,,2.0,1.0,3.0,1.0,0.0547,,,,,,4.0,,1.0,,,,,,2.0,,,,,,
12450879,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,M,26,26,False,29.0,22.0,2.0,,0.0,10.0,13.0,20.0,2.0,,,,83.0,60.0,6.0,21.0,0.00797735,0,,12.0,4.0,2.0,,5.0,9.0,,5.0,3.0,,,,3.0,,3.0,2.0,,,,,,,4.0,,,,,,,,,,1.0,,,,
12450879,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,F,25,25,False,20.0,15.0,,,0.0,5.0,5.0,19.0,1.0,,,,78.0,39.0,7.2,15.0,0.347872,1,,12.0,4.0,1.0,,5.0,4.0,1.0,4.0,1.0,,,,,,3.0,,0.0333,,,,,,5.0,,,2.0,1.0,,,0.2024,2.0,1.0,,,,,
