match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,captain,player_sofascoreId,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goals,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_errorLeadToAShot,stat_totalOffside
12116997,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,25.0,25.0,2.0,2.0,24.0,24.0,1.0,1.0,6.0,1.0,4.0,4.0,90.0,35.0,7.5,1.0,0.00061282,0,0.2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116997,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,35.0,29.0,1.0,1.0,12.0,14.0,18.0,23.0,2.0,,,,90.0,60.0,7.6,12.0,0.236881,0,,1.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12116997,home,Fluminense,Manoel,,,manoel,Manoel,D,26,182,614,M,84845,EUR,635990400,D,26,26,False,60.0,53.0,6.0,4.0,36.0,38.0,17.0,22.0,4.0,,,,90.0,69.0,6.8,8.0,0.00429097,0,,,,,,8.0,2.0,,,2.0,,,,1.0,2.0,,5.0,1.0,3.0,2.0,,,,,,,,,,,,,,
12116997,home,Fluminense,Felipe Melo,,,felipe-melo,F. Melo,D,,183,1013,M,4811,EUR,425433600,D,30,30,False,33.0,31.0,6.0,4.0,20.0,20.0,11.0,13.0,3.0,,,,45.0,39.0,6.8,3.0,0.00544127,0,,,,,,1.0,2.0,,,3.0,,2.0,2.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,
12116997,home,Fluminense,Marcelo,,,marcelo,Marcelo,D,,174,26297,M,17787,EUR,579398400,D,12,12,False,47.0,38.0,8.0,4.0,16.0,19.0,23.0,32.0,8.0,,,,90.0,70.0,7.9,14.0,0.153499,2,,1.0,4.0,1.0,,9.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,3.0,4.0,1.0,4.0,,Marcelo12,1.0,1.0,1.0,1.0,0.071,0.0245,,,,,,
12116997,home,Fluminense,André,André,,andre,André,M,7,176,9120,M,1035996,EUR,995241600,M,7,7,False,89.0,79.0,5.0,1.0,36.0,41.0,43.0,48.0,8.0,,,,90.0,110.0,6.9,17.0,0.0231737,0,,,,,,5.0,8.0,,,,2.0,4.0,2.0,4.0,2.0,1.0,,,1.0,3.0,,Andre7,4.0,1.0,,,,,,,,,,
12116997,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176,4179,M,1067671,EUR,1002240000,M,8,8,False,58.0,56.0,4.0,3.0,32.0,32.0,24.0,26.0,6.0,,,,90.0,72.0,7.5,7.0,0.0618639,1,,,,,,6.0,3.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,2.0,1.0,1.0,,0.274,0.9797,1.0,,,,,
12116997,home,Fluminense,Marquinhos,Marquinhos,,marquinhos,Marquinhos,M,7,175,4094,M,1116954,EUR,1049673600,M,77,77,False,37.0,29.0,,,9.0,10.0,21.0,31.0,3.0,,,,88.0,61.0,7.1,18.0,0.0380797,2,,,4.0,1.0,,4.0,3.0,,,,1.0,1.0,,3.0,,1.0,1.0,,,1.0,,_marquinhos011,4.0,1.0,1.0,,0.0618,0.2563,,1.0,1.0,,,
12116997,home,Fluminense,Ganso,,,ganso,Ganso,M,10,184,3271,M,116853,EUR,624153600,M,10,10,False,51.0,43.0,3.0,2.0,15.0,17.0,28.0,34.0,,,,,74.0,59.0,7.4,9.0,0.0285348,1,,,,,,2.0,2.0,,,,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,0.3005,0.592,1.0,,,,,
12116997,home,Fluminense,Jhon Arias,,,jhon-arias,J. Arias,M,21,170,30718,M,844096,EUR,874800000,M,21,21,False,51.0,46.0,1.0,1.0,16.0,17.0,30.0,40.0,3.0,,,,90.0,82.0,6.9,20.0,0.0778082,2,,,6.0,,1.0,13.0,9.0,1.0,,,,1.0,1.0,2.0,3.0,2.0,2.0,2.0,,3.0,,jhonariasa,9.0,4.0,2.0,,0.2344,0.7612,,,,1.0,,
