match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_goalAssist,stat_totalOffside,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_accurateCross,stat_bigChanceMissed,stat_clearanceOffLine,stat_blockedScoringAttempt,stat_hitWoodwork
10407353,home,KV Kortrijk,Tom Vandenberghe,,,tom-vandenberghe,T. Vandenberghe,G,23,190,77,M,1046454,EUR,714009600,G,1,1,False,32.0,18.0,25.0,11.0,13.0,15.0,5.0,17.0,12.0,1.0,3.0,4.0,90.0,44.0,6.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407353,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187,281,M,1068519,EUR,916272000,D,44,44,False,48.0,31.0,20.0,8.0,20.0,31.0,11.0,17.0,14.0,,,,90.0,63.0,6.8,18.0,0,2.0,1.0,4.0,5.0,4.0,1.0,3.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10407353,home,KV Kortrijk,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,56.0,36.0,11.0,5.0,32.0,46.0,4.0,10.0,9.0,,,,90.0,76.0,7.3,22.0,0,7.0,8.0,10.0,9.0,8.0,3.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
10407353,home,KV Kortrijk,Nayel Mehssatou,,,nayel-mehssatou,N. Mehssatou,M,8,172,534,M,1064174,EUR,1018569600,D,25,25,False,40.0,26.0,13.0,8.0,16.0,19.0,10.0,23.0,4.0,,,,90.0,73.0,6.6,25.0,0,3.0,1.0,7.0,6.0,1.0,,,4.0,3.0,2.0,1.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,
10407353,home,KV Kortrijk,Christalino Atemona,,,christalino-atemona,C. Atemona,D,3,178,13,M,1010140,EUR,1019779200,M,5,5,False,12.0,6.0,1.0,,6.0,10.0,,2.0,3.0,,,,45.0,23.0,6.3,10.0,0,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10407353,home,KV Kortrijk,Stjepan Lončar,,,stjepan-loncar,S. Lončar,M,10,187,317,M,842571,EUR,847584000,M,33,33,False,38.0,20.0,11.0,2.0,6.0,11.0,14.0,29.0,15.0,,,,87.0,59.0,6.5,24.0,1,3.0,1.0,6.0,4.0,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10407353,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170,2010,M,1007528,EUR,961804800,M,18,18,False,38.0,26.0,3.0,,8.0,16.0,18.0,22.0,7.0,,,,76.0,54.0,7.0,17.0,2,,1.0,,4.0,1.0,1.0,1.0,1.0,,4.0,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,
10407353,home,KV Kortrijk,Massimo Bruno,,,massimo-bruno,M. Bruno,M,17,177,60,M,94298,EUR,748224000,M,70,70,False,17.0,11.0,2.0,,5.0,9.0,6.0,9.0,6.0,,,,58.0,41.0,6.3,13.0,1,,,5.0,4.0,,,,3.0,1.0,1.0,,,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
10407353,home,KV Kortrijk,Faïz Selemani,,,faiz-selemani,F. Selemani,F,7,178,361,M,842745,EUR,754617600,F,10,10,False,50.0,29.0,12.0,5.0,10.0,18.0,19.0,35.0,7.0,,,,90.0,78.0,7.3,33.0,1,3.0,2.0,10.0,6.0,4.0,,,1.0,1.0,1.0,2.0,3.0,3.0,,3.0,,,3.0,,,True,1.0,1.0,1.0,3.0,,,,,
10407353,home,KV Kortrijk,Billal Messaoudi,,,billal-messaoudi,B. Messaoudi,M,9,184,641,M,1125840,EUR,882662400,F,9,9,False,15.0,7.0,2.0,,,2.0,7.0,14.0,4.0,,,,76.0,26.0,6.3,15.0,0,4.0,1.0,8.0,3.0,,,,,,2.0,1.0,3.0,1.0,,,,,,,4.0,,,,,2.0,,,,,
