match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
12437718,home,Las Palmas,Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188,1008,M,367228,EUR,833846400,F,16,16,False,17.0,13.0,,,0.0,5.0,5.0,12.0,,3.0,,,,,77.0,24.0,6.6,6.0,0.0420632,0,,8.0,,,4.0,1.0,6.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
12437718,home,Las Palmas,Álex Muñoz,,,alex-munoz,Á. Muñoz,D,3,185,176,M,273227,EUR,775526400,D,23,23,True,39.0,34.0,4.0,3.0,0.0,12.0,12.0,28.0,,3.0,,,,,45.0,54.0,7.3,8.0,0.0427685,1,,23.0,1.0,1.0,2.0,1.0,6.0,5.0,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.1879,0.2928,1.0,,,,,,,,,,,
12437718,home,Las Palmas,Fabio González,,,fabio-gonzalez,F. González,M,,176,37,M,894477,EUR,855705600,M,6,6,True,50.0,42.0,4.0,3.0,0.0,17.0,21.0,30.0,,3.0,,,,,45.0,55.0,6.7,10.0,0.0165178,2,,25.0,1.0,,,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,0.0736,,,,,,,2.0,,,,,,
12437718,home,Las Palmas,Fábio Silva,,,fabio-silva,F. Silva,F,21,185,5306,M,954076,EUR,1027036800,F,37,37,True,6.0,4.0,,,0.0,1.0,1.0,6.0,,,,,,,27.0,14.0,6.8,6.0,0.0117634,2,,3.0,1.0,,,1.0,3.0,2.0,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,0.0469,0.2042,1.0,,1.0,,,,fabio.silva,,,,,
12437718,home,Las Palmas,Benito Ramírez,,,benito-ramirez,B. Ramírez,M,21,180,82,M,868223,EUR,805420800,M,11,11,True,10.0,10.0,,,0.0,2.0,2.0,10.0,,2.0,,,,,13.0,19.0,6.6,4.0,0.00625228,2,,8.0,2.0,,2.0,,2.0,,,,,,,2.0,,,,,2.0,,0.0775,,,,,,,,,,,,,
12437718,home,Las Palmas,Jaime Mata,,,jaime-mata,J. Mata,F,17,185,448,M,351140,EUR,593654400,F,17,17,True,2.0,2.0,,,0.0,1.0,1.0,2.0,,,,,,,13.0,4.0,6.6,2.0,0.012635,0,,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
12437718,home,Las Palmas,Dinko Horkaš,,,dinko-horkas,D. Horkaš,G,1,189,377,M,855922,EUR,921024000,G,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,home,Las Palmas,Viti Rozada,,,viti-rozada,V. Rozada,D,17,171,116,M,1031499,EUR,874368000,M,18,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,home,Las Palmas,Juanma Herzog,,,juanma-herzog,J. Herzog,D,15,186,242,M,1513451,EUR,1084406400,D,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,home,Las Palmas,Manuel Fuster,,,manuel-fuster,M. Fuster,M,14,169,223,M,916654,EUR,877478400,M,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
