match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_fouls,captain,stat_wasFouled,player_sofascoreId,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_shotOffTarget,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox
10382079,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,41.0,31.0,15.0,5.0,30.0,34.0,1.0,7.0,1.0,9.0,3.0,2.0,2.0,90.0,52.0,6.7,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382079,home,Excelsior,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,43.0,28.0,10.0,8.0,17.0,22.0,11.0,21.0,5.0,5.0,,,,90.0,67.0,7.2,20.0,2,1.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,
10382079,home,Excelsior,Sven Nieuwpoort,Sven,Nieuwpoort,sven-nieuwpoort,S. Nieuwpoort,D,16,184,8,M,97412,EUR,734659200,D,16,16,False,30.0,30.0,3.0,3.0,24.0,24.0,6.0,7.0,1.0,2.0,,,,45.0,34.0,6.6,1.0,0,1.0,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
10382079,home,Excelsior,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,4,4,False,63.0,42.0,20.0,7.0,22.0,27.0,20.0,36.0,8.0,4.0,,,,90.0,81.0,7.2,22.0,0,3.0,4.0,3.0,7.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,True,2.0,,,,,,,,,,,,,
10382079,home,Excelsior,Nathan Tjoe-A-On,,,tjoe-a-on-nathan,N. Tjoe-A-On,M,24,182,7235,M,992651,EUR,1008979200,D,28,28,False,57.0,45.0,7.0,1.0,31.0,34.0,16.0,30.0,3.0,10.0,,,,87.0,84.0,7.6,21.0,1,,2.0,5.0,7.0,1.0,4.0,3.0,,,1.0,1.0,,2.0,3.0,7.0,2.0,,1.0,nathantjoeaon,2.0,1.0,1.0,1.0,1.0,,,,,,,
10382079,home,Excelsior,Adrian Fein,Adrian,Fein,adrian-fein,A. Fein,M,29,187,138,M,855846,EUR,921715200,M,5,5,False,21.0,19.0,1.0,,10.0,10.0,9.0,11.0,1.0,3.0,,,,69.0,23.0,6.4,2.0,0,,1.0,3.0,2.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,
10382079,home,Excelsior,Yassin Ayoub,,,yassin-ayoub,Y. Ayoub,M,,175,165,M,151894,EUR,762912000,M,21,21,False,41.0,31.0,,,14.0,15.0,17.0,29.0,,8.0,,,,86.0,64.0,7.0,20.0,1,2.0,1.0,4.0,8.0,2.0,2.0,2.0,1.0,,1.0,5.0,4.0,4.0,,3.0,,,,,,,,,,,,,,,,
10382079,home,Excelsior,Julian Baas,,,julian-baas,J. Baas,M,16,184,147,M,1046143,EUR,1018915200,M,33,33,False,24.0,22.0,2.0,2.0,12.0,13.0,11.0,17.0,,6.0,,,,90.0,43.0,7.1,9.0,1,,,5.0,6.0,2.0,1.0,1.0,,,,2.0,2.0,,1.0,6.0,1.0,,3.0,,1.0,2.0,,1.0,,,,,,,,
10382079,home,Excelsior,Kenzo Goudmijn,,,kenzo-goudmijn,K. Goudmijn,M,24,174,248,M,916947,EUR,1008633600,M,8,8,False,39.0,32.0,4.0,3.0,8.0,8.0,25.0,33.0,,4.0,,,,90.0,53.0,7.0,13.0,1,2.0,,6.0,2.0,2.0,1.0,,,,1.0,1.0,,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,
10382079,home,Excelsior,Couhaib Driouech,,,couhaib-driouech,C. Driouech,F,11,175,4625,M,1047395,EUR,1019001600,M,14,14,False,36.0,28.0,5.0,4.0,12.0,13.0,16.0,26.0,1.0,4.0,,,,90.0,55.0,7.2,14.0,3,3.0,1.0,4.0,3.0,,,,1.0,,1.0,2.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,2.0,,1.0,,,
