match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_ownGoals,stat_fouls,stat_expectedGoals,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,captain,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
12514192,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,44.0,22.0,30.0,9.0,0.0,15.0,17.0,7.0,27.0,7.0,1.0,2.0,5.0,90.0,53.0,5.7,23.0,0.00220113,0,-1.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514192,home,CF Estrela Amadora,Tiago Gabriel,tiago-gabriel,T. Gabriel,D,44,194,1285,M,1651825,EUR,1104019200,D,44,44,False,42.0,33.0,7.0,2.0,0.0,24.0,28.0,9.0,14.0,5.0,,,,90.0,60.0,5.9,10.0,0.00252998,1,,Tiago Gabriel,3.0,4.0,5.0,6.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0888,,,,,,,,,,,,,,,,,,,,,,,
12514192,home,CF Estrela Amadora,Issiar Drame,issiar-drame,I. Drame,D,5,196,173,M,857766,EUR,919123200,D,5,5,False,34.0,26.0,6.0,1.0,0.0,22.0,26.0,4.0,8.0,7.0,,,,90.0,48.0,6.4,9.0,0.00859455,1,,,3.0,3.0,4.0,6.0,,,1.0,1.0,2.0,,,0.0515,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1203,,,,,,,,,,,,,,
12514192,home,CF Estrela Amadora,Rúben Lima,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,D,28,28,False,42.0,23.0,11.0,1.0,0.0,15.0,19.0,9.0,24.0,5.0,,,,79.0,54.0,6.0,20.0,0.0630761,0,,,1.0,,2.0,2.0,,,4.0,1.0,,,2.0,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12514192,home,CF Estrela Amadora,Danilo Veiga,danilo-veiga,D. Veiga,D,17,183,380,M,1002045,EUR,1032912000,M,77,77,False,27.0,21.0,3.0,1.0,0.0,14.0,15.0,7.0,15.0,7.0,,,,90.0,59.0,7.1,11.0,0.0309538,0,,,3.0,2.0,6.0,10.0,,,3.0,2.0,1.0,,3.0,,,,,,,1.0,7.0,,,3.0,,,1.0,,,,,,,,,,
12514192,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,38.0,30.0,3.0,1.0,1.0,15.0,16.0,15.0,23.0,8.0,,,,90.0,48.0,6.7,12.0,0.334205,0,,,,,5.0,3.0,2.0,,,1.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,True,1.0,1.0,1.0,1.0,,,,,
12514192,home,CF Estrela Amadora,Igor Jesus,igor-jesus,Igor Jesus,M,6,179,1490,M,1170912,EUR,1046995200,M,6,6,False,15.0,9.0,2.0,1.0,0.0,3.0,4.0,6.0,11.0,1.0,,,,45.0,23.0,6.5,8.0,0.00439593,0,,,1.0,3.0,4.0,6.0,1.0,,1.0,,3.0,,1.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,
12514192,home,CF Estrela Amadora,Nilton Varela,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,M,25,25,False,8.0,4.0,1.0,,0.0,2.0,3.0,3.0,8.0,2.0,,,,63.0,26.0,6.7,9.0,0.0323079,0,,,1.0,1.0,2.0,6.0,3.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,3.0,1.0,,,,,3.0,,,,,,,
12514192,home,CF Estrela Amadora,André Luiz,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,7,7,False,23.0,15.0,2.0,,0.0,8.0,12.0,8.0,12.0,4.0,,,,63.0,41.0,7.4,15.0,0.054124,2,,André Luiz,2.0,2.0,4.0,5.0,2.0,1.0,2.0,,1.0,,,0.3361,,,,1.0,,1.0,1.0,,0.8343,1.0,1.0,5.0,1.0,,1.0,1.0,,,1.0,,,,
12514192,home,CF Estrela Amadora,Kikas,kikas,Kikas,F,98,176,231,M,869875,EUR,905990400,F,98,98,False,18.0,13.0,,,0.0,6.0,7.0,8.0,13.0,4.0,,,,90.0,29.0,6.8,7.0,0.110641,1,,,7.0,,7.0,1.0,,,2.0,,,,,0.0231,,,,1.0,,,1.0,,0.3725,2.0,1.0,1.0,,,,,,,,,,,
12514192,home,CF Estrela Amadora,Jovane Cabral,jovane-cabral,J. Cabral,F,11,176,1128,M,845802,EUR,897782400,F,97,97,False,11.0,10.0,,,0.0,1.0,1.0,10.0,13.0,,,,,45.0,30.0,7.1,7.0,0.103728,1,,,2.0,,6.0,7.0,,,1.0,,5.0,,2.0,0.013,,2.0,,,,5.0,2.0,,,3.0,1.0,2.0,,,,,,,,1.0,,,
12514192,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,True,22.0,17.0,3.0,3.0,0.0,8.0,11.0,9.0,11.0,5.0,,,,45.0,28.0,6.9,6.0,0.112016,0,,Paulo,,,4.0,3.0,2.0,,,,2.0,,2.0,,Moreira,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,
12514192,home,CF Estrela Amadora,Rodrigo Pinho,rodrigo-pinho,Rodrigo Pinho,F,9,185,213,M,801339,EUR,675561600,F,9,9,True,4.0,3.0,1.0,,0.0,2.0,2.0,1.0,2.0,,,,,45.0,11.0,7.2,3.0,0.00299323,1,,,1.0,1.0,4.0,3.0,,,,,,,3.0,0.313,,,,1.0,,,2.0,1.0,0.3634,,,2.0,,,,,,,1.0,,,,
