match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_aerialWon,stat_outfielderBlock,stat_aerialLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_bigChanceCreated,stat_onTargetScoringAttempt,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10408515,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,25.0,8.0,20.0,4.0,5.0,7.0,3.0,18.0,2.0,15.0,1.0,1.0,1.0,1.0,6.0,9.0,90.0,47.0,8.8,17.0,0.0,0.0,0.00536777,0,0.7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408515,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,43.0,39.0,5.0,3.0,23.0,25.0,16.0,20.0,5.0,6.0,3.0,3.0,1.0,,,,90.0,68.0,6.3,9.0,0.0,0.0,0.0140555,0,,2.0,7.0,4.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10408515,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,61.0,51.0,8.0,2.0,41.0,45.0,10.0,16.0,4.0,9.0,1.0,1.0,1.0,,,,90.0,74.0,7.0,14.0,0.0,0.0,0.0100335,0,,,1.0,1.0,,,,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10408515,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,39.0,32.0,11.0,7.0,21.0,22.0,11.0,17.0,5.0,6.0,2.0,,2.0,,,,66.0,50.0,6.8,9.0,0.0,0.0,0.00925096,0,,,4.0,,,,,2.0,,1.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10408515,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,40.0,25.0,6.0,1.0,16.0,17.0,11.0,31.0,4.0,6.0,1.0,1.0,,,,,90.0,67.0,6.7,26.0,0.0,0.0,0.0450569,0,,8.0,1.0,1.0,,,,2.0,1.0,3.0,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
10408515,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,12.0,8.0,2.0,1.0,4.0,4.0,4.0,9.0,3.0,4.0,1.0,1.0,2.0,,,,56.0,23.0,6.5,10.0,0.0569,0.0,0.0035314,2,,1.0,3.0,,1.0,1.0,,,,,,1.0,,3.0,1.0,,,,,,theo_bongonda,2.0,,,,,,,,,,
10408515,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,46.0,38.0,10.0,5.0,22.0,25.0,16.0,21.0,7.0,9.0,4.0,4.0,1.0,,,,69.0,63.0,7.3,14.0,0.0592,0.2627,0.152364,1,,,10.0,1.0,3.0,1.0,,,2.0,2.0,1.0,4.0,,2.0,1.0,,,3.0,,,,,1.0,1.0,,,,,,,,
10408515,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,False,49.0,40.0,10.0,6.0,23.0,26.0,17.0,25.0,4.0,9.0,2.0,,1.0,,,,90.0,57.0,6.8,13.0,0.0,0.0,0.0103307,0,,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,True,,,,,,,
10408515,home,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173,942,M,941405,EUR,930268800,M,14,14,False,18.0,12.0,1.0,,2.0,3.0,11.0,18.0,4.0,3.0,1.0,1.0,1.0,,,,69.0,36.0,6.8,14.0,0.04,0.1067,0.147335,1,,3.0,6.0,,3.0,2.0,2.0,,,,,1.0,,2.0,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,
10408515,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,F,7,7,False,10.0,10.0,,,5.0,5.0,5.0,5.0,1.0,,1.0,,,,,,90.0,16.0,6.3,2.0,0.2733,0.6313,0.00856102,1,,,5.0,1.0,,1.0,,,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,
