match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_dispossessed,stat_shotOffTarget,stat_lastManTackle,stat_fouls,stat_goals,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_penaltyConceded,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_errorLeadToAShot,stat_goodHighClaim,stat_hitWoodwork
11352588,home,Liverpool,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,62,62,False,53.0,41.0,20.0,9.0,35.0,37.0,6.0,16.0,1.0,8.0,3.0,5.0,90.0,66.0,7.6,13.0,0.00210778,0,0.5628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352588,home,Liverpool,Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,29.0,21.0,2.0,,8.0,10.0,13.0,20.0,2.0,5.0,,,61.0,52.0,7.2,11.0,0.0106393,1,,1.0,1.0,1.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0393,,,,,,,,,,,,,,,,,,,,,,,
11352588,home,Liverpool,Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10315,M,jarellquansah,1003339,EUR,1043798400,D,78,78,False,90.0,78.0,13.0,6.0,57.0,60.0,21.0,30.0,3.0,11.0,,,90.0,98.0,6.9,13.0,0.00683323,1,,,,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,,0.0238,1.0,1.0,0.1255,,,,,,,,,,,,,,,,,,,,
11352588,home,Liverpool,Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,79.0,77.0,7.0,6.0,53.0,53.0,24.0,26.0,2.0,5.0,,,90.0,92.0,7.6,3.0,0.00883791,1,,,,1.0,3.0,5.0,1.0,,,,4.0,4.0,3.0,,,0.0142,,,,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
11352588,home,Liverpool,Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14125,M,joegomez5,318927,EUR,864345600,D,2,2,False,46.0,38.0,6.0,3.0,21.0,23.0,17.0,24.0,1.0,7.0,,,90.0,67.0,6.8,13.0,0.0277042,1,,1.0,,,5.0,4.0,5.0,1.0,1.0,,1.0,3.0,3.0,2.0,,0.0358,1.0,,,,,,,,,,,,,,,,,,,,,,
11352588,home,Liverpool,Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,64.0,52.0,5.0,1.0,24.0,27.0,28.0,37.0,,11.0,,,90.0,86.0,7.8,15.0,0.0267751,4,,,1.0,,6.0,8.0,2.0,1.0,1.0,,1.0,4.0,2.0,,3.0,1.0108,1.0,2.0,1.3451,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
11352588,home,Liverpool,Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19869,M,endowataru,143040,EUR,729216000,M,3,3,False,62.0,59.0,,,35.0,36.0,24.0,26.0,2.0,6.0,,,90.0,72.0,7.2,4.0,0.0693145,0,,,,2.0,1.0,6.0,,,,,2.0,4.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
11352588,home,Liverpool,Dominik Szoboszlai,,,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,27.0,18.0,1.0,,6.0,8.0,12.0,19.0,,5.0,,,61.0,37.0,7.0,9.0,0.0710407,3,,,,,,2.0,,,,,,,,,2.0,0.2291,,1.0,0.2355,,,2.0,,,,1.0,,,,,,,,,,,,,
11352588,home,Liverpool,Harvey Elliott,,,harvey-elliott,H. Elliott,M,9,170,21132,M,harvelliott,955245,EUR,1049414400,F,19,19,False,42.0,33.0,4.0,1.0,11.0,12.0,24.0,34.0,,4.0,,,90.0,58.0,6.8,15.0,0.163754,1,,4.0,,,3.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,0.0833,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,
11352588,home,Liverpool,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,9,9,False,18.0,12.0,1.0,1.0,1.0,1.0,11.0,17.0,1.0,1.0,,,76.0,23.0,7.0,6.0,0.132789,2,,,2.0,5.0,2.0,6.0,,,,,,,,,1.0,0.4556,,1.0,0.259,,,1.0,,,,,,1.0,1.0,5.0,,,,,,,,,
