match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_challengeLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_firstName,stat_dispossessed,stat_blockedScoringAttempt,player_lastName,stat_accurateCross,stat_bigChanceMissed,captain,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_totalOffside,stat_errorLeadToAShot,stat_hitWoodwork
12436528,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4212,M,994363,EUR,1029628800,G,1,1,False,38.0,29.0,13.0,5.0,0.0,28.0,30.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,90.0,48.0,6.9,9.0,0.00010661,0,-0.6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,219572,EUR,695433600,D,34,34,False,25.0,19.0,1.0,,0.0,12.0,13.0,7.0,13.0,1.0,6.0,1.0,1.0,3.0,4.0,,,,90.0,39.0,7.0,9.0,0.0023209,0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,3186,M,962012,EUR,960422400,D,29,29,False,74.0,65.0,10.0,7.0,0.0,39.0,41.0,26.0,33.0,3.0,5.0,,,8.0,3.0,,,,90.0,85.0,7.2,9.0,0.018545,0,,,2.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Igor Júlio,igor-julio,I. Júlio,D,3,185,1338,M,842513,EUR,886809600,D,3,3,False,79.0,75.0,4.0,3.0,0.0,50.0,52.0,25.0,27.0,,,,,,4.0,,,,66.0,84.0,7.0,4.0,0.0123943,0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14887,M,805465,EUR,885340800,D,30,30,False,40.0,35.0,1.0,,0.0,17.0,19.0,18.0,23.0,2.0,7.0,4.0,2.0,1.0,2.0,,,,90.0,60.0,6.8,14.0,0.00886663,1,,2.0,1.0,6.0,,,3.0,3.0,,3.0,,,pervisestupinan,1.0,1.0,2.0,0.012,0.1032,,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,20,20,False,32.0,30.0,2.0,1.0,0.0,22.0,22.0,8.0,10.0,,2.0,2.0,1.0,2.0,6.0,,,,90.0,48.0,6.6,5.0,0.0137933,1,,,2.0,8.0,,1.0,1.0,1.0,,3.0,,,carlos_baleba,2.0,,2.0,0.0363,,1.0,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Yasin Ayari,yasin-ayari,Y. Ayari,M,26,172,2693,M,1036269,EUR,1065398400,M,26,26,False,41.0,35.0,1.0,,0.0,21.0,22.0,14.0,19.0,,4.0,2.0,2.0,1.0,9.0,,,,90.0,53.0,7.1,7.0,0.00610645,1,,,,3.0,,2.0,2.0,2.0,,1.0,1.0,,,2.0,,1.0,0.0385,,1.0,,,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2810,M,1198075,EUR,1085961600,M,8,8,False,11.0,9.0,1.0,,0.0,2.0,4.0,7.0,7.0,,,2.0,,,3.0,,,,45.0,24.0,6.1,8.0,0.01846,1,,,1.0,9.0,,1.0,,,,1.0,,,,2.0,1.0,1.0,0.1633,0.7674,,Brajan Gruda,3.0,,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Matt O'Riley,matt-oriley,M. O'Riley,M,33,187,5045,M,891829,EUR,974764800,M,33,33,False,12.0,10.0,2.0,1.0,0.0,6.0,7.0,4.0,7.0,1.0,1.0,,,1.0,,,,,45.0,21.0,6.7,5.0,0.0901202,1,,2.0,,3.0,1.0,,,,,3.0,1.0,1.0,,,,1.0,0.0146,,,,,1.0,,,,,,,,,,,,,
12436528,home,Brighton & Hove Albion,Simon Adingra,simon-adingra,S. Adingra,M,24,175,53010,M,1110842,EUR,1009843200,M,11,11,False,17.0,14.0,1.0,,0.0,2.0,3.0,13.0,16.0,1.0,1.0,1.0,,,1.0,,,,62.0,25.0,6.3,5.0,0.199293,3,,2.0,,2.0,,,,,,1.0,1.0,,simon.adingra,,,,0.3367,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,
