match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,isHome,incidentClass,player_id,player_name,injury,from,confirmed,playerName,reason,rescinded
14771924,FT,0.0,4.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
14771924,,,,,90,0.0,,1,,,injuryTime,2.0,,,,,,,,,,,
14771924,,0.0,4.0,,84,,,7,,,goal,,334475785.0,False,regular,818779.0,Saleh Al-Shehri,,,,,,
14771924,,,,,80,,,11,,,substitution,,125320329.0,False,regular,,,False,,,,,
14771924,,,,,80,,,11,,,substitution,,125320328.0,False,regular,,,False,,,,,
14771924,,,,,72,,,19,,,substitution,,125320293.0,True,regular,,,False,,,,,
14771924,,,,,70,,,21,,,substitution,,125320286.0,False,regular,,,False,,,,,
14771924,,,,,69,,,22,,,substitution,,125320287.0,False,regular,,,False,,,,,
14771924,,,,,69,,,22,,,substitution,,125320284.0,False,regular,,,False,,,,,
14771924,,,,,60,,,31,,,substitution,,125320266.0,True,regular,,,False,,,,,
14771924,,,,,60,,,31,,,substitution,,125320265.0,True,regular,,,False,,,,,
14771924,,,,,46,,,45,,,substitution,,125320208.0,True,regular,,,False,,,,,
14771924,,,,,46,,,45,,,substitution,,125320207.0,True,regular,,,False,,,,,
14771924,HT,0.0,3.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
14771924,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
14771924,,0.0,3.0,,35,,,11,,,goal,,334467773.0,False,regular,3306.0,Karim Benzema,,,,,,
14771924,,0.0,2.0,,28,,,18,,,goal,,334467013.0,False,regular,3306.0,Karim Benzema,,,,,,
14771924,,0.0,1.0,,13,,,33,,,goal,,334465826.0,False,penalty,3306.0,Karim Benzema,,penalty,,,,
14771924,,,,,10,,,36,,,varDecision,,93577.0,False,penaltyNotAwarded,855817.0,Moussa Diaby,,,False,,,
14771924,,,,,8,,,38,,,card,,124499542.0,True,red,338991.0,William Troost-Ekong,,,,William Troost-Ekong,Professional foul last man,False
14771924,,,,,7,,,39,,,varDecision,,93576.0,True,cardUpgrade,338991.0,William Troost-Ekong,,,False,,,
