match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_keyPass,stat_fouls,captain,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_lastManTackle
12436978,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,13.0,7.0,9.0,3.0,0.0,5.0,5.0,2.0,8.0,1.0,13.0,3.0,1.0,2.0,1.0,1.0,90.0,31.0,6.6,7.0,0.00038856,0,0.4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436978,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4840,M,,980634,EUR,1037059200,D,21,21,False,39.0,34.0,,,0.0,20.0,21.0,14.0,19.0,5.0,4.0,,,,,,90.0,59.0,6.3,11.0,0.00355515,0,,1.0,2.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12436978,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,53.0,40.0,12.0,4.0,0.0,26.0,28.0,14.0,25.0,1.0,3.0,,,,,,90.0,60.0,7.2,13.0,0.00710542,1,,,,,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2967,0.857,,,,,,,,,,,,,
12436978,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,34.0,28.0,3.0,1.0,0.0,23.0,25.0,5.0,9.0,4.0,3.0,,,,,,90.0,42.0,6.5,6.0,0.00585242,0,,,2.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
12436978,home,Newcastle United,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4167,M,lewishall_10,1136730,EUR,1094601600,D,20,20,False,40.0,31.0,4.0,3.0,0.0,14.0,18.0,17.0,25.0,3.0,4.0,,,,,,90.0,67.0,7.1,15.0,0.0487605,1,,3.0,,2.0,4.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,0.0341,,1.0,2.0,,,,,,,,,,,
12436978,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,40.0,33.0,2.0,,0.0,23.0,25.0,10.0,17.0,1.0,4.0,,,,,,87.0,54.0,6.7,10.0,0.00778953,1,,2.0,1.0,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,0.0855,0.3662,,,3.0,,,,,,,,,,
12436978,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,26.0,22.0,1.0,1.0,2.0,12.0,13.0,11.0,14.0,,1.0,,,,,,90.0,44.0,7.6,10.0,0.0304468,1,,1.0,,7.0,7.0,1.0,3.0,2.0,,,4.0,3.0,,,1.0,,,3.0,0.1877,0.4914,,2.0,1.0,True,1.0,1.0,1.0,,,,,,
12436978,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,35.0,31.0,1.0,1.0,0.0,14.0,15.0,17.0,20.0,,10.0,,,,,,88.0,48.0,7.0,6.0,0.120976,3,,,1.0,4.0,8.0,,1.0,1.0,1.0,,1.0,,,4.0,,,1.0,2.0,0.1437,,1.0,,2.0,,,,1.0,2.0,,,,,
12436978,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,11.0,7.0,,,0.0,3.0,6.0,5.0,8.0,,4.0,,,,,,74.0,29.0,6.4,12.0,0.0990915,3,,3.0,1.0,4.0,1.0,,2.0,1.0,,,,,,1.0,,,1.0,,0.4499,,3.0,1.0,,,1.0,,2.0,,1.0,1.0,,,
12436978,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,25.0,19.0,1.0,1.0,1.0,6.0,6.0,13.0,21.0,,2.0,,,,,,90.0,48.0,8.3,17.0,0.356357,2,,2.0,1.0,10.0,6.0,1.0,1.0,9.0,5.0,,,,2.0,1.0,1.0,1.0,,,0.1203,0.2628,1.0,5.0,3.0,,,1.0,3.0,,,,1.0,,
