match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_outfielderBlock,stat_bigChanceCreated,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_errorLeadToAShot,stat_goalAssist,stat_goals,stat_totalOffside
11805785,home,Horsham,Lewis Carey,Lewis,Carey,lewis-carey,L. Carey,G,1,183.0,3,M,240760,EUR,738979200.0,G,1,1,False,39.0,24.0,31.0,16.0,18.0,21.0,6.0,18.0,2.0,10.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,49.0,6.3,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11805785,home,Horsham,Bobby Price,Bobby,Price,bobby-price,B. Price,D,2,,1,M,1002286,EUR,820454400.0,D,2,2,False,43.0,28.0,12.0,3.0,14.0,19.0,15.0,27.0,1.0,5.0,,,,,,,77.0,64.0,6.1,20.0,1,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11805785,home,Horsham,Jack Strange,Jack Strange,,jack-strange,J. Strange,D,5,,6,M,1591228,EUR,878601600.0,D,5,5,False,68.0,50.0,7.0,3.0,36.0,45.0,14.0,23.0,5.0,8.0,,,,,,,90.0,80.0,6.5,19.0,0,,,2.0,3.0,10.0,,2.0,2.0,,,,,,6.0,1.0,1.0,2.0,,,,,,,,,,,
11805785,home,Horsham,Jack Brivio,Jack Brivio,,jack-brivio,J. Brivio,M,15,178.0,6,M,1152861,EUR,715996800.0,D,18,18,False,71.0,53.0,15.0,9.0,42.0,50.0,11.0,21.0,4.0,9.0,,,,,,,90.0,83.0,7.1,18.0,0,,,1.0,1.0,10.0,,2.0,2.0,,1.0,2.0,1.0,1.0,6.0,,,,True,1.0,,,,,,,,,
11805785,home,Horsham,Harvey Sparks,Harvey Sparks,,harvey-sparks,H. Sparks,D,3,176.0,3,M,1155927,EUR,846201600.0,D,3,3,False,41.0,28.0,11.0,1.0,21.0,26.0,10.0,19.0,2.0,4.0,,,,,,,90.0,70.0,6.1,15.0,1,4.0,3.0,3.0,4.0,3.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,
11805785,home,Horsham,Lee Harding,Lee Harding,,lee-harding,L. Harding,M,20,182.0,7,M,1155941,EUR,834883200.0,M,23,23,False,23.0,17.0,1.0,1.0,10.0,12.0,8.0,16.0,3.0,4.0,,,,,,,90.0,48.0,6.3,19.0,1,5.0,1.0,4.0,10.0,4.0,4.0,4.0,2.0,1.0,,,,1.0,2.0,,2.0,,,,1.0,,,,,,,,
11805785,home,Horsham,James Hammond,James Hammond,,james-hammond,J. Hammond,M,7,174.0,7,M,1088153,EUR,858902400.0,M,20,20,False,37.0,27.0,6.0,2.0,11.0,13.0,16.0,25.0,1.0,7.0,,,,,,,77.0,47.0,6.9,11.0,0,1.0,,1.0,3.0,6.0,,1.0,1.0,,1.0,3.0,3.0,2.0,,1.0,,2.0,,,,1.0,,,,,,,
11805785,home,Horsham,Danny Barker,Danny,Barker,barker-danny,D. Barker,D,4,,4,M,920551,EUR,921024000.0,M,6,6,False,19.0,13.0,6.0,3.0,6.0,8.0,7.0,11.0,1.0,4.0,,,,,,,45.0,25.0,6.1,8.0,0,,,1.0,5.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,
11805785,home,Horsham,Lucas Rodrigues,Lucas,Rodrigues,lucas-rodrigues,L. Rodrigues,M,17,,8,M,858960,EUR,891388800.0,M,7,7,False,10.0,6.0,2.0,,,1.0,7.0,11.0,,5.0,,,,,,,77.0,34.0,6.4,15.0,1,2.0,1.0,3.0,11.0,7.0,3.0,3.0,2.0,,1.0,2.0,1.0,1.0,1.0,,6.0,2.0,,,,4.0,1.0,1.0,,,,,
11805785,home,Horsham,Daniel Ajakaiye,,,daniel-ajakaiye,D. Ajakaiye,F,,170.0,7,M,827144,EUR,852940800.0,F,10,10,False,12.0,8.0,,,5.0,7.0,3.0,5.0,,2.0,,,,,,,90.0,28.0,6.7,9.0,3,,,2.0,5.0,6.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,2.0,,,,
