match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_goals,stat_interceptionWon,stat_goalAssist,stat_totalOffside,player_firstName,player_lastName
11369420,home,Barcelona,Iñaki Peña,inaki-pena,I. Peña,G,13,185,45964,M,inakipenya,794949,EUR,920332800,G,13,13,False,20.0,15.0,7.0,2.0,15.0,20.0,1.0,3.0,2.0,3.0,90.0,26.0,6.2,5.0,4.424e-05,0,-0.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369420,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180,147044,M,JKoundé,827212,EUR,910828800,D,23,23,False,45.0,39.0,3.0,3.0,16.0,19.0,3.0,3.0,,,90.0,70.0,6.5,10.0,0.231164,1,,24.0,30.0,4.0,1.0,1.0,2.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0299,2.0,,,,,,,,,,,,,,,
11369420,home,Barcelona,Ronald Araújo,ronald-araujo,R. Araújo,D,4,191,137257,M,RAraújo,925097,EUR,920764800,D,4,4,False,56.0,48.0,5.0,1.0,31.0,37.0,2.0,4.0,,,90.0,64.0,6.2,9.0,0.0237982,0,,17.0,19.0,,,3.0,2.0,4.0,3.0,,,,,,,,,,,True,1.0,2.0,1.0,,,,,,,,,,,
11369420,home,Barcelona,Andreas Christensen,andreas-christensen,A. Christensen,D,15,188,56340,M,andreaschristensen3,186795,EUR,829094400,D,15,15,False,49.0,49.0,1.0,1.0,24.0,24.0,1.0,5.0,,,65.0,53.0,6.6,,0.0241324,0,,25.0,25.0,,,,2.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11369420,home,Barcelona,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,2,2,False,45.0,40.0,5.0,3.0,16.0,17.0,1.0,4.0,,,90.0,75.0,7.2,11.0,0.751611,1,,26.0,34.0,6.0,2.0,,2.0,4.0,11.0,1.0,4.0,4.0,1.0,,4.0,3.0,2.0,0.2431,4.0,,1.0,,1.0,1.0,1.0,1.0,0.5578,,,,,,,
11369420,home,Barcelona,Pedri,pedri,Pedri,M,8,174,636700,M,Pedri,992587,EUR,1038182400,M,8,8,False,47.0,41.0,,,11.0,14.0,,5.0,,,80.0,53.0,7.5,8.0,0.89255,0,,31.0,34.0,1.0,1.0,,,3.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,5.0,,1.0,,,,,,,,,,,,,
11369420,home,Barcelona,Frenkie de Jong,frenkie-de-jong,F. de Jong,M,21,180,192664,M,Frenkie,795222,EUR,863395200,M,21,21,False,79.0,72.0,4.0,3.0,23.0,24.0,1.0,8.0,,,90.0,93.0,7.5,11.0,0.382467,1,,51.0,60.0,5.0,2.0,,2.0,3.0,6.0,2.0,1.0,1.0,,,2.0,1.0,,0.0336,2.0,,1.0,,1.0,,1.0,,0.1633,,,,,,,
11369420,home,Barcelona,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,22,22,False,81.0,72.0,3.0,3.0,32.0,34.0,,11.0,,,90.0,99.0,8.4,12.0,0.27526,8,,42.0,50.0,3.0,2.0,,2.0,1.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,,0.9343,5.0,,,,,1.0,3.0,2.0,0.7057,3.0,1.0,1.0,,,,
11369420,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,878494,M,Raphinha,831005,EUR,850521600,F,11,11,False,25.0,22.0,1.0,1.0,5.0,5.0,1.0,4.0,,,65.0,49.0,7.7,10.0,0.177302,8,,18.0,24.0,4.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,,,1.0,,,1.0579,1.0,,1.0,,,2.0,4.0,2.0,1.532,4.0,,,1.0,,,
11369420,home,Barcelona,Robert Lewandowski,robert-lewandowski,R. Lewandowski,F,9,186,575097,M,Lewa,41789,EUR,588124800,F,9,9,False,14.0,12.0,,,1.0,1.0,1.0,2.0,,,90.0,34.0,7.0,12.0,0.180928,6,,11.0,13.0,,,,4.0,5.0,6.0,1.0,2.0,,,2.0,,,1.0,1.0113,1.0,,1.0,,2.0,2.0,2.0,7.0,0.5261,2.0,1.0,,,,,
