match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_hitWoodwork,captain,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
12436995,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,26.0,16.0,17.0,7.0,0.0,11.0,12.0,5.0,14.0,1.0,11.0,1.0,5.0,7.0,90.0,45.0,7.8,11.0,0.00405021,0,0.4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436995,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53635,M,nousmaz97,847030,EUR,879465600,D,3,3,False,47.0,38.0,8.0,3.0,0.0,24.0,28.0,14.0,20.0,3.0,9.0,,,,90.0,65.0,6.3,10.0,0.0101854,0,,1.0,1.0,4.0,5.0,2.0,1.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12436995,home,Manchester United,Matthijs de Ligt,,,matthijs-de-ligt,M. de Ligt,D,4,188,32684,M,mdeligt,803031,EUR,934416000,D,4,4,False,36.0,29.0,4.0,1.0,0.0,24.0,28.0,5.0,9.0,1.0,2.0,,,,90.0,49.0,6.7,8.0,0.00654108,1,,1.0,,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,0.17,,,,,,,,,,,,,,,,,
12436995,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51689,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,46.0,41.0,9.0,5.0,0.0,30.0,31.0,11.0,16.0,4.0,6.0,,,,90.0,66.0,7.2,7.0,0.0267975,4,,1.0,1.0,5.0,3.0,1.0,7.0,,,2.0,2.0,1.0,,1.0,0.2356,1.0,1.0,2.0,0.0573,1.0,,,,,,,,,,,,
12436995,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,47.0,35.0,9.0,4.0,0.0,18.0,25.0,17.0,22.0,2.0,7.0,,,,90.0,60.0,6.6,14.0,0.0182836,0,,,,1.0,4.0,,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
12436995,home,Manchester United,Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,53174,M,KobbieM,1142175,EUR,1113868800,M,37,37,False,17.0,13.0,1.0,1.0,0.0,9.0,11.0,4.0,6.0,1.0,1.0,,,,45.0,25.0,7.0,4.0,0.0971237,0,,,,,2.0,,,2.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
12436995,home,Manchester United,Manuel Ugarte,,,manuel-ugarte,M. Ugarte,M,25,182,19122,M,ugartemanu,846425,EUR,986947200,M,25,25,False,25.0,23.0,,,0.0,14.0,16.0,9.0,9.0,3.0,3.0,,,,72.0,37.0,6.7,3.0,0.00382991,0,,,,3.0,6.0,,,4.0,2.0,3.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,
12436995,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,17,17,False,29.0,22.0,3.0,2.0,0.0,7.0,9.0,16.0,24.0,,2.0,,,,90.0,50.0,6.6,19.0,0.0699714,3,,4.0,1.0,6.0,3.0,,1.0,1.0,1.0,,,1.0,,1.0,0.1355,5.0,,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,
12436995,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,23.0,18.0,4.0,4.0,0.0,8.0,11.0,10.0,13.0,,1.0,,,,42.0,29.0,5.7,7.0,0.0221026,0,,1.0,,3.0,,1.0,2.0,,,2.0,,,,,,,,,,,1.0,,,,,True,,,,,,
12436995,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,M,10,10,False,20.0,14.0,1.0,,0.0,6.0,8.0,10.0,15.0,1.0,1.0,,,,73.0,32.0,6.8,9.0,0.0458898,0,,3.0,,1.0,5.0,1.0,1.0,2.0,1.0,,,,,2.0,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,
