match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_blockedScoringAttempt,stat_accurateCross,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,stat_hitWoodwork,captain,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10583941,home,Al Batin,Meshaal Huriss,Meshaal Huriss,,meshaal-huriss,M. Huriss,G,1,185.0,2,M,1085983,EUR,846892800.0,G,22,22,False,20.0,10.0,18.0,8.0,3.0,4.0,7.0,16.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,25.0,6.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Bader Alhwidy Alshammary,Bader Alhwidy Alshammary,,bader-alhwidy-alshammary,B. A. Alshammary,D,29,,2,M,1085356,EUR,,D,29,29,False,25.0,20.0,3.0,1.0,12.0,13.0,8.0,14.0,2.0,3.0,,7.0,1.0,,,90.0,41.0,6.3,11.0,0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Mohammed Naji,Mohammed,Naji,mohammed-naji,M. Naji,D,4,170.0,4,M,893173,EUR,751939200.0,D,3,3,False,31.0,22.0,16.0,8.0,14.0,16.0,8.0,15.0,4.0,5.0,1.0,6.0,1.0,,,90.0,48.0,6.7,12.0,0,,1.0,2.0,2.0,2.0,,1.0,,1.0,1.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Maurício Antônio,,,mauricio-antonio,M. Antônio,D,13,183.0,71,M,583824,EUR,697334400.0,D,4,4,False,31.0,25.0,13.0,7.0,18.0,19.0,7.0,12.0,,2.0,,7.0,,,,90.0,45.0,7.0,6.0,0,,,5.0,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Othman Awad,Othman Awad,,othman-awad,O. Awad,M,80,166.0,2,M,1190921,EUR,1057104000.0,D,14,14,False,19.0,15.0,2.0,,13.0,14.0,2.0,5.0,4.0,3.0,1.0,4.0,1.0,,,71.0,31.0,6.0,7.0,0,,,1.0,2.0,2.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Mohammed Al-Shammari,Mohammed Al-Shammari,,mohammed-alshammari,M. Alshammari,M,10,162.0,7,M,1092808,EUR,953510400.0,M,18,18,False,15.0,11.0,3.0,1.0,6.0,6.0,5.0,9.0,3.0,4.0,1.0,4.0,1.0,,,90.0,27.0,6.4,6.0,1,,,1.0,2.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Tariq Al Mutairi,Tariq Al Mutairi,,tariq-al-mutairi,T. A. Mutairi,M,20,172.0,3,M,1168579,EUR,988243200.0,M,20,20,False,23.0,17.0,5.0,3.0,11.0,14.0,6.0,9.0,4.0,3.0,1.0,2.0,,,,65.0,29.0,6.5,8.0,1,,1.0,,,,,2.0,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Rakan Shamlan,,,rakan-shamlan,R. Shamlan,M,70,175.0,13,M,948599,EUR,900374400.0,M,70,70,False,33.0,28.0,5.0,4.0,13.0,14.0,16.0,21.0,6.0,6.0,1.0,5.0,2.0,,,90.0,51.0,7.4,12.0,2,2.0,2.0,,1.0,,1.0,,,3.0,,5.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10583941,home,Al Batin,Yousef Fawaz,Yousef Fawaz,,yousef-fawaz,Y. Fawaz,M,77,173.0,9,M,1214204,EUR,1013644800.0,F,77,77,False,18.0,15.0,,,8.0,9.0,7.0,12.0,6.0,3.0,2.0,6.0,2.0,,,90.0,34.0,6.6,11.0,1,3.0,,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,
10583941,home,Al Batin,Yousef Al-Shammari,,,yousef-al-shammari,Y. Al-Shammari,F,7,170.0,52,M,917232,EUR,881625600.0,F,7,7,False,15.0,12.0,1.0,1.0,5.0,6.0,7.0,9.0,5.0,4.0,,,2.0,,,90.0,32.0,6.9,9.0,2,,,2.0,1.0,1.0,4.0,1.0,2.0,,1.0,2.0,,,,1.0,,2.0,,,1.0,,True,1.0,,,,,,,,
10583941,home,Al Batin,Abdulrahman Saad Al Dhafiri,Abdulrahman Saad,,abdulrahman-saad-al-dhafiri,A. S. A. Dhafiri,F,15,,2,M,1134413,EUR,,F,19,19,False,14.0,12.0,1.0,,8.0,8.0,4.0,7.0,7.0,1.0,,5.0,,,,89.0,25.0,6.4,7.0,0,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,
10583941,home,Al Batin,Turki Al-Dhafiri,Turki Al-Dhafiri,,turki-al-dhafiri,T. Al-Dhafiri,M,37,,0,M,1104953,EUR,,M,37,37,True,5.0,3.0,,,2.0,3.0,1.0,3.0,1.0,,1.0,2.0,,,,25.0,9.0,6.2,4.0,0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Abdul Al-Jumaili,Abdul Al Jumaili,,abdul-al-jumaili,A. Al-Jumaili,F,23,170.0,1,M,1445993,EUR,1061510400.0,M,45,45,True,,,,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Falah Al-Shamri,Falah Al-Shamri,,falah-al-shamri,F. Al-Shamri,G,1,180.0,7,M,1914733,EUR,1132272000.0,G,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Ibrahim Jamal,,,ibrahim-jamal,I. Jamal,D,5,180.0,7,M,1184652,EUR,1030752000.0,D,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Ali Al-Shammari,Ali Al-Shammari,,ali-al-shammari,A. Al-Shammari,D,43,,0,M,1399521,EUR,,D,43,43,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Abdulsalam Ibrahim,Abdulsalam Ibrahim,,abdulsalam-ibrahim,A. Ibrahim,M,44,,1,M,1399522,EUR,,M,44,44,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Omar Al Shammari,Omar Al Shammari,,omar-al-shammari,O. A. Shammari,M,46,,1,M,1445994,EUR,1104278400.0,M,46,46,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Abdulah Mohamed,Abdulah Mohamed,,abdulah-mohamed,A. Mohamed,F,40,,1,M,1399511,EUR,,F,40,40,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,home,Al Batin,Mohamed Tayseer,Mohamed Tayseer,,mohamed-tayseer,M. Tayseer,F,41,169.0,1,M,1404264,EUR,1047168000.0,F,41,41,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583941,away,Abha,Devis Epassy,,,devis-epassy,D. Epassy,G,1,187.0,1481,M,362758,EUR,728611200.0,G,16,16,False,18.0,15.0,4.0,1.0,15.0,15.0,,3.0,1.0,1.0,1.0,11.0,,,,90.0,29.0,6.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,
