match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_challengeLost,stat_totalContest,stat_bigChanceMissed,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
12514200,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,22.0,16.0,11.0,5.0,0.0,14.0,17.0,2.0,5.0,2.0,5.0,1.0,2.0,90.0,29.0,7.0,6.0,0.00034099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514200,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,56.0,45.0,4.0,1.0,0.0,13.0,16.0,33.0,47.0,2.0,3.0,,,90.0,92.0,7.5,22.0,0.0639386,2,Dinis Pinto,,7.0,1.0,3.0,4.0,4.0,8.0,2.0,2.0,1.0,1.0,2.0,1.0,0.046,1.0,,,,,,,,,,,,,,,,
12514200,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,59.0,51.0,7.0,4.0,0.0,39.0,43.0,12.0,16.0,7.0,5.0,,,90.0,72.0,7.5,8.0,0.00333378,1,,,,,4.0,4.0,5.0,6.0,,1.0,1.0,,1.0,1.0,0.0228,1.0,True,1.0,1.0,0.0642,,,,,,,,,,,,
12514200,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,53.0,43.0,7.0,2.0,0.0,33.0,39.0,10.0,14.0,3.0,1.0,,,90.0,65.0,7.0,13.0,0.00347748,0,,,,,1.0,4.0,2.0,5.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
12514200,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,False,30.0,21.0,7.0,2.0,0.0,7.0,10.0,14.0,24.0,2.0,2.0,,,90.0,55.0,7.0,15.0,0.021612,0,,,4.0,,1.0,2.0,6.0,2.0,,,,,,4.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,
12514200,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,False,64.0,53.0,3.0,,0.0,15.0,18.0,38.0,48.0,1.0,5.0,,,90.0,82.0,6.9,16.0,0.0291659,1,,,2.0,,4.0,,7.0,5.0,1.0,4.0,3.0,3.0,1.0,3.0,0.2503,,,,2.0,,,,,1.0,,,,,,,,
12514200,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,63.0,57.0,4.0,3.0,0.0,21.0,21.0,36.0,43.0,,6.0,,,67.0,75.0,7.1,12.0,0.0627469,0,,,1.0,,1.0,,6.0,3.0,,2.0,2.0,2.0,,1.0,,2.0,,,1.0,,,1.0,1.0,,3.0,1.0,,,,,,
12514200,home,Moreirense,Madson de Souza Silva,madson-de-souza-silva,M. d. S. Silva,M,9,164,238,M,937555,EUR,935625600,M,31,31,False,29.0,22.0,,,0.0,4.0,5.0,19.0,29.0,2.0,3.0,,,67.0,49.0,6.9,17.0,0.181096,1,,,5.0,1.0,1.0,1.0,9.0,6.0,,2.0,2.0,2.0,2.0,2.0,0.0167,1.0,,,,,,3.0,4.0,,,1.0,1.0,1.0,1.0,,,
12514200,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,41.0,36.0,4.0,4.0,0.0,9.0,11.0,27.0,34.0,,7.0,,,89.0,64.0,7.8,14.0,0.099955,3,,,4.0,,1.0,,5.0,7.0,1.0,3.0,1.0,1.0,4.0,,0.1029,3.0,,2.0,1.0,0.3923,,,1.0,,3.0,,,,,,,
12514200,home,Moreirense,Gabrielzinho,gabrielzinho,Gabrielzinho,M,30,171,484,M,870188,EUR,843955200,M,77,77,False,15.0,13.0,,,0.0,1.0,1.0,12.0,15.0,,2.0,,,73.0,23.0,6.8,7.0,0.036016,1,,,1.0,,1.0,1.0,4.0,1.0,,,,1.0,,,0.0321,1.0,,1.0,,0.0649,,,1.0,,2.0,,,,,,,
