match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_sofascoreId,stat_unsuccessfulTouch,captain,stat_wasFouled,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_blockedScoringAttempt
14566966,home,Pafos FC,Neofytos Michael,,,neofytos-michael,N. Michael,G,93,190,301,M,801918,EUR,756000000,G,93,93,False,34.0,20.0,16.0,3.0,0.0,19.0,20.0,1.0,14.0,3.0,9.0,4.0,5.0,2.0,90.0,48.0,7.7,14.0,0.00032883,20.844,5.7174,0.0,0.5189,0,0.6685,0.01,0.03,0.3,0.43,3.68,1.9,0.11,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566966,home,Pafos FC,Bruno,,,bruno,Bruno,D,7,179,665,M,800106,EUR,769910400,D,7,7,False,32.0,23.0,4.0,1.0,0.0,16.0,22.0,7.0,10.0,3.0,8.0,,,,90.0,55.0,6.7,13.0,0.00311437,29.988,10.50742,12.0,,0,,-0.09,0.08,-0.08,,2.96,5.25,1.43,0.62,0.24,2.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14566966,home,Pafos FC,Derrick Luckassen,,,derrick-luckassen,D. Luckassen,D,23,186,348,M,363782,EUR,804729600,D,23,23,False,46.0,33.0,12.0,2.0,0.0,23.0,28.0,10.0,18.0,12.0,1.0,,,,90.0,66.0,7.9,13.0,0.00296891,28.836,9.3972,6.0,,2,,0.02,0.06,0.42,,3.07,4.83,1.0,0.37,0.13,,2.0,4.0,3.0,1.0,,,,,,2.0,3.0,1.0,1.0,1.0,2.0,3.0,0.6605,0.7745,0.48,,,,,,,,,,,,,
14566966,home,Pafos FC,David Luiz,,,david-luiz,D. Luiz,D,4,189,22748,M,21300,EUR,546048000,D,4,4,False,46.0,36.0,11.0,3.0,0.0,31.0,32.0,5.0,14.0,4.0,3.0,,,,90.0,58.0,6.8,12.0,0.00091624,27.036,9.15117,3.0,,0,,0.04,0.05,0.31,,3.06,4.88,0.91,0.25,0.06,,2.0,5.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,davidluiz23,1.0,,,,,,,,,,,
14566966,home,Pafos FC,David Goldar,,,david-goldar,D. Goldar,D,5,180,125,M,546180,EUR,779587200,D,5,5,False,38.0,33.0,5.0,3.0,0.0,22.0,26.0,11.0,12.0,6.0,3.0,,,,90.0,56.0,7.2,6.0,0.00286634,27.576,9.58414,4.0,,0,,0.08,0.03,0.23,,2.91,5.18,1.14,0.28,0.08,,4.0,5.0,6.0,1.0,,,,1.0,,,3.0,,,,,1.0,,,,,,True,2.0,,,,,,,,,
14566966,home,Pafos FC,Ken Sema,,,ken-sema,K. Sema,M,12,177,578,M,319847,EUR,749347200,D,12,12,False,21.0,16.0,,,1.0,8.0,9.0,8.0,12.0,4.0,2.0,,,,72.0,44.0,7.3,13.0,0.343345,29.7,7.57537,8.0,,0,,0.42,-0.1,0.26,,2.16,3.75,0.99,0.47,0.2,3.0,1.0,9.0,5.0,1.0,3.0,3.0,1.0,3.0,,2.0,1.0,,,,,,,,,,1.0,,,2.0,1.0,2.0,,,,,,
14566966,home,Pafos FC,Mislav Oršić,,,mislav-orsic,M. Oršić,M,17,178,6128,M,88645,EUR,725587200,M,17,17,False,32.0,24.0,3.0,,0.0,12.0,16.0,12.0,16.0,1.0,5.0,,,,78.0,41.0,6.7,13.0,0.00698807,31.032,8.4823,8.0,,0,,0.05,0.11,-0.03,,2.53,4.0,1.22,0.53,0.2,3.0,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,orsic99,1.0,,1.0,,,,,,,,,
14566966,home,Pafos FC,Ivan Šunjić,,,ivan-sunjic,I. Šunjić,M,26,185,1159,M,283833,EUR,844819200,M,26,26,False,31.0,26.0,1.0,,0.0,18.0,18.0,8.0,13.0,3.0,4.0,,,,90.0,47.0,6.9,7.0,0.00411101,28.584,11.32446,6.0,,0,,0.02,0.03,0.19,,2.9,5.9,1.82,0.54,0.16,,,3.0,4.0,1.0,,1.0,1.0,1.0,,2.0,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
14566966,home,Pafos FC,Pêpê,,,pepe,Pêpê,M,88,182,438,M,896354,EUR,864086400,M,88,88,False,47.0,42.0,9.0,7.0,0.0,25.0,29.0,17.0,18.0,2.0,4.0,,,,78.0,55.0,7.2,6.0,0.016272,26.244,8.97433,2.0,,0,,0.09,0.11,0.0,,2.3,4.82,1.43,0.37,0.05,,,3.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,3.0,,,1.0,,,,,,
14566966,home,Pafos FC,Domingos Quina,,,domingos-quina,D. Quina,M,8,173,417,M,842582,EUR,942883200,M,8,8,False,28.0,20.0,4.0,2.0,0.0,8.0,11.0,12.0,17.0,1.0,5.0,,,,87.0,47.0,7.0,14.0,0.0147874,29.16,10.52424,7.0,,2,,0.03,0.09,0.26,,2.47,5.28,1.93,0.71,0.14,,,4.0,7.0,,,4.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,0.0712,0.0278,-0.03,,2.0,,3.0,,,,,,,,,
